Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-26,3351647,J537370 111112,8177.14,HEELEY BANK CARE HOME,362923,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-26,3351647,J537370 111112,5317.00,HEELEY BANK CARE HOME,362923,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-26,3351648,J537467 111112,1564.00,GOODWINS HALL,538281,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,SHORT TERM NURSING CARE,2012-10-26,3351649,J540165 141012,1811.28,ROSEBERRY CARE CENTRES GB LTD,362099,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-26,3351650,J540924 141012,1110.57,DEERLANDS,361836,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352474,79468,4042.64,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352475,79469,3423.00,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352476,79470,3210.48,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352477,79471,3814.44,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352478,17942,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352479,17943,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
DOMESTIC ABUSE SP40,9120,OTHER AGENCIES,2012-10-29,3352746,ERS INVOICE74299,5000.00,SOUTH YORKSHIRE POLICE,301616,Unclassified Non Trade,POLICE
STRATEGIC FINANCE,8350,MISCELLANEOUS EXPENSES,2012-10-29,3352765,ERS INVOICE74318,627189.58,DEPARTMENT FOR COMMUNITIES & LOCAL GOVER,502791,Unclassified Non Trade,LOCAL GOVERNMENT
DECRIMINALISED PARKING,8470,LEGAL FEES,2012-10-29,3352768,ERS INVOICE74321,7000.00,TRAFFIC ENFORCEMENT CENTRE,448749,Unclassified Non Trade,COURTS
DRUG & SUBSTANCE,9120,OTHER AGENCIES,2012-10-29,3351369,13527,106737.25,CRI,532219,Medical,DRUG MISUSE - ADVICE & COUNSEL
NOTRE DAME,1161,NC&A MAIN CONTRACT,2012-10-29,3351620,1046,138343.32,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
CITY CENTRE PROMOTIONAL PLAN,8440,FEE EXPENSES,2012-10-29,3352006,21235,2537.64,TEGA HULL LIMITED,362952,Leisure Services,"THEATRICAL COSTUMES, EQUIPMENT"
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-10-29,3352386,J539524 141012,1216.20,REDACTED PERSONAL DATA,333053,Social Community Care,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,RESPITE,2012-10-29,3352436,J540931 211012,664.62,REDACTED PERSONAL DATA,436605,Social Community Care,HOME CARE SERVICES
SNIPS,9190,DIRECT PAYMENTS,2012-10-29,3352590,J541427,984.14,REDACTED PERSONAL DATA,526837,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352594,J541427,950.76,REDACTED PERSONAL DATA,556288,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352595,J541427,4206.14,REDACTED PERSONAL DATA,556296,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-10-29,3352596,J541427,5337.53,REDACTED PERSONAL DATA,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352598,J541427,2853.72,REDACTED PERSONAL DATA,557461,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352599,J541427,1337.68,REDACTED PERSONAL DATA,558787,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2012-10-29,3352600,J541427,921.2,REDACTED PERSONAL DATA,561085,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-10-29,3352601,J541427,4044.62,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352602,J541427,2199.50,REDACTED PERSONAL DATA,573480,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352603,J541427,6118.00,REDACTED PERSONAL DATA,573484,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352604,J541427,2722.73,REDACTED PERSONAL DATA,574320,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-10-29,3352605,J541427,10466.89,REDACTED PERSONAL DATA,574322,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352606,J541427,735.71,REDACTED PERSONAL DATA,574378,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352607,J541427,1457.14,REDACTED PERSONAL DATA,574379,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-29,3352608,J541427,6911.95,REDACTED PERSONAL DATA,574426,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9250,INDEPENDENT DAY CARE,2012-10-29,3352609,72376AD,1632.00,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING,9190,CITYWIDE SPOT,2012-10-29,3352617,72376JJ,1326.00,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING,9190,CITYWIDE SPOT,2012-10-29,3352619,72377DF,540,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING,9190,CITYWIDE SPOT,2012-10-29,3352622,72377KB,540,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING,9190,CITYWIDE SPOT,2012-10-29,3352623,72377PB,540,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING,9190,CITYWIDE SPOT,2012-10-29,3352624,72377PBY,540,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-29,3352641,72727CL,1004.64,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-29,3352642,72729CL,1004.64,COMMUNITY HEALTH SHEFFIELD,361895,Unclassified Non Trade,HOSPITALS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-29,3352643,1100 & 1102,1181.29,REDACTED PERSONAL DATA,558736,Social Community Care,CAREFIRST DIRECT PAYMENTS
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352452,17934,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352453,630055496,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352454,630055497,2703.19,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352455,630055498,1233.05,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352456,630055499,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352457,630055501,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352458,630055502,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352459,630055503,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352460,630055504,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352461,630055505,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352462,630055508,3199.84,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352463,17935,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352464,630055509,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352465,630055511,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352466,630055512,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352467,630055513,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352468,630055515,2509.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352469,630055519,2232.03,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352470,17936,1705.76,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352471,17939,3343.48,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352472,17940,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352473,17941,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352480,17944,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352481,17945,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352482,17946,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352483,17948,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352484,17950,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352485,17951,3241.28,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352486,17952,3241.28,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352487,17953,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352488,NFA71077,2791.60,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352489,NFA71078,2791.60,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352490,NFA71079,3057.83,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352491,NFA71080,3060.12,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352492,NFA71081,2966.04,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352493,NFA71082,3060.12,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352494,17954,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352495,NFA71083,3120.04,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352496,17955,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352497,17956,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352498,17958,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352499,120612,830,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352500,17959,3343.48,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352501,17960,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352502,17961,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352503,17962,3241.28,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352504,24327,3664.08,REDACTED PERSONAL DATA,366456,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352505,24328,3703.00,REDACTED PERSONAL DATA,366456,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352506,24329,3703.00,REDACTED PERSONAL DATA,366456,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352507,120613,874,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352508,13210,3158.40,REDACTED PERSONAL DATA,329839,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352509,14158,3514.80,REDACTED PERSONAL DATA,433761,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352510,630055431,5243.28,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352511,630055432,3459.75,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352512,630055433,3532.19,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352513,630055434,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352514,630055435,4692.52,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352515,630055440,5160.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352516,630055441,5868.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352517,630055442,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352518,14159,2813.96,REDACTED PERSONAL DATA,433761,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352519,630055443,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352520,630055444,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352521,630055445,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352522,630055446,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352523,630055447,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352524,630055448,5776.96,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352525,630055449,4423.72,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352526,630055450,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352527,630055452,3290.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352528,630055453,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352529,630055463,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352530,630055465,3047.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352531,630055466,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352532,630055467,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352533,630055468,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352534,630055469,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352535,630055471,5593.28,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352536,630055472,2886.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352537,630055473,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352538,630055474,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352539,630055475,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352540,630055476,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352541,630055477,2886.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-29,3352542,630055478,1444.26,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352543,630055479,2970.24,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352544,630055480,3290.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-29,3352545,630055484,5061.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352546,630055488,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352547,630055490,3411.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-29,3352548,630055494,5246.92,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352549,107145,11625.00,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352550,7299,7936.40,BALBY (HEATHCOTES),552815,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352551,8409,3803.60,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352552,8410,3803.60,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352553,8411,3803.60,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352554,8412,3803.60,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352555,8413,3803.60,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352558,KH13109,10000.00,QUALITY PROTECTS CHILDREN LTD,420011,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352560,NH13091,10000.00,QUALITY PROTECTS CHILDREN LTD,420011,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352561,25222,10799.88,THE KEYS GROUP,325353,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352562,25232,9636.76,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
