Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
LA MUSIC SERVICES,8240,CONFERENCE EXPENSES,2013-02-13,3408749,ERS INVOICE79352,250,IAN SPOONER,503627,Facilities Management,PHOTOGRAPHERS - GENERAL
CBT WINCOBANK COMMUNITY BLDG,1194,OTHER FEES,2013-02-13,3392928,6544,9316.00,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
NEW MARKET DEVELOPMENT,1161,NC&A MAIN CONTRACT,2013-02-13,3397228,A640150,580063.88,BOWMER & KIRKLAND LTD,572989,Construction,BUILDERS
MOOR MARKET SERVICE YARD,1161,NC&A MAIN CONTRACT,2013-02-13,3397229,A640151,15662.65,BOWMER & KIRKLAND LTD,572989,Construction,BUILDERS
BN962 BUS AGREEMENT,1194,OTHER FEES,2013-02-13,3399127,SL0064426,4922.00,SYPTE,208757,Transport,BUS & COACH OPERATORS & STATIO
PRECEPTS & LEVIES,9070,JOINT AUTHORITIES,2013-02-13,3399129,SL0064425,37000.00,SYPTE,208757,Transport,BUS & COACH OPERATORS & STATIO
RED TAPE CENTRAL,8440,FEE EXPENSES,2013-02-13,3402172,PNS121413,1194.01,PROTOCOL NATIONAL LTD,570558,Education,EDUCATIONAL SERVICES
WASTE MANAGEMENT,6090,WASTE DISPOSAL,2013-02-13,3402184,OP/I057350,345,TOTAL HYGIENE LTD.,209091,Medical,DISABILITY EQUIPMENT - MNFRS &
PROJECT MANAGEMENT - SCHEME,8350,MISCELLANEOUS EXPENSES,2013-02-13,3402198,2712,4966.02,ROGERS GEOTECHNICAL SERVICES LTD,575312,Consultancy,SITE INVESTIGATION CONSULTANTS
FORUM HOUSE,,FORUM HOUSE,2013-02-13,3402226,716,340,LANCALL YORKSHIRE LIMITED,558696,Health and Safety,HEALTH & SAFETY TRAINING
SHEAF TRAINING,6280,HIRE OF PREMISES,2013-02-13,3402442,2013/64,540,TIDDLYWINKS,372812,Social Community Care,NURSERIES & CRECHES
KENNELLING,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3402588,918503332,339.46,ARCO LTD,203022,Clothing,SAFETY EQUIPMENT & CLOTHING
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3402806,1654868,813.67,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
LICENSING,8390,STATIONERY,2013-02-13,3403013,6114004,750,RACKLINE LTD.,367883,Furniture,STORAGE & SHELVING SYSTEMS MNF
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2013-02-13,3403076,2100148877,24187.50,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,449452,Unclassified Non Trade,HOSPITALS
TRANSPORT FLEET PASSENGER SERV,8110,"CLOTHING, UNIFORM AND LAUNDRY",2013-02-13,3403567,918558553,299.09,ARCO LTD,203022,Clothing,SAFETY EQUIPMENT & CLOTHING
CHAPELTOWN LIBRARY & CHILDRENS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3403685,256043129,1395.25,YORKSHIRE PURCHASING ORGANISATION,295997,Unclassified Trade,PURCHASING SERVICES
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3404288,113344598,3306.00,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
A61 CHESTERFIELD RD ROUTE PI,1193,CONSULTANTS FEES,2013-02-13,3404723,339685,7920.00,OVE ARUP & PARTNERS INTERNATIONAL LTD,321129,Consultancy,ENGINEERS - CONSULTING
ACCESS/ASSESSMENT N NORTHLANDS,5010,GENERAL BASIC PAY,2013-02-13,3404865,2100076465,4115.78,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
72 GREGG HOUSE ROAD,6210,RENTS,2013-02-13,3404929,SHA016374,341.2,SANCTUARY GROUP,351140,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
EAST SERVICE AREA CSS,6030,REPAIRS AND MTCE - RESPONSIVE,2013-02-13,3405373,INV060196,330,CONSTANT SECURITY SERVICES LIMITED,501937,Facilities Management,SECURITY SERVICES
EAST SERVICE AREA CSS,6030,REPAIRS AND MTCE - RESPONSIVE,2013-02-13,3405374,INV060602,288,CONSTANT SECURITY SERVICES LIMITED,501937,Facilities Management,SECURITY SERVICES
HIGHWAYS PFI,8460,CONSULTANTS FEES,2013-02-13,3405410,IN00257700,7200.00,MOTT MACDONALD UK,206976,Consultancy,ENGINEERS - CONSULTING
CONTACT CONTRACTS,9280,CONTACT,2013-02-13,3405425,11501,8586.21,SSA SOCIAL WORK LTD,329517,Human Resources,NURSING AGENCIES
CONTACT CONTRACTS,9280,CONTACT,2013-02-13,3405426,11498,7971.75,SSA SOCIAL WORK LTD,329517,Human Resources,NURSING AGENCIES
PROPERTY DISPOSAL,8440,FEE EXPENSES,2013-02-13,3405430,6.54E+14,327,YORKSHIRE WATER,362345,Utilities,WATER COMPANIES
PLAYGROUND MAINTENANCE & INSPE,8440,FEE EXPENSES,2013-02-13,3405432,1308,4433.00,INDEPENDENT PLAYGROUND INSPECTIONS,445433,Health and Safety,SAFETY CONSULTANTS
AUDIT,8460,CONSULTANTS FEES,2013-02-13,3405494,9839,500,ETON ENVIRONMENTAL SERVICES,502195,Construction,ASBESTOS SURVEYS & REMOVALS
AUDIT,8460,CONSULTANTS FEES,2013-02-13,3405495,9843,500,ETON ENVIRONMENTAL SERVICES,502195,Construction,ASBESTOS SURVEYS & REMOVALS
AUDIT,8460,CONSULTANTS FEES,2013-02-13,3405496,9842,500,ETON ENVIRONMENTAL SERVICES,502195,Construction,ASBESTOS SURVEYS & REMOVALS
AUDIT,8460,CONSULTANTS FEES,2013-02-13,3405498,9841,500,ETON ENVIRONMENTAL SERVICES,502195,Construction,ASBESTOS SURVEYS & REMOVALS
AUDIT,8460,CONSULTANTS FEES,2013-02-13,3405500,9840,500,ETON ENVIRONMENTAL SERVICES,502195,Construction,ASBESTOS SURVEYS & REMOVALS
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3405511,113344627,10744.00,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
HIST,8620,COMPUTER MAINTENANCE,2013-02-13,3405513,91247076,5270.83,NORTHGATE INFORMATION SOLUTIONS LTD,432617,Consultancy,COMPUTER SYSTEMS & SOFTWARE (D
GROUNDS MAINTENANCE,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3405519,80,300,ASCOT MARQUEES,330047,Leisure Services,"MARQUEES, TENTS & PORTABLE FLO"
NLDC (AUG 12 - JULY 13),9120,OTHER AGENCIES,2013-02-13,3405549,71,1000.00,BURNGREAVE WORKS LTD,557699,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MAJOR INCIDENTS,8610,OTHER TELECOMMUNICATIONS,2013-02-13,3405566,130297,1700.00,VOCAL LIMITED,410311,ICT,TELECOMMUNICATION SERVICES
EAST MAST,8490,TRANSLATN/SIGN/INTERPRET FEES,2013-02-13,3405587,37496,285,LANGUAGELINE SOLUTIONS,206348,Human Resources,TRANSLATORS & INTERPRETERS
SHEAF TRAINING CENTRE,1194,OTHER FEES,2013-02-13,3405609,20120563,3198.00,GENEX,537082,Consultancy,ENERGY CONSERVATION CONSULTANT
SUSTAINABLE DEV- ENV STRATEGY,5750,TRAINING EXPENDITURE,2013-02-13,3405667,99022407-005,1830.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SUSTAINABLE DEV- ENV STRATEGY,5750,TRAINING EXPENDITURE,2013-02-13,3405668,22047101-001,1830.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SUSTAINABLE DEV- ENV STRATEGY,5750,TRAINING EXPENDITURE,2013-02-13,3405669,22047097-001,1830.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SUSTAINABLE DEV- ENV STRATEGY,5750,TRAINING EXPENDITURE,2013-02-13,3405670,22046981-001,1830.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SUSTAINABLE DEV- ENV STRATEGY,5750,TRAINING EXPENDITURE,2013-02-13,3405671,22046980-001,1830.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SUSTAINABLE DEV- ENV STRATEGY,5750,TRAINING EXPENDITURE,2013-02-13,3405674,22046979-001,1830.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
CONTACT CONTRACTS,9280,CONTACT,2013-02-13,3405688,455,3579.98,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
INDEPENDENT PLACEMENTS,9310,PARENTAL OR TRIBUNAL PLACEMENT,2013-02-13,3406524,5046,1070.00,MYLNHURST SCHOOL AND NURSERY,311899,Social Community Care,NURSERIES & CRECHES
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406572,9000149858,2407.43,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406574,9000149863,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406575,9000149865,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406576,9000149868,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406577,9000149866,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
CORPORATE PARENTING,9120,OTHER AGENCIES,2013-02-13,3406659,28231,11355.53,NATIONAL YOUTH ADVOCACY SERVICE,546945,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406669,9000149861,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406672,9000149864,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406673,9000149860,2527.79,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3406674,9000149859,2874.47,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
CORONIAL SERVICES,8090,BEREAVEMENT SUPPLIES,2013-02-13,3406676,00032-13018063/PA,2262.50,DIGNITY CARING FUNERAL SERVICES,563208,Environmental Services,FUNERAL DIRECTORS
P&TC STAFFING,7160,CAR PARKING SPACES AND FEES,2013-02-13,3406692,448,1033.54,ST VINCENT'S NEW CHURCH,532071,Unclassified Non Trade,PLACES OF WORSHIP
FUTURE OF COUNCIL HOUSING,8350,MISCELLANEOUS EXPENSES,2013-02-13,3406704,2269,750,BURNGREAVE MESSENGER LTD,301418,Education,NEWSPAPER & MAGAZINE PUBLISHER
TRAINING,8400,PUBLICATIONS AND PERIODICALS,2013-02-13,3406822,74947,1638.00,BLACKWELLS MAPPIN STREET,203381,Education,BOOKSELLERS
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3407025,9000149867,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3407026,9000149862,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
HR TRANSACTIONS,8100,RECHARGEABLE PURCHASES,2013-02-13,3407062,TARINV/15195172,1908.37,TIMES EDUCATIONAL SUPPLEMENT,297123,Education,NEWSPAPER & MAGAZINE PUBLISHER
HR TRANSACTIONS,8100,RECHARGEABLE PURCHASES,2013-02-13,3407063,TARINV/15194667,525,TIMES EDUCATIONAL SUPPLEMENT,297123,Education,NEWSPAPER & MAGAZINE PUBLISHER
CITY CENTRE MANAGEMENT & ADMIN,8440,FEE EXPENSES,2013-02-13,3407076,548304,435.05,PICKFORDS,573763,Transport,REMOVALS - OVERSEAS
HIGHWAY MAINTENANCE GENERAL,5750,TRAINING EXPENDITURE,2013-02-13,3407089,17068,325,HEASN LTD,203092,Human Resources,TRADE ASSOC & REGULATORY BODIE
PARKHILL FLATS REFURBISHMENT,8440,FEE EXPENSES,2013-02-13,3407092,69054,3808.95,RIDER LEVETT BUCKNALL UK LIMITED,393685,Consultancy,BUILDING CONSULTANTS
GROUNDS MAINTENANCE,7020,VEHICLE FUEL COSTS,2013-02-13,3407125,9005894,655.39,CARLTON FUELS,466741,Vehicles Not Buses,FUEL DEALERS
GROUNDS MAINTENANCE,7020,VEHICLE FUEL COSTS,2013-02-13,3407128,8933061,588.7,CARLTON FUELS,466741,Vehicles Not Buses,FUEL DEALERS
LOCALITY 2 MANAGEMENT+O/HEADS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3407143,41303,382.5,APOLLO APPLIANCES LTD,202990,Domestic Goods,DOMESTIC APPLIANCES - SERVICIN
GROUNDS MAINTENANCE,8060,MATERIALS AND SUPPLIES GENERAL,2013-02-13,3407153,1/476906,511.2,BUILDERS CENTRE (SHEFFIELD) LTD,203585,Building Construction Materials,BUILDERS' MERCHANTS
OTHER LOCAL AUTHORITY PLACEMEN,9050,OTHER LOCAL AUTHORITIES,2013-02-13,3407171,9000149869,5020.84,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
LENDING SERVICES GENERAL,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3407310,3614462,406.16,DEMCO INTERIORS,303280,Education,EDUCATIONAL EQUIPMENT & SUPPLI
EMTAS,7140,PUBLIC TRANSPORT COSTS,2013-02-13,3407328,SL0064464,484.5,SYPTE,208757,Transport,BUS & COACH OPERATORS & STATIO
NORTH SERVICE AREA CSS,8060,MATERIALS AND SUPPLIES GENERAL,2013-02-13,3407334,INV061093,342,CONSTANT SECURITY SERVICES LIMITED,501937,Facilities Management,SECURITY SERVICES
DON VALLEY INFR MASTERPLAN,8350,MISCELLANEOUS EXPENSES,2013-02-13,3407368,S009,935,WEBB AVIATION AERIAL PHOTOGRAPHY,574213,Facilities Management,AERIAL SURVEYS & PHOTOGRAPHERS
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-02-13,3407376,SOARCO/891,450,SOAR,413073,Unclassified Non Trade,DEVELOPMENT AGENCIES
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-02-13,3407380,29012013LW,700,SHIREGREEN UNITED REFORMED CHURCH,323483,Unclassified Non Trade,PLACES OF WORSHIP
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-02-13,3407381,12122012LW,300,SHIREGREEN UNITED REFORMED CHURCH,323483,Unclassified Non Trade,PLACES OF WORSHIP
FAMILY & COMM MANAGEMENT,9120,OTHER AGENCIES,2013-02-13,3407406,EY408384,1003.80,REDACTED PERSONAL DATA,503618,Social Community Care,CHILDCARE SERVICES
SCHOOL MEALS,8130,CATERING SUPPLIES,2013-02-13,3407417,28114,1517.73,MELLORS CATERING SERVICES LTD,386434,Catering,CATERERS
SCHOOL MEALS,8150,CONTRACT CATERING,2013-02-13,3407417,28114,3034.64,MELLORS CATERING SERVICES LTD,386434,Catering,CATERERS
ASSET DATA RECORDS,8460,CONSULTANTS FEES,2013-02-13,3407611,CD11450,1139.85,CAD-CAPTURE DATA SERVICES LTD,343523,ICT,COMPUTER AIDED DESIGN
TEMPORARY ACCOMMODATION,8060,MATERIALS AND SUPPLIES GENERAL,2013-02-13,3407618,918600806,938.77,ARCO LTD,203022,Clothing,SAFETY EQUIPMENT & CLOTHING
PERMANENCE FOSTERING,7160,CAR PARKING SPACES AND FEES,2013-02-13,3407633,168231,325,APCOA PARKING UK LTD,532128,Traffic Management,CAR PARKING & GARAGING
PROGRAMME DELIVERY TEAM,8490,OTHER PROFESSIONAL FEES,2013-02-13,3407648,2100076455,813.69,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CONTRACTOR PAYMENTS - AMEY,9120,OTHER AGENCIES,2013-02-13,3407834,90330310,3708971.01,AMEY HALLAM HIGHWAYS LIMITED,571289,Construction,ROAD CONSTRUCTION CONTRACTORS
TEMPORARY ACCOMMODATION,8050,FURNITURE PURCHASES,2013-02-13,3407842,TK103195,1738.59,THOMAS KNEALE & CO. LTD.,441585,Furniture,"BEDS, BEDDING & BLANKETS"
CNG REFUELLING INFRASTRUCTURE,1148,SURVEY COSTS,2013-02-13,3407852,41223,6600.00,JOULEVERT LIMITED,578657,Consultancy,ENERGY CONSERVATION CONSULTANT
INTER AGENCY FEES,9120,OTHER AGENCIES,2013-02-13,3407861,620/13,1194.00,ADOPTION MATTERS NORTHWEST,340890,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PARKS OPERATIONS NORTH,8060,MATERIALS AND SUPPLIES GENERAL,2013-02-13,3407894,27109,420.35,I D STEEL WROUGHT IRON LTD,518447,Unclassified Trade,WROUGHT IRONWORK
LOCALITY 2 MANAGEMENT+O/HEADS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3407902,1,600.01,LYNNES WAREHOUSE,411562,Furniture,FURNITURE - RETAIL
SNIPS,8180,GRANTS,2013-02-13,3407903,323,866.38,WOODTHORPE DEVELOPMENT TRUST,419565,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SOCIAL CARE TAXIS,7060,EXTERNAL VEHICLE HIRE,2013-02-13,3407922,CTL5445,10909.34,CENTRAL TRAVEL SHEFFIELD LTD,203820,Transport,TAXIS & PRIVATE HIRE
EXTERNAL PROJECTS,8440,FEE EXPENSES,2013-02-13,3407923,INV1301-10,12284.65,SERO CONSULTING LTD,434360,Consultancy,BUSINESS & MANAGEMENT CONSULTA
OUTDOOR EDUCATION,8440,FEE EXPENSES,2013-02-13,3407996,2453,7500.00,TGN CONSTRUCTION (YORKSHIRE) LTD.,208941,Construction,BUILDERS
MINIBUSES - SHEFFTAX TENDERED,7060,EXTERNAL VEHICLE HIRE,2013-02-13,3408034,1074,13342.14,SHEFFIELD TAXI SERVICES LTD,208407,Transport,TAXIS & PRIVATE HIRE
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2013-02-13,3408037,1075,17504.21,SHEFFIELD TAXI SERVICES LTD,208407,Transport,TAXIS & PRIVATE HIRE
"OOH, HOSPITALS AND PROJECTS TE",5010,GENERAL BASIC PAY,2013-02-13,3408052,2100148111,330,SHEFFIELD CHILDRENS HOSPITAL NHS  TRUST,332785,Unclassified Non Trade,HOSPITALS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2013-02-13,3408062,12070290,21425.84,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2013-02-13,3408063,12070289,10732.65,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2013-02-13,3408064,12070287,10867.15,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2013-02-13,3408065,12070286,74111.46,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
CLAIMS,8490,OTHER PROFESSIONAL FEES,2013-02-13,3408079,Q91495,2524.17,QM COSTS,518667,Legal Services,LEGAL SERVICES
FOSTERING DEVELOPMENT,8420,ADVERTISING AND PUBLICITY,2013-02-13,3408090,12578,260,BLIND MICE MEDIA LTD,421389,Facilities Management,MARKETING CONSULTANTS & SERVIC
GYPSY AND TRAVELLER SITES,8010,EQUIPMENT PURCHASE AND REPAIR,2013-02-13,3408091,31189,300,JW INSTRUMENTS LTD,526011,Unclassified Trade,ELECTRONIC EQUIPMENT COMPONENT
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2013-02-13,3408154,CTL5446,10267.11,CENTRAL TRAVEL SHEFFIELD LTD,203820,Transport,TAXIS & PRIVATE HIRE
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408170,1666364,733.78,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408172,1668615,442.2,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,MEDIA,2013-02-13,3408174,1673009,2882.62,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408177,1671938,2226.17,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408179,1661685,710.03,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408180,1668499,736.26,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408181,101792,533.37,ISUBSCRIBE LTD,554704,Education,NEWSPAPER & MAGAZINE PUBLISHER
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408183,I553985,414.8,ULVERSCROFT LARGE PRINT BOOKS LTD,209221,Education,BOOK PUBLISHERS
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2013-02-13,3408185,362641,333.04,NEWSTIME LIMITED,417522,Transport,DISTRIBUTION SERVICES
OWLER BROOK PCP,1194,OTHER FEES,2013-02-13,3408186,765,11286.00,PYRAMID SCHOOLS (SHEFFIELD) LTD,324404,Financial Services,LEASING SERVICES
MYERS GROVE,1161,NC&A MAIN CONTRACT,2013-02-13,3408187,1107,1800.00,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
BRADFIELD,1161,NC&A MAIN CONTRACT,2013-02-13,3408189,1116,8864.56,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
NORTH OF ENGLAND CONFERENCE,8440,FEE EXPENSES,2013-02-13,3408419,HL/1889,1684.50,FACTUAL MANAGEMENT,570927,Leisure Services,Entertainment Agencies
NEW BANK HOUSE,6240,PREMISES INSURANCE,2013-02-13,3408429,SCC315,14271.54,BRANCHESTER INTERNATIONAL LIMITED,550702,Unclassified Trade,COMMERCIAL PROPERTY AGENTS
NEW BANK HOUSE,6150,ELECTRICITY,2013-02-13,3408430,SCC315B,5059.37,BRANCHESTER INTERNATIONAL LIMITED,550702,Unclassified Trade,COMMERCIAL PROPERTY AGENTS
NEW BANK HOUSE,6160,GAS,2013-02-13,3408430,SCC315B,12500.00,BRANCHESTER INTERNATIONAL LIMITED,550702,Unclassified Trade,COMMERCIAL PROPERTY AGENTS
PARKS GENERAL,8450,AUDIT FEES,2013-02-13,3408536,53730,10440.00,BARBER HARRISON & PLATT,437963,Financial Services,ACCOUNTANTS
PARKS OPERATIONS NORTH,8550,OTHER SERVICES,2013-02-13,3408611,85117087,286.64,SHERRIFF AMENITY LTD,480722,Horticultural,HORTICULTURAL EQUIPMENT & SUPP
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2013-02-13,3408638,1020038,1495.00,CLARK & PARTNERS LTD,203928,Medical,DISABILITY EQUIPMENT - MNFRS &
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2013-02-13,3408432,171103,854.7,F R SHARROCK LTD,440994,Unclassified Trade,AGRICULTURAL ENGINEERS
COMMERCIAL ESTATE,6150,ELECTRICITY,2013-02-13,3408440,27140675,414.96,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
COMMERCIAL ESTATE,6150,ELECTRICITY,2013-02-13,3408441,27140675,719.13,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
CORPORATE MAIL,8570,POSTAGE & DELIVERY,2013-02-13,3408442,1107897366,1286.70,ROYAL MAIL GROUP LTD,295326,Mail Services,DELIVERY SERVICES
CORPORATE MAIL,8570,POSTAGE & DELIVERY,2013-02-13,3408445,9042076487,8673.10,ROYAL MAIL GROUP LTD,295326,Mail Services,DELIVERY SERVICES
BIS TELECOMMS,8590,LANDLINE TELEPHONES - INVOICE,2013-02-13,3408453,VP40421570Q01201X9,379.86,BRITISH TELECOMMUNICATIONS PLC,295860,ICT,TELECOMMUNICATION SERVICES
BIS TELECOMMS,8600,MOBILE TELEPHONES - INVOICE,2013-02-13,3408474,119387512,250,ORANGE PCS LTD,409889,ICT,MOBILE PHONES
SHEAF TRAINING,6160,GAS,2013-02-13,3408522,3407225560,456.16,E.ON,299536,Utilities,ELECTRICITY COMPANIES
CITY WIDE CARE ALARMS,6160,GAS,2013-02-13,3408533,A3749005/S1863992,597.26,BRITISH GAS BUSINESS,370790,Utilities,GAS COMPANIES
STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2013-02-13,3408669,14407281,407.79,LOOKERS FORD,474939,Vehicles Not Buses,CAR DEALERS
STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2013-02-13,3408670,14407431,328.89,LOOKERS FORD,474939,Vehicles Not Buses,CAR DEALERS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2013-02-13,3408685,14407130,1446.69,LOOKERS FORD,474939,Vehicles Not Buses,CAR DEALERS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2013-02-13,3408690,665154,375.64,RUSSELLS (KIRBYMOORSIDE) LTD,537712,Vehicles Not Buses,AGRICULTURAL MACHINERY - SALES
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-02-13,3408227,J574075,432,REDACTED PERSONAL DATA,556308,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-02-13,3408228,J574075,1018.84,REDACTED PERSONAL DATA,561085,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-02-13,3408229,J574075,1248.08,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
