Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786721,511527 20150219 49780,488.30,REDACTED PERSONAL DATA,586597,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786722,514147 20150219 49780,288.12,REDACTED PERSONAL DATA,571621,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786724,52188 20150219 49780,1236.00,REDACTED PERSONAL DATA,395410,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786725,5232 20150219 49780,1396.00,REDACTED PERSONAL DATA,333284,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786726,524167 20150219 49780,846.00,REDACTED PERSONAL DATA,582508,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786729,53466 20150219 49780,414.70,REDACTED PERSONAL DATA,516788,,ADOPTION & FOSTERING
SECURE PLACEMENTS,9270,IN-HOUSE FOSTERING,2015-02-20,3786730,535147 20150219 49780,250.00,REDACTED PERSONAL DATA,580833,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786731,535247 20150219 49780,839.44,REDACTED PERSONAL DATA,615834,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786733,538547 20150219 49780,297.56,REDACTED PERSONAL DATA,572240,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786737,543647 20150219 49780,288.12,REDACTED PERSONAL DATA,573242,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786738,54948 20150219 49780,864.00,REDACTED PERSONAL DATA,401257,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786739,550471 20150219 49780,1466.00,REDACTED PERSONAL DATA,580830,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786740,555067 20150219 49780,297.56,REDACTED PERSONAL DATA,582635,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786743,55871 20150219 49780,614.00,REDACTED PERSONAL DATA,332982,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786746,562507 20150219 49780,326.78,REDACTED PERSONAL DATA,567453,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786747,56472 20150219 49780,808.00,REDACTED PERSONAL DATA,332894,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786748,565090 20150219 49780,381.65,REDACTED PERSONAL DATA,620514,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786749,565867 20150219 49780,311.46,REDACTED PERSONAL DATA,576608,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786750,567034 20150219 49780,320.90,REDACTED PERSONAL DATA,596938,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786756,13072 20150219 49780,468.50,REDACTED PERSONAL DATA,338873,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786758,584549 20150219 49780,729.90,REDACTED PERSONAL DATA,585719,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786759,586526 20150219 49780,274.22,REDACTED PERSONAL DATA,576283,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786760,5899 20150219 49780,1179.68,REDACTED PERSONAL DATA,332893,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786761,59012 20150219 49780,1024.14,REDACTED PERSONAL DATA,333610,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786763,59205 20150219 49780,1924.00,REDACTED PERSONAL DATA,368211,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786764,593387 20150219 49780,638.00,REDACTED PERSONAL DATA,588552,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786765,59366 20150219 49780,855.41,REDACTED PERSONAL DATA,594263,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786769,60275 20150219 49780,1396.00,REDACTED PERSONAL DATA,429874,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786770,60616 20150219 49780,2044.00,REDACTED PERSONAL DATA,333511,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786775,6158 20150219 49780,2382.00,REDACTED PERSONAL DATA,540317,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786777,620127 20150219 49780,297.86,REDACTED PERSONAL DATA,582193,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786779,62204 20150219 49780,678.00,REDACTED PERSONAL DATA,333618,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786781,624427 20150219 49780,310.00,REDACTED PERSONAL DATA,589316,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786783,62544 20150219 49780,642.90,REDACTED PERSONAL DATA,333037,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786784,62842 20150219 49780,704.00,REDACTED PERSONAL DATA,333091,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786785,63583 20150219 49780,254.20,REDACTED PERSONAL DATA,333347,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786786,64357 20150219 49780,320.90,REDACTED PERSONAL DATA,537234,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786787,64837 20150219 49780,794.50,REDACTED PERSONAL DATA,597424,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786790,649327 20150219 49780,926.80,REDACTED PERSONAL DATA,592269,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786791,64992 20150219 49780,1316.00,REDACTED PERSONAL DATA,333282,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786792,652847 20150219 49780,438.00,REDACTED PERSONAL DATA,594671,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786793,65520 20150219 49780,1501.84,REDACTED PERSONAL DATA,333005,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786795,65854 20150219 49780,1126.00,REDACTED PERSONAL DATA,338734,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786796,65974 20150219 49780,320.90,REDACTED PERSONAL DATA,597923,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786797,6608 20150219 49780,535.60,REDACTED PERSONAL DATA,454665,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786799,662768 20150219 49780,438.00,REDACTED PERSONAL DATA,590950,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786800,132001 20150219 49780,1276.00,REDACTED PERSONAL DATA,401464,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786801,664 20150219 49780,414.70,REDACTED PERSONAL DATA,362565,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786804,68046 20150219 49780,287.56,REDACTED PERSONAL DATA,207768,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786804,68046 20150219 49780,475.71,REDACTED PERSONAL DATA,207768,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786805,684970 20150219 49780,846.00,REDACTED PERSONAL DATA,595588,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786807,69464 20150219 49780,594.00,REDACTED PERSONAL DATA,333438,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786809,69800 20150219 49780,808.00,REDACTED PERSONAL DATA,328162,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786811,133205 20150219 49780,414.70,REDACTED PERSONAL DATA,338886,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786812,69844 20150219 49780,1610.00,REDACTED PERSONAL DATA,333815,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786813,702267 20150219 49780,470.57,REDACTED PERSONAL DATA,589949,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786813,702267 20150219 49780,297.56,REDACTED PERSONAL DATA,589949,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786820,71652 20150219 49780,668.00,REDACTED PERSONAL DATA,333207,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786821,723330 20150219 49780,447.06,REDACTED PERSONAL DATA,591340,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786823,133315 20150219 49780,1076.00,REDACTED PERSONAL DATA,517411,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786825,72432 20150219 49780,638.00,REDACTED PERSONAL DATA,398055,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786827,732950 20150219 49780,308.00,REDACTED PERSONAL DATA,594593,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786829,743327 20150219 49780,307.29,REDACTED PERSONAL DATA,598841,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786830,751047 20150219 49780,414.00,REDACTED PERSONAL DATA,594595,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786833,7644 20150219 49780,678.00,REDACTED PERSONAL DATA,527335,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786835,77354 20150219 49780,1456.00,REDACTED PERSONAL DATA,333280,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786836,774 20150219 49780,1028.00,REDACTED PERSONAL DATA,333661,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786839,78553 20150219 49780,998.00,REDACTED PERSONAL DATA,333703,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786839,78553 20150219 49780,358.00,REDACTED PERSONAL DATA,333703,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786841,79647 20150219 49780,254.20,REDACTED PERSONAL DATA,502396,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786841,79647 20150219 49780,1436.00,REDACTED PERSONAL DATA,502396,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786843,80345 20150219 49780,288.12,REDACTED PERSONAL DATA,571149,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786844,810927 20150219 49780,1006.74,REDACTED PERSONAL DATA,591215,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786845,133705 20150219 49780,808.00,REDACTED PERSONAL DATA,419128,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786846,818907 20150219 49780,1028.00,REDACTED PERSONAL DATA,616501,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786847,81896 20150219 49780,889.25,REDACTED PERSONAL DATA,338778,,ADOPTION & FOSTERING
ADOPTION SERVICE,9270,ADOPTION ALLOWANCES,2015-02-20,3786849,82275 20150219 49780,342.40,REDACTED PERSONAL DATA,338910,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786851,84339 20150219 49780,544.00,REDACTED PERSONAL DATA,333060,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786851,84339 20150219 49780,640.90,REDACTED PERSONAL DATA,333060,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786852,84605 20150219 49780,758.00,REDACTED PERSONAL DATA,333262,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786853,84825 20150219 49780,1276.00,REDACTED PERSONAL DATA,332976,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786854,856330 20150219 49780,441.62,REDACTED PERSONAL DATA,596182,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786855,857287 20150219 49780,367.80,REDACTED PERSONAL DATA,578729,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786856,133942 20150219 49780,1028.00,REDACTED PERSONAL DATA,391833,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786860,869027 20150219 49780,609.02,REDACTED PERSONAL DATA,596305,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786863,89002 20150219 49780,254.20,REDACTED PERSONAL DATA,547828,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786866,90340 20150219 49780,678.00,REDACTED PERSONAL DATA,333663,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786868,90657 20150219 49780,342.86,REDACTED PERSONAL DATA,371936,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786869,9093 20150219 49780,662.00,REDACTED PERSONAL DATA,333249,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786869,9093 20150219 49780,350.00,REDACTED PERSONAL DATA,333249,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786870,91090 20150219 49780,1116.00,REDACTED PERSONAL DATA,333434,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786872,91281 20150219 49780,668.00,REDACTED PERSONAL DATA,502223,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786873,914507 20150219 49780,381.70,REDACTED PERSONAL DATA,598055,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786874,91723 20150219 49780,1076.00,REDACTED PERSONAL DATA,333048,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786875,918567 20150219 49780,724.92,REDACTED PERSONAL DATA,599274,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786876,91857 20150219 49780,1000.91,REDACTED PERSONAL DATA,414480,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786878,134792 20150219 49780,254.20,REDACTED PERSONAL DATA,338849,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786879,922307 20150219 49780,297.56,REDACTED PERSONAL DATA,598664,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786880,92756 20150219 49780,1612.29,REDACTED PERSONAL DATA,332988,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786881,92844 20150219 49780,1436.00,REDACTED PERSONAL DATA,377924,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786882,93353 20150219 49780,2164.00,REDACTED PERSONAL DATA,333631,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786883,93512 20150219 49780,323.82,REDACTED PERSONAL DATA,329192,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786884,93777 20150219 49780,614.00,REDACTED PERSONAL DATA,333179,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786885,93800 20150219 49780,327.66,REDACTED PERSONAL DATA,333100,,ADOPTION & FOSTERING
SECURE PLACEMENTS,9270,IN-HOUSE FOSTERING,2015-02-20,3786886,93897 20150219 49780,250.00,REDACTED PERSONAL DATA,333547,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786886,93897 20150219 49780,1276.00,REDACTED PERSONAL DATA,333547,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786887,94151 20150219 49780,414.70,REDACTED PERSONAL DATA,384635,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786888,94349 20150219 49780,629.00,REDACTED PERSONAL DATA,332876,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786891,95231 20150219 49780,350.00,REDACTED PERSONAL DATA,333600,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786891,95231 20150219 49780,360.00,REDACTED PERSONAL DATA,333600,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786892,95738 20150219 49780,313.44,REDACTED PERSONAL DATA,434082,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786893,96520 20150219 49780,334.80,REDACTED PERSONAL DATA,518748,,CHILDCARE SERVICES
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786895,974367 20150219 49780,1572.82,REDACTED PERSONAL DATA,620347,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786896,97475 20150219 49780,302.88,REDACTED PERSONAL DATA,568469,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786897,98203 20150219 49780,678.00,REDACTED PERSONAL DATA,333450,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786899,983527 20150219 49780,288.12,REDACTED PERSONAL DATA,617863,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786900,135152 20150219 49780,678.00,REDACTED PERSONAL DATA,418759,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786902,98772 20150219 49780,482.80,REDACTED PERSONAL DATA,368010,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786907,135439 20150219 49780,632.36,REDACTED PERSONAL DATA,567353,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786908,136081 20150219 49780,638.00,REDACTED PERSONAL DATA,413709,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786909,103518 20150219 49780,295.20,REDACTED PERSONAL DATA,333229,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786910,137064 20150219 49780,1276.00,REDACTED PERSONAL DATA,333536,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786912,138089 20150219 49780,268.10,REDACTED PERSONAL DATA,408658,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786916,138968 20150219 49780,299.98,REDACTED PERSONAL DATA,421932,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786918,139839 20150219 49780,968.00,REDACTED PERSONAL DATA,457380,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786918,139839 20150219 49780,350.00,REDACTED PERSONAL DATA,457380,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786919,142014 20150219 49780,468.50,REDACTED PERSONAL DATA,456400,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-02-20,3786920,103556 20150219 49780,254.20,REDACTED PERSONAL DATA,333065,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786921,142307 20150219 49780,638.00,REDACTED PERSONAL DATA,502726,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-02-20,3786922,142933 20150219 49780,381.70,REDACTED PERSONAL DATA,333581,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786923,14509 20150219 49780,1166.00,REDACTED PERSONAL DATA,338767,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-02-20,3786925,146629 20150219 49780,350.00,REDACTED PERSONAL DATA,536243,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADOPTION SERVICE,9270,ADOPTION ALLOWANCES,2015-02-20,3786926,146973 20150219 49780,714.00,REDACTED PERSONAL DATA,443421,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786927,147484 20150219 49780,678.00,REDACTED PERSONAL DATA,434175,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786928,147500 20150219 49780,978.00,REDACTED PERSONAL DATA,400934,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-02-20,3786929,147787 20150219 49780,1554.00,REDACTED PERSONAL DATA,435614,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-02-20,3786929,147787 20150219 49780,470.80,REDACTED PERSONAL DATA,435614,,ADOPTION & FOSTERING
STRATEGIC FINANCE,5810,COMPENSATION PAYMENTS,2015-02-20,3787193,ERS INVOICE114795,11116.00,REDACTED PERSONAL DATA,620898,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2015-02-20,3787196,ERS INVOICE114798,1500.00,EXPRESS COATINGS,595687,,TRAINING SERVICES
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2015-02-20,3787197,ERS INVOICE114799,1500.00,DEARNESIDE FABRICATIONS LTD,461947,,STEEL FABRICATORS & ERECTORS
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2015-02-20,3787198,ERS INVOICE114800,1500.00,KIVETON AND WALES PRESCHOOL DAYCARE,599527,,NURSERY SCHOOLS
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2015-02-20,3787201,ERS INVOICE114803,1500.00,SENIOR AND  DICKSON LTD,599217,,PLASTICS - INJECTION MOULDING
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2015-02-20,3787202,ERS INVOICE114804,1500.00,BOUQUET FLORIST,585477,,FLORISTS
