Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-09-19,601201176,550,0,550,Thornley Groves Estate Agent Ltd,Children's Services,Rents
Salford City Council,2017-09-19,601201181,550,0,550,Thornley Groves Estate Agent Ltd,Children's Services,Rents
Salford City Council,2017-09-19,601201182,550,0,550,Thornley Groves Estate Agent Ltd,Children's Services,Rents
Salford City Council,2017-09-19,601201183,550,0,550,Thornley Groves Estate Agent Ltd,Children's Services,Rents
Salford City Council,2017-09-19,itjjuuctg,580.04,96.67,483.37,Www.Paper.Co.Uk,Corporate Business,Stationery
Salford City Council,2017-09-19,1600592779,3460.03,576.67,2883.36,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2017-09-19,601200697,570.8,83,487.8,Bedspace Resource Limited,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-19,601201196,570.8,83,487.8,Bedspace Resource Limited,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-19,601201193,705.9,108,597.9,Bedspace Resource Limited,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-19,601201194,705.9,108,597.9,Bedspace Resource Limited,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-19,1600592327,1692,282,1410,Asbestos Clearance And Disposal Ser,Capital Expenditure,Works & Building
Salford City Council,2017-09-19,1600592735,55663.57,9277.26,46386.31,Eric Wright Civil Engineering Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-19,1600592827,1440,240,1200,Arlingclose Ltd,Environment and Community Safety,XXXXX VMS EXT MAINTE
Salford City Council,2017-09-19,1600592825,1500,250,1250,Arlingclose Ltd,Environment and Community Safety,XXXXX VMS EXT MAINTE
Salford City Council,2017-09-20,601200187,810,135,675,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-20,601201258,646.02,107.67,538.35,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-20,601201256,1200,200,1000,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-20,601201260,1200,200,1000,Tradewind Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-20,1600591811,954,159,795,Ingenitech Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-20,1600592878,23258.47,3876.41,19382.06,Helec Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2017-09-20,cmrnpysvj,547.49,0,547.49,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-20,twgpdwwjg,562.16,0,562.16,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-20,kwuotgwrw,746.78,3.18,743.6,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-20,1600592592,5350,0,5350,Utc@Mediacityuk,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-20,601201273,9946.8,0,9946.8,Street Uk Ltd Client Monies Account,Capital Expenditure,Other Works
Salford City Council,2017-09-20,1600590355,6666.66,0,6666.66,GMW Mental Health NHS FT,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-20,1600590350,330394.16,0,330394.16,GMW Mental Health NHS FT,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-20,601201285,1499.5,0,1499.5,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2017-09-20,1600591805,3786.36,631.06,3155.3,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2017-09-20,601201271,18300,3050,15250,Quorum Estates Pension Fund Ltd,Children's Services,Rents
Salford City Council,2017-09-20,1600591961,1780.8,296.8,1484,Mci Diventi Limited,Corporate Business,Telephones & Fax
Salford City Council,2017-09-20,1600592594,948,158,790,T/A Govnet Communications,Corporate Business,Training of Others
Salford City Council,2017-09-20,1600591863,53392.44,8898.74,44493.7,Pitney Bowes Software Europe Ltd,Sustainable Regeneration,Unclass Road Maint
Salford City Council,2017-09-20,1600592032,594,99,495,Churches Fire Security Limited,Environment and Community Safety,UV Light/Fire
Salford City Council,2017-09-20,1600592029,594,99,495,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2017-09-20,601200212,560.24,0,560.24,Equita Limited,Corporate Business,VAT Adjustment
Salford City Council,2017-09-20,1600592863,2364.11,0,2364.11,The Fostering Network (Nfca),Children's Services,Vehicle Hire - perm
Salford City Council,2017-09-20,1600592877,115542.23,0,115542.23,Broughton Jewish C F Academy,Capital Expenditure,Works & Building
Salford City Council,2017-09-20,1600592086,160777.15,0,160777.15,Broughton Jewish C F Academy,Capital Expenditure,Works & Building
Salford City Council,2017-09-20,1600592329,48865.16,8144.19,40720.97,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-21,1600587088,30999.2,5166.53,25832.67,Manchester Ship Canal Company,Sustainable Regeneration,Cleaning
Salford City Council,2017-09-21,601201318,1702.8,283.8,1419,Rothwell Robinson Ltd,Children's Services,Electricity
Salford City Council,2017-09-21,601201319,4584,764,3820,Rothwell Robinson Ltd,Children's Services,Electricity
Salford City Council,2017-09-21,xrpgksduy,508.55,5.88,502.67,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,zxfcnrdgc,527.01,0,527.01,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,vbdqvwmgf,528.83,3.03,525.8,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,xmkgljpfw,558.78,1.42,557.36,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,soprkqtgj,907.81,69.45,838.36,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,nyroxvrrn,934.22,0,934.22,Creamline Dairies Traffor,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,cqygerftv,1653.49,0,1653.49,Quayside Bakery,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-21,1600592090,2532,422,2110,Ingenitech Ltd,Corporate Business,Lease line rentals
Salford City Council,2017-09-21,1600591835,4047.84,674.64,3373.2,Nomix Enviro Ltd,Environment and Community Safety,Materials
Salford City Council,2017-09-21,601201315,2800,0,2800,Association Of Directors Of Public,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-21,1600591834,6666.66,0,6666.66,GMW Mental Health NHS FT,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-21,1600591833,330394.16,0,330394.16,GMW Mental Health NHS FT,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-21,601201316,5187.42,0,5187.42,Cleggs Chilled Food Service,Environment and Community Safety,Provisions
Salford City Council,2017-09-21,1600591830,1026.66,171.11,855.55,Pressure Coolers Ltd,Corporate Business,Provisions
Salford City Council,2017-09-21,1600591836,10987.2,1831.2,9156,One51 Es Plastics (Uk) Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2017-09-21,601201293,25937.93,4102.03,21835.9,British Telecommunications Plc,Capital Expenditure,Telephones and Fax
Salford City Council,2017-09-22,1600592927,1146.26,191.04,955.22,Horticon Limited,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-22,1600592091,820.36,136.73,683.63,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2017-09-22,601201325,10032,0,10032,Disclosure & Barring Service,Capital Expenditure,Disclosure barring
Salford City Council,2017-09-22,1600592427,1120.98,186.83,934.15,Prs For Music Ltd,Sustainable Regeneration,Equipment Repair
Salford City Council,2017-09-22,ijmsnelub,634.86,1.69,633.17,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-22,jfrrhvyab,708.11,58.81,649.3,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-22,601201375,8184.25,0,8184.25,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201381,6507.69,0,6507.69,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201370,6908.8,0,6908.8,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201377,901.58,0,901.58,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201383,7500,0,7500,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201373,19745.79,0,19745.79,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201371,5751.3,0,5751.3,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201384,6020.42,0,6020.42,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201367,10091.28,0,10091.28,Pollock Lifts,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201386,5610.64,0,5610.64,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,601201379,6134.34,0,6134.34,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-22,1600592610,814.78,135.8,678.98,J Fletcher Engineers Ltd,Sustainable Regeneration,Internet
Salford City Council,2017-09-22,1600592920,1031.98,172,859.98,Northgate Public Services (Uk) Ltd,Corporate Business,IT  Licence Fee
Salford City Council,2017-09-22,601201351,960,160,800,Northgate Public Services (Uk) Ltd,Corporate Business,IT  Licence Fee
Salford City Council,2017-09-22,601201326,6000,1000,5000,Northgate Public Services (Uk) Ltd,Corporate Business,IT  Licence Fee
Salford City Council,2017-09-22,601201352,14424,2404,12020,Northgate Public Services (Uk) Ltd,Corporate Business,IT  Licence Fee
Salford City Council,2017-09-22,601201340,1468.8,244.8,1224,Trinity Mirror Publishing Ltd,Corporate Business,Legal Fees
Salford City Council,2017-09-22,601201320,1897.2,316.2,1581,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2017-09-22,601201338,2968.2,494.7,2473.5,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2017-09-22,601201221,3151.8,525.3,2626.5,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2017-09-22,601201355,900,150,750,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-22,601201354,738.9,123.15,615.75,Maps Ltd,Corporate Business,Liability Insurance
Salford City Council,2017-09-22,1600592736,12736.32,2122.72,10613.6,Groundwork Landscapes Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-22,601201328,646.2,0,646.2,Aqa Education,Children's Services,Other Prof Fees
Salford City Council,2017-09-22,1600592412,875,0,875,Redacted Data,Children's Services,Other Prof Fees
Salford City Council,2017-09-22,1600592935,2790,0,2790,Birtenshaw Hall,Children's Services,Payts to Agencies
Salford City Council,2017-09-22,1600592539,600,100,500,Greater Manchester Chamber,Children's Services,Payts to Agencies
Salford City Council,2017-09-22,601201133,525.2,0,525.2,NHS Salford CCG,Children's Services,Payts to Agencies
Salford City Council,2017-09-22,1600592929,2424,404,2020,Horticon Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-22,1600592939,4515,752.5,3762.5,Bloom Procurement Services Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2017-09-22,1600591842,591.28,98.56,492.72,Banner Group Ltd,"Community, Health & Social Care",Stationery
Salford City Council,2017-09-22,601200183,623.78,103.96,519.82,Vodafone Formerly Cable & Wireless,Corporate Business,Telephones & Fax
Salford City Council,2017-09-22,1600592728,4954.77,762.13,4192.64,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-22,1600592625,1029.6,171.6,858,J Fletcher Engineers Ltd,Children's Services,UV Air Con
Salford City Council,2017-09-22,1600592548,518.94,86.49,432.45,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2017-09-22,1600592541,561.6,93.6,468,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2017-09-22,1600592545,631,105.17,525.83,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2017-09-22,601201330,514.34,0,514.34,Bristow & Sutor,Corporate Business,VAT Adjustment
Salford City Council,2017-09-22,601201198,1012.31,168.72,843.59,Saltax Ltd,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-22,weopckxjx,695,26.67,668.33,Go Goodwins (Coaches),Environment and Community Safety,VMS MOTs
Salford City Council,2017-09-25,601201471,41570.44,6928.43,34642.01,Reed Specialist Recruitment Ltd,Capital Expenditure,Agency Fees
Salford City Council,2017-09-25,601201470,51263.43,8543.96,42719.47,Reed Specialist Recruitment Ltd,Capital Expenditure,Agency Fees
Salford City Council,2017-09-25,601201101,754.5,125.75,628.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-25,601200385,2562,0,2562,Salford Community Leisure Ltd,Corporate Business,Catering Materials
Salford City Council,2017-09-25,601200051,807,134.5,672.5,Citizens Advice Bureau,Corporate Business,Consult/Contractors
Salford City Council,2017-09-25,601200052,807,134.5,672.5,Citizens Advice Bureau,Corporate Business,Consult/Contractors
Salford City Council,2017-09-25,1600592732,5179.8,863.3,4316.5,S & S Marquees Ltd,Office of the Chief Executive,Contractors
Salford City Council,2017-09-25,601201474,8897.97,1462.67,7435.3,Dong Energy Sales (Uk) Ltd,Capital Expenditure,Electricity
Salford City Council,2017-09-25,601201473,118320.52,19676.42,98644.1,Dong Energy Sales (Uk) Ltd,Capital Expenditure,Electricity
Salford City Council,2017-09-25,601201472,22267.85,2998.63,19269.22,Opus Energy Ltd,Capital Expenditure,Electricity
Salford City Council,2017-09-25,dlcnmfmkn,512.09,11,501.09,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-25,rvhkxmtxm,544.83,1.17,543.66,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-25,pwxrxwifx,625.35,0,625.35,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-25,twptgertb,640.1,0,640.1,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-25,601201465,2938.26,0,2938.26,Brearleys Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201464,4573.04,0,4573.04,Brearleys Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201469,647,0,647,Department Of Work & Pensions,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201421,567,94.5,472.5,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201420,894.2,140.7,753.5,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201419,1084.2,180.7,903.5,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201417,1848,308,1540,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201422,2523,420.5,2102.5,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201418,8423.25,1327,7096.25,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201463,8750,0,8750,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201461,512.4,0,512.4,Unionline,Corporate Business,Liability Insurance
Salford City Council,2017-09-25,601201112,12666.67,0,12666.67,Cambian Childcare Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-25,1600592734,5296.45,882.74,4413.71,Harry Fairclough Construction Ltd,Capital Expenditure,Other Works
Salford City Council,2017-09-25,1600592673,630,105,525,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2017-09-25,1600592682,630,105,525,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2017-09-25,1600592106,812.56,135.43,677.13,Vanguard Storage Services Ltd,Sustainable Regeneration,Removal Expenses
Salford City Council,2017-09-25,601201175,578,0,578,Salix Homes Limited,Children's Services,Rents
Salford City Council,2017-09-25,1600592023,839373.24,139895.54,699477.7,S & W Tlp (Project Co One) Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-25,601201314,950.83,158.47,792.36,S & W Tlp (Project Co Two) Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-25,1600592951,28143.82,4690.64,23453.18,S & W Tlp (Project Co Two) Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-25,1600592025,950985.38,158497.56,792487.82,S & W Tlp (Project Co Two) Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-25,601201442,3094.55,0,3094.55,S & W Tlp (Project Co One) Ltd,Corporate Business,VAT Adjustment
Salford City Council,2017-09-26,601201482,1110,185,925,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2017-09-26,1600592180,16164,2694,13470,Gristwood And Toms Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-26,1600592120,12429.08,2071.51,10357.57,Mitie Security Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-26,601201513,4551.01,758.28,3792.73,Equita Limited,Corporate Business,Debt Recoveries Agen
Salford City Council,2017-09-26,1600592136,534,89,445,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-26,1600592142,568.18,94.7,473.48,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-26,1600592143,568.18,94.7,473.48,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-26,1600592651,864,144,720,Style North,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-26,1600592983,8517.6,1419.6,7098,Bloom Procurement Services Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2017-09-26,osvmkpmjl,540.85,2.5,538.35,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-26,yphxocmor,625.57,5.07,620.5,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-26,qyhgygqqk,644.66,4.22,640.44,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-26,cptmfiawp,1208.44,55.42,1153.02,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-26,601201475,31983.25,97.29,31885.96,Gazprom Energy,Capital Expenditure,Gas
Salford City Council,2017-09-26,1600591975,696,116,580,Rowland Bros Trade Ltd T/A Fibrous,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2017-09-26,601201487,960,160,800,Cunningham & Lindsey United Kingdom,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201492,3960,660,3300,Cunningham & Lindsey United Kingdom,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201490,540,90,450,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201485,558,93,465,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201496,600,100,500,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201515,828,138,690,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201518,3194.66,0,3194.66,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201489,3554,584,2970,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201505,13329,0,13329,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201514,7861.2,1310.2,6551,J C Applications Developmentltd,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,601201484,2248.2,374.7,1873.5,Keoghs Llp,Corporate Business,Liability Insurance
Salford City Council,2017-09-26,6002371659,7444,0,7444,Appletree Treatment Centre Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-26,6002371647,11859.96,0,11859.96,Bright Futures Care Ltd T/A Corners,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-26,6002371664,16385.71,0,16385.71,Inmind Childrens Services,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-26,6002371653,12400,0,12400,After Care (Nw) Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371624,12830.07,0,12830.07,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371641,2031.24,0,2031.24,Arnfield Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371646,11843,0,11843,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371650,9832,0,9832,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371639,9290,0,9290,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371658,3124.24,0,3124.24,Ccats Fostering,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371656,9696.6,0,9696.6,Compass Fostering North Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371625,6093.4,0,6093.4,Crossroads Care,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371628,3016,0,3016,Federation Of Jewish Services,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371629,2468.24,0,2468.24,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371638,46445.71,0,46445.71,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371655,7280,0,7280,Holistic Approach Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371636,15024,0,15024,Horizon Care & Education Group Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371645,24315.66,0,24315.66,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371661,25600,0,25600,Lonsdale Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371648,3230.29,0,3230.29,Lorimer Foster Services,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371649,12784,0,12784,Nugent Care,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371660,14364,0,14364,Olive Branch Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371642,6458.53,0,6458.53,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371640,6444.04,0,6444.04,Perpetual Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371663,10000,0,10000,Quality Protects Children Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371662,21600,0,21600,Quality Time Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371632,16623.04,0,16623.04,Reed Specialist Recruitment Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371657,12363.92,0,12363.92,Roc North West Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371630,11984,0,11984,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371633,11984,0,11984,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371627,19200,0,19200,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,1600592171,3750,0,3750,Special Spirits,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371634,9483.12,0,9483.12,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371654,3667,0,3667,The Fostering Team,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371643,19567.4,0,19567.4,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371623,6228,0,6228,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371644,2396,0,2396,Wigan Council,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,6002371651,12593.88,0,12593.88,Witherslack Group,Children's Services,Payts to Agencies
Salford City Council,2017-09-26,1600592798,2418.3,403.05,2015.25,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-26,601201674,5850.15,0,5850.15,Aim Habonim-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201651,1604.4,0,1604.4,Auntie Stephs Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201580,7129.5,0,7129.5,Auntie Stephs Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201534,2138.85,0,2138.85,Bambie Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201675,14692.65,0,14692.65,Beis Malka Beiz Girls-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201535,2138.85,0,2138.85,Beis Yaakov High School Creche,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201536,665.42,0,665.42,Bnos Yisroel Schools Manchester Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201615,37993.55,0,37993.55,Bnos Yisroel Schools Manchester Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201627,1684.1,0,1684.1,Boothstown Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201537,2851.8,0,2851.8,Boothstown Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201676,20280,0,20280,Branwood Preparatory School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201677,19003.13,0,19003.13,Bridgewater School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201612,30618,0,30618,Broughton Jewish C F Academy,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201652,1709.4,0,1709.4,Budding Wood Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201538,1847.85,0,1847.85,Budding Wood Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201688,13193.25,0,13193.25,Care Chiefs,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201611,26379.15,0,26379.15,Care Chiefs,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201581,12782.18,0,12782.18,Caterpillar Corner,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201629,4525.05,0,4525.05,Claremont Neighbourhood Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201617,26802.3,0,26802.3,Clarendon Cottage School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201699,7318.5,0,7318.5,Clk Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201701,8547,0,8547,Cottage Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201543,4990.65,0,4990.65,Daisys Daycare,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201679,10610.25,0,10610.25,Dukesgate Academy,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201529,2546.25,0,2546.25,Early Learning Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201670,2991.45,0,2991.45,Evergreen Childrens Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201582,7794.92,0,7794.92,Evergreen Childrens Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201630,2863.35,0,2863.35,Fairhills Playgroup Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201583,7791.53,0,7791.53,Fairhills Playgroup Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201673,2235.83,0,2235.83,Fledglings (Irlam) Limited,Children's Services,Pmnts Privt Provider
