Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-31,NOMINET UK,8682496,revenue,1CX50,Technical Refresh,765.94,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-31,NORCHEM HEALTHCARE LTD,8682360,revenue,1ML11,PH - Smoking & Tobacco,1219.91,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-31,NORCHEM HEALTHCARE LTD,8682361,revenue,1ML11,PH - Smoking & Tobacco,262.46,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),8672402,revenue,1MC02,Ind Sector Placements,15546.4,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-22,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),8675547,revenue,1MD66,CWD Care Packages,2348.13,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-15,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),8672736,revenue,1E20A,SB Independent Schools,13091.67,#N/A
Place,Transport,Revenue Expenditure,2022-08-09,NORTH EAST CONCRETE,8669645,revenue,1KEMC,Highways,360.43,#N/A
Place,Transport,Revenue Expenditure,2022-08-09,NORTH EAST CONCRETE,8617600,revenue,1KEMC,Highways,321.25,#N/A
Place,Transport,Revenue Expenditure,2022-08-17,NORTH EAST CONCRETE,8655287,revenue,1KEMC,Highways,414.00,#N/A
Place,Transport,Revenue Expenditure,2022-08-23,NORTH EAST CONCRETE,8669643,revenue,1KEMC,Highways,2162.39,#N/A
Place,Transport,Revenue Expenditure,2022-08-08,NORTH EAST CONCRETE,8651659,revenue,1KEMC,Highways,748,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,NORTH EAST DAMP SPECIALIST,8663827,revenue,1KVWC,Minor Works Contracts,2435.30,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,NORTH EAST SUPPORTED TENANCIES LTD,8663940,revenue,1MF04,Independent Living,5700,#N/A
Place,Transport,Capital Expenditure,2022-08-19,NORTH EAST TRAFFIC DATA COLLECTION LTD,8659777,Capital,2CAPI,Capital Investment,630,#N/A
Place,Transport,Capital Expenditure,2022-08-19,NORTH EAST TRAFFIC DATA COLLECTION LTD,8672455,Capital,2CAPI,Capital Investment,5632,#N/A
Place,Transport,Capital Expenditure,2022-08-24,NORTH EAST TRAFFIC DATA COLLECTION LTD,8668126,Capital,2CAPI,Capital Investment,17933,#N/A
Place,Transport,Capital Expenditure,2022-08-11,NORTH EAST TRAFFIC DATA COLLECTION LTD,8668110,Capital,2CAPI,Capital Investment,37454.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,NORTH EASTERN HOUSING ASSOCIATION LTD,8673316,revenue,1MN30,Asylum Seekers Adults,351.14,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,NORTH EASTERN HOUSING ASSOCIATION LTD,8673315,revenue,1MN30,Asylum Seekers Adults,351.14,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,NORTH EASTERN HOUSING ASSOCIATION LTD,8669552,revenue,1MN30,Asylum Seekers Adults,250.82,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,NORTH EASTERN HOUSING ASSOCIATION LTD,8669551,revenue,1MN30,Asylum Seekers Adults,702.27,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,NORTH EASTERN HOUSING ASSOCIATION LTD,8669553,revenue,1MN30,Asylum Seekers Adults,351.14,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,NORTH EASTERN HOUSING ASSOCIATION LTD,8669554,revenue,1MN30,Asylum Seekers Adults,351.14,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-01,NORTH EASTERN HOUSING ASSOCIATION LTD,8662209,revenue,1MN30,Asylum Seekers Adults,341.14,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-01,NORTH EASTERN HOUSING ASSOCIATION LTD,8662218,revenue,1MN30,Asylum Seekers Adults,341.14,#N/A
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-08-26,NORTH EASTERN HOUSING ASSOCIATION LTD,8662361,revenue,1VH26,Housing Advice Centre,423.98,#N/A
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-08-10,NORTH EASTERN HOUSING ASSOCIATION LTD,8670673,revenue,1VH26,Housing Advice Centre,353.32,#N/A
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-08-05,NORTH EASTERN HOUSING ASSOCIATION LTD,8650466,revenue,1VH26,Housing Advice Centre,474.61,#N/A
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-08-05,NORTH EASTERN HOUSING ASSOCIATION LTD,8651605,revenue,1VH26,Housing Advice Centre,308.13,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,NORTH LAKES CHILDRENS SERVICES,8672414,revenue,1MC02,Ind Sector Placements,35785.8,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-08,NORTHERN CEILINGS & PARTITIONS LIMITED,8668061,revenue,1KVWC,Minor Works Contracts,2250.08,#N/A
Workforce & Inclusion,Health and Safety,Revenue Expenditure,2022-08-12,NORTHERN COUNTIES SAFETY GROUP LTD,8671846,revenue,1FP40,Health & Safety Team,295,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-19,NORTHERN EDUCATION TRUST,8674780,revenue,1E238,SB High Needs Income Recovery,3710.96,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,NORTHERN EDUCATION TRUST,8680812,revenue,1E201,ISB PVI Nurseries,31898.48,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,NORTHERN EDUCATION TRUST,8680813,revenue,1E201,ISB PVI Nurseries,567.00,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,NORTHERN EDUCATION TRUST,8680819,revenue,1EEP5,2Yr Old Learning & Childcare,9650.03,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-25,NORTHERN FLOORCRAFT (GATESHEAD) LTD,8678949,revenue,1KVWC,Minor Works Contracts,2817.54,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-12,NORTHERN FLOORCRAFT (GATESHEAD) LTD,8660939,revenue,1KVWC,Minor Works Contracts,570,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-17,NORTHERN FLOORCRAFT (GATESHEAD) LTD,8663584,revenue,1KVWC,Minor Works Contracts,2208,#N/A
HRA Expenditure,General Management,Revenue Expenditure,2022-08-19,NORTHERN GAS NETWORKS LTD,8674805,revenue,1HRA9,HRA - Demolition Revenue Exp,16290.06,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-09,NORTHERN HERITAGE SERVICES LTD,8669826,revenue,1EJ17,Publications,302.79,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-09,NORTHERN LEARNING TRUST,8670059,revenue,1E25R,AP Inclusion Panel,3220,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,NORTHERN LIFE CARE LTD,8669802,revenue,1MK50,Supported Living LD,24999.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,NORTHERN LIFE CARE LTD,8669780,revenue,1MK50,Supported Living LD,35828.3,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-09,NORTHERN LIFE CARE LTD,8669802,revenue,1MK50,Supported Living LD,-451.6,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-09,NORTHERN LIFE CARE LTD,8669780,revenue,1MK50,Supported Living LD,-993.2,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,NORTHLEA COURT NH,8682528,revenue,1MG20,Residential Care OP,2828.04,#N/A
Place,Economic Development,Revenue Expenditure,2022-08-31,NORTHUMBERLAND COUNTY COUNCIL,8682366,revenue,1FN24,ESF - Generation North East,17948.90,#N/A
Place,Major Projects,Capital Expenditure,2022-08-31,NORTHUMBERLAND COUNTY COUNCIL,8660943,Capital,2CAPI,Capital Investment,690.00,#N/A
Place,Major Projects,Capital Expenditure,2022-08-31,NORTHUMBERLAND COUNTY COUNCIL,8675603,Capital,2CAPI,Capital Investment,620,#N/A
Place,Transport,Capital Expenditure,2022-08-31,NORTHUMBERLAND COUNTY COUNCIL,8660955,Capital,2CAPI,Capital Investment,424.00,#N/A
Place,Transport,Revenue Expenditure,2022-08-31,NORTHUMBERLAND COUNTY COUNCIL,8659733,revenue,1KEMC,Highways,1560.00,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-25,NORTHUMBERLAND TYNE&WEAR NHS TRUST,8678566,revenue,1ML13,ADDER Programme,49525,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-25,NORTHUMBERLAND TYNE&WEAR NHS TRUST,8678565,revenue,1ML13,ADDER Programme,77135.00,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-12,NORTHUMBERLAND TYNE&WEAR NHS TRUST,8672034,revenue,1ML13,ADDER Programme,10530,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-12,NORTHUMBERLAND TYNE&WEAR NHS TRUST,8672030,revenue,1ML13,ADDER Programme,6648,#N/A
Place,Development Management,Revenue Expenditure,2022-08-30,NORTHUMBERLAND WILDLIFE TRUST,8676046,revenue,1V033,S106 Rev Monitoring,1202.37,#N/A
Place,Development Management,Revenue Expenditure,2022-08-01,NORTHUMBERLAND WILDLIFE TRUST,8662238,revenue,1V033,S106 Rev Monitoring,1202.37,#N/A
Operations & Reg Services,Legal Services,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8665952,revenue,1FA51,Coroner,7249.59,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679788,revenue,1V307,Vehicle Salary Sacrifice,336.64,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679789,revenue,1V307,Vehicle Salary Sacrifice,445.5,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679790,revenue,1V307,Vehicle Salary Sacrifice,364.11,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679791,revenue,1V307,Vehicle Salary Sacrifice,7352.37,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679792,revenue,1V307,Vehicle Salary Sacrifice,3529.42,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679793,revenue,1V307,Vehicle Salary Sacrifice,6297.95,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679794,revenue,1V307,Vehicle Salary Sacrifice,5389.51,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679796,revenue,1V307,Vehicle Salary Sacrifice,4211.66,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679797,revenue,1V307,Vehicle Salary Sacrifice,7920.40,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679798,revenue,1V307,Vehicle Salary Sacrifice,7276.9,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679799,revenue,1V307,Vehicle Salary Sacrifice,7969.36,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679800,revenue,1V307,Vehicle Salary Sacrifice,8122.08,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679795,revenue,1V307,Vehicle Salary Sacrifice,330,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679640,revenue,1V309,Electronics Salary Sacrifice,6658.65,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673748,revenue,1V307,Vehicle Salary Sacrifice,303.54,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673749,revenue,1V307,Vehicle Salary Sacrifice,335.84,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673751,revenue,1V307,Vehicle Salary Sacrifice,290.41,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673752,revenue,1V307,Vehicle Salary Sacrifice,315.13,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673754,revenue,1V307,Vehicle Salary Sacrifice,293.13,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673755,revenue,1V307,Vehicle Salary Sacrifice,538.83,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8673774,revenue,1V307,Vehicle Salary Sacrifice,731.68,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8674499,revenue,1V307,Vehicle Salary Sacrifice,9256.90,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8674500,revenue,1V307,Vehicle Salary Sacrifice,462.82,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-19,NORTHUMBRIA HEALTHCARE NHS TRUST,8674676,revenue,1V309,Electronics Salary Sacrifice,3545.69,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670660,revenue,1V307,Vehicle Salary Sacrifice,11476.7,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670661,revenue,1V307,Vehicle Salary Sacrifice,403.09,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670663,revenue,1V307,Vehicle Salary Sacrifice,284.95,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670667,revenue,1V307,Vehicle Salary Sacrifice,370.69,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670668,revenue,1V307,Vehicle Salary Sacrifice,456.67,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670669,revenue,1V307,Vehicle Salary Sacrifice,384.13,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670670,revenue,1V307,Vehicle Salary Sacrifice,636.66,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-10,NORTHUMBRIA HEALTHCARE NHS TRUST,8670671,revenue,1V307,Vehicle Salary Sacrifice,531.93,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8680937,revenue,1V307,Vehicle Salary Sacrifice,8222.96,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8680940,revenue,1V307,Vehicle Salary Sacrifice,7054.7,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8680977,revenue,1V307,Vehicle Salary Sacrifice,9852.44,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8680978,revenue,1V307,Vehicle Salary Sacrifice,9322.62,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8680985,revenue,1V307,Vehicle Salary Sacrifice,9652.9,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8680989,revenue,1V307,Vehicle Salary Sacrifice,5968.05,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8681000,revenue,1V307,Vehicle Salary Sacrifice,5428.79,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8681017,revenue,1V307,Vehicle Salary Sacrifice,9696.9,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8681018,revenue,1V307,Vehicle Salary Sacrifice,8762.43,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8681019,revenue,1V307,Vehicle Salary Sacrifice,9406.70,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-30,NORTHUMBRIA HEALTHCARE NHS TRUST,8681025,revenue,1V307,Vehicle Salary Sacrifice,3271.23,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-01,NORTHUMBRIA HEALTHCARE NHS TRUST,8662337,revenue,1V307,Vehicle Salary Sacrifice,327.03,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-01,NORTHUMBRIA HEALTHCARE NHS TRUST,8662338,revenue,1V307,Vehicle Salary Sacrifice,8576.84,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-01,NORTHUMBRIA HEALTHCARE NHS TRUST,8662343,revenue,1V307,Vehicle Salary Sacrifice,5868.90,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-01,NORTHUMBRIA HEALTHCARE NHS TRUST,8662344,revenue,1V307,Vehicle Salary Sacrifice,5257.30,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672492,revenue,1V307,Vehicle Salary Sacrifice,358.12,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672497,revenue,1V307,Vehicle Salary Sacrifice,4278.52,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672498,revenue,1V307,Vehicle Salary Sacrifice,3701.90,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672499,revenue,1V307,Vehicle Salary Sacrifice,266.59,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672501,revenue,1V307,Vehicle Salary Sacrifice,458.99,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672508,revenue,1V307,Vehicle Salary Sacrifice,321.12,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672517,revenue,1V307,Vehicle Salary Sacrifice,390.36,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672518,revenue,1V307,Vehicle Salary Sacrifice,5461.9,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672519,revenue,1V307,Vehicle Salary Sacrifice,10398.61,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672520,revenue,1V307,Vehicle Salary Sacrifice,11337.29,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672521,revenue,1V307,Vehicle Salary Sacrifice,530.67,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672523,revenue,1V307,Vehicle Salary Sacrifice,7628.91,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672524,revenue,1V307,Vehicle Salary Sacrifice,8101.36,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672525,revenue,1V307,Vehicle Salary Sacrifice,9102.90,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672526,revenue,1V307,Vehicle Salary Sacrifice,6572.9,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672527,revenue,1V307,Vehicle Salary Sacrifice,359.96,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672528,revenue,1V307,Vehicle Salary Sacrifice,730.16,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-15,NORTHUMBRIA HEALTHCARE NHS TRUST,8672440,revenue,1V309,Electronics Salary Sacrifice,4026.54,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666610,revenue,1V307,Vehicle Salary Sacrifice,462.89,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666611,revenue,1V307,Vehicle Salary Sacrifice,816.71,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666692,revenue,1V307,Vehicle Salary Sacrifice,436.17,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666694,revenue,1V307,Vehicle Salary Sacrifice,337,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666695,revenue,1V307,Vehicle Salary Sacrifice,290.41,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666612,revenue,1V309,Electronics Salary Sacrifice,4950.86,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-05,NORTHUMBRIA HEALTHCARE NHS TRUST,8666613,revenue,1V309,Electronics Salary Sacrifice,5628.59,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-11,NORTHUMBRIA HEALTHCARE NHS TRUST,8671136,revenue,1V307,Vehicle Salary Sacrifice,813.47,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675507,revenue,1V307,Vehicle Salary Sacrifice,1712.19,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675523,revenue,1V307,Vehicle Salary Sacrifice,7656.4,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675524,revenue,1V307,Vehicle Salary Sacrifice,8563.36,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675525,revenue,1V307,Vehicle Salary Sacrifice,5786.23,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675526,revenue,1V307,Vehicle Salary Sacrifice,4267.03,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675527,revenue,1V307,Vehicle Salary Sacrifice,6087.43,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675528,revenue,1V307,Vehicle Salary Sacrifice,8981.90,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675529,revenue,1V307,Vehicle Salary Sacrifice,6844.47,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675530,revenue,1V307,Vehicle Salary Sacrifice,6088.90,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675531,revenue,1V307,Vehicle Salary Sacrifice,5638.05,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675622,revenue,1V307,Vehicle Salary Sacrifice,8233.36,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675623,revenue,1V307,Vehicle Salary Sacrifice,7920.40,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675675,revenue,1V307,Vehicle Salary Sacrifice,299.68,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-22,NORTHUMBRIA HEALTHCARE NHS TRUST,8675624,revenue,1V307,Vehicle Salary Sacrifice,265.08,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679759,revenue,1ML02,PH-Sexual Hlth-STI Test/Treat,5977,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-26,NORTHUMBRIA HEALTHCARE NHS TRUST,8679758,revenue,1ML02,PH-Sexual Hlth-STI Test/Treat,1817.00,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,NORTHUMBRIA UNIVERSITY NURSERY LTD,8681047,revenue,1E201,ISB PVI Nurseries,38523.96,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,NORTHUMBRIA UNIVERSITY NURSERY LTD,8681048,revenue,1EEP5,2Yr Old Learning & Childcare,584.85,#N/A
Place,Transport,Revenue Expenditure,2022-08-09,NORTHUMBRIAN WATER,8666325,revenue,1KEMC,Highways,2154,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,NORWOOD RAVENSWOOD SERVICES LTD,8663159,revenue,1MK20,Residential Care LD,3945.32,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,NORWOOD RAVENSWOOD SERVICES LTD,8682632,revenue,1MK20,Residential Care LD,4103.12,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,NORWOOD RAVENSWOOD SERVICES LTD,8682631,revenue,1MK20,Residential Care LD,805.91,#N/A
