Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seque no,Period,Supplier ID(T),Amount,Updated
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,974,201412,KEIRO LTD,1582.49,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,987,201412,KEIRO LTD,884.56,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,988,201412,BARCHESTER HEALTHCARE LTD,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1003,201412,WORDSWORTH HOUSE,894.68,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1027,201412,FOUR SEASONS HEALTH CARE LTD,1251.40,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1028,201412,FOUR SEASONS HEALTH CARE LTD,579.64,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1034,201412,COVENT HOUSE,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1035,201412,COVENT HOUSE,1332.72,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1037,201412,COVENT HOUSE,4072.48,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1046,201412,ALBANY HOUSE,608.4,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1076,201412,EASTGATE MANOR,506.32,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1094,201412,BOND CARE,1011.60,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1111,201412,BOND CARE,4260.68,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1118,201412,BOND CARE,774.4,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1119,201412,ROSEWOOD HR SERVICES LTD,216.84,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1120,201412,BOND CARE,467.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1121,201412,BOND CARE,1176.43,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1122,201412,BOND CARE,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1127,201412,ROSEWOOD HR SERVICES LTD,827.4,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1129,201412,BOND CARE,761.32,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1130,201412,ROSEWOOD HR SERVICES LTD,1354.12,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1148,201412,ROSEWOOD HR SERVICES LTD,631.76,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1149,201412,ROSEWOOD HR SERVICES LTD,1065.40,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1154,201412,ROSEWOOD HR SERVICES LTD,730.2,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,14,201412,BOND CARE,3503.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,25,201412,BOND CARE,8503.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,32,201412,BOND CARE,6599.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,37,201412,ROSEWOOD HR SERVICES LTD,1793.67,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,38,201412,ROSEWOOD HR SERVICES LTD,1948.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,49,201412,ROSEWOOD HR SERVICES LTD,1948.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,51,201412,BOND CARE,16240.88,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,67,201412,BOND CARE,1904.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,68,201412,COVENT HOUSE,6802.68,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,69,201412,BOND CARE,2315.16,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,71,201412,COVENT HOUSE,4091.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,72,201412,COVENT HOUSE,4091.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,73,201412,COVENT HOUSE,1824.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,74,201412,COVENT HOUSE,2267.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,104,201412,FOUR SEASONS HEALTH CARE LTD,4083.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,105,201412,FOUR SEASONS HEALTH CARE LTD,4083.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,110,201412,FOUR SEASONS HEALTH CARE LTD,41997.59,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,113,201412,BOND CARE,12311.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,114,201412,BOND CARE,28332.92,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,115,201412,BOND CARE,2071.68,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,116,201412,FOUR SEASONS HEALTH CARE LTD,2263.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,151,201412,BARCHESTER HEALTHCARE LTD,3640.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,166,201412,BARCHESTER HEALTHCARE LTD,1050.94,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,214,201412,EMBRACE  GROUP,2347.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,215,201412,EMBRACE  GROUP,8059.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,216,201412,EMBRACE  GROUP,2347.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,259,201412,CARE UK LTD,3896.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,270,201412,GAINFORD CARE HOMES LTD,16914.68,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,276,201412,GAINFORD CARE HOMES LTD,4339.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,278,201412,GAINFORD CARE HOMES LTD,4339.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,286,201412,GAINFORD CARE HOMES LTD,4783.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,341,201412,GAINFORD CARE HOMES LTD,5581.42,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,342,201412,GAINFORD CARE HOMES LTD,5987.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,389,201412,FOUR SEASONS HEALTHCARE LTD,1904.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,461,201412,THE MANOR HOUSE,2391.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,462,201412,THE MANOR HOUSE,2391.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,476,201412,ADDISON COURT T/A DAV HOMES LTD,4535.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,489,201412,ADDISON COURT T/A DAV HOMES LTD,2267.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,492,201412,ADDISON COURT T/A DAV HOMES LTD,4535.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,503,201412,FELLINGATE CARE CENTRE LTD,1786.82,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,507,201412,FELLINGATE CARE CENTRE LTD,2391.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,547,201412,NORTH ROAD CARE & NURSING HOME (BLACKSTONE CARE LTD),2408.52,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,551,201412,NORTH ROAD CARE & NURSING HOME (BLACKSTONE CARE LTD),1964.96,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,610,201412,SUNNINGDALE HOUSE CARE HOME,2319.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,649,201412,GRANBY ROSE - FOUR SEASONS HEALTH CARE,4400.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,666,201412,TAMARIS HEALTHCARE LTD BRAMPTON COURT,1964.96,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,667,201412,ABIGAIL LODGE,1920.08,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,671,201412,CARELINE LIFESTYLES LTD,5100.00,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,764,201412,FELLINGATE CARE CENTRE LTD,442.68,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,771,201412,FOUR SEASONS HEALTHCARE LTD,498.28,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,779,201412,TAMARIS HEALTHCARE LTD BRAMPTON COURT,577.92,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,799,201412,GAINFORD CARE HOMES LTD,958.95,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,800,201412,GAINFORD CARE HOMES LTD,631.12,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,865,201412,GAINFORD CARE HOMES LTD,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,866,201412,GAINFORD CARE HOMES LTD,895.04,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,867,201412,GAINFORD CARE HOMES LTD,2241.80,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,898,201412,CARE UK LTD,2219.76,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,900,201412,NORTH ROAD CARE & NURSING HOME (BLACKSTONE CARE LTD),495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,925,201412,EMBRACE  GROUP,1600.32,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,956,201412,BARCHESTER HEALTHCARE LTD,1225.40,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1016,201412,ABIGAIL LODGE,798.16,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1029,201412,FOUR SEASONS HEALTH CARE LTD,624.28,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1030,201412,FOUR SEASONS HEALTH CARE LTD,487.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1033,201412,COVENT HOUSE,818.24,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1040,201412,COVENT HOUSE,598.76,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1098,201412,BOND CARE,992,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1099,201412,BOND CARE,623.36,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1100,201412,BOND CARE,238.1,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1132,201412,BOND CARE,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1133,201412,BOND CARE,471.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1134,201412,BOND CARE,3783.24,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1135,201412,BOND CARE,2225.00,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1150,201412,ROSEWOOD HR SERVICES LTD,865.16,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1151,201412,ROSEWOOD HR SERVICES LTD,495.8,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,34,201412,BOND CARE,2550.46,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,43,201412,ROSEWOOD HR SERVICES LTD,4324.71,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,47,201412,BOND CARE,5532.42,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,50,201412,ROSEWOOD HR SERVICES LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,66,201412,BOND CARE,8451.95,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,75,201412,COVENT HOUSE,9837.53,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,122,201412,FOUR SEASONS HEALTH CARE LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,123,201412,FOUR SEASONS HEALTH CARE LTD,1710.87,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,124,201412,FOUR SEASONS HEALTH CARE LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,167,201412,BARCHESTER HEALTHCARE LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,170,201412,BARCHESTER HEALTHCARE LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,178,201412,KEIRO LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,179,201412,KEIRO LTD,4293.02,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,180,201412,KEIRO LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,185,201412,BARCHESTER HEALTHCARE LTD,8839.52,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,188,201412,BARCHESTER HEALTHCARE LTD,340.05,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,201,201412,SOLEHAWK LTD,6209.84,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,210,201412,EMBRACE  GROUP,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,212,201412,EMBRACE  GROUP,7619.73,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,213,201412,EMBRACE  GROUP,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,236,201412,SOLEHAWK LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,260,201412,CARE UK LTD,7492.99,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,289,201412,GAINFORD CARE HOMES LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,290,201412,GAINFORD CARE HOMES LTD,6653.40,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,291,201412,GAINFORD CARE HOMES LTD,610.44,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,339,201412,GAINFORD CARE HOMES LTD,10851.36,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,376,201412,FOUR SEASONS HEALTHCARE LTD,2355.34,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,386,201412,FOUR SEASONS HEALTHCARE LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,388,201412,FOUR SEASONS HEALTHCARE LTD,8459.32,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,450,201412,THE MANOR HOUSE,4435.60,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,463,201412,THE MANOR HOUSE,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,474,201412,ADDISON COURT T/A DAV HOMES LTD,6209.84,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,475,201412,ADDISON COURT T/A DAV HOMES LTD,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,480,201412,VALLEY VIEW RESIDENTIAL HOME,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,497,201412,FELLINGATE CARE CENTRE LTD,5506.47,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,544,201412,WORDSWORTH HOUSE,443.56,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,33,201412,BOND CARE,259.43,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,121,201412,FOUR SEASONS HEALTH CARE LTD,5728.55,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,169,201412,KEIRO LTD,129.71,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,176,201412,KEIRO LTD,1694.67,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,189,201412,BARCHESTER HEALTHCARE LTD,4335.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,203,201412,EMBRACE  GROUP,3308.64,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,209,201412,EMBRACE  GROUP,2918.58,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,254,201412,CARE UK LTD,267.43,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,261,201412,CARE UK LTD,1604.57,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,263,201412,CARE UK LTD,17998.22,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,264,201412,CARE UK LTD,534.86,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,333,201412,GAINFORD CARE HOMES LTD,129.71,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,431,201412,WELLBURN CARE HOMES LTD,5487.51,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,477,201412,VALLEY VIEW RESIDENTIAL HOME,6193.02,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,501,201412,FELLINGATE CARE CENTRE LTD,2607.43,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,603,201412,FOUR SEASONS HEALTHCARE LTD,3807.14,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,633,201412,CARELINE LIFESTYLES LTD,5800.00,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,763,201412,FELLINGATE CARE CENTRE LTD,607.84,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,801,201412,GAINFORD CARE HOMES LTD,129.71,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,887,201412,CARE UK LTD,1360.00,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,890,201412,CARE UK LTD,124.69,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,892,201412,CARE UK LTD,1590.60,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,893,201412,CARE UK LTD,484.22,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,926,201412,EMBRACE  GROUP,389.65,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,971,201412,KEIRO LTD,31.17,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1031,201412,FOUR SEASONS HEALTH CARE LTD,436.4,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,1097,201412,BOND CARE,62.35,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,208,201412,EMBRACE  GROUP,1088.00,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,927,201412,EMBRACE  GROUP,249.37,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,141,201412,UNITED RESPONSE,7705.12,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,281,201412,COMMUNITY INTEGRATED CARE,12781.92,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,304,201412,ASHDOWN CARE HOMES LTD,4894.08,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,319,201412,COMMUNITY INTEGRATED CARE,240,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,328,201412,COMMUNITY INTEGRATED CARE,13117.20,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,840,201412,ASHDOWN CARE HOMES LTD,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,856,201412,COMMUNITY INTEGRATED CARE,495.8,2015-03-25
"Care, Wellbeing & Learning",Income: Fees and Charges,"Charges, Fees & Income",60020233,880,201412,COMMUNITY INTEGRATED CARE,495.8,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,4,201412,APPLETREE GRANGE,1816.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,6,201412,APPLETREE GRANGE,11090.57,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,9,201412,APPLETREE GRANGE,1816.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,15,201412,APPLETREE GRANGE,843.14,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,36,201412,BOND CARE,5902.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,48,201412,BOND CARE,3744.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,53,201412,ROSEWOOD HR SERVICES LTD,1872.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,54,201412,BOND CARE,1816.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,55,201412,BOND CARE,3632.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,60,201412,ROSEWOOD HR SERVICES LTD,1828.65,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,62,201412,ROSEWOOD HR SERVICES LTD,2502.66,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,63,201412,ROSEWOOD HR SERVICES LTD,5616.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,64,201412,ROSEWOOD HR SERVICES LTD,9360.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,65,201412,ROSEWOOD HR SERVICES LTD,1872.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,77,201412,COVENT HOUSE,1752.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,86,201412,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),1872.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,90,201412,CLIFFORD HOUSE HOMES LTD,9457.27,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,96,201412,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),1763.87,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,97,201412,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),5616.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,98,201412,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),7956.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,119,201412,BOND CARE,1872.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,125,201412,BOND CARE,11232.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,126,201412,BOND CARE,5950.29,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,128,201412,BOND CARE,3744.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,129,201412,BOND CARE,7020.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,130,201412,BOND CARE,3744.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,133,201412,BOND CARE,5616.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,152,201412,CARE UK LTD,7488.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,157,201412,CARE UK LTD,10563.43,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,158,201412,CARE UK LTD,1872.00,2015-03-25
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,60020233,177,201412,SPRINGFIELD HOUSE - MCARDLE CARE,7488.00,2015-03-25
