Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108757805,665.21,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108772967,664.20,2016-05-18,Assembly & Secretariat,Central services,Central services
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108751093,661.00,2016-05-18,Development & Environment,Economic Development,Planning services
10000785,HUNTRESS SEARCH LTD,504020,RECRUITMENT AGENCY FEES,5108757804,615.19,2016-05-18,Communities and Intelligence,Public Health,Public Health
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108748067,552.20,2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108757798,509.22,2016-05-04,Development & Environment,Economic Development,Planning services
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108767323,338.06,2016-05-25,External Affairs,Corporate and democratic core,Corporate and democratic core
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108748066,324.95,2016-05-04,Assembly & Secretariat,Central services,Central services
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036576,3000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036577,3000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036231,"(3,000.00)",2016-05-16,Development & Environment,Capital,Y_CAPITAL
10013109,ICF CONSULTING SERVICES LTD,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108774407,22475.00,2016-05-12,Resources,Support Costs,Z_SUPPORT COSTS
10013109,ICF CONSULTING SERVICES LTD,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108774398,8700.00,2016-05-12,Assembly & Secretariat,Central services,Central services
10016944,IMPACT DISTRIBUTION SERVICES LTD,540014,AGENCY FEES PAID TO MARKETING AGENCIES,5108734978,1048.50,2016-05-11,Development & Environment,Capital,Y_CAPITAL
12001491,INDEPENDENT LIVING ALTERNATIVES,504500,STAFF WELFARE BENEFITS,5108764288,784.00,2016-05-10,"Development, Enterprise & Environment",Economic Development,Planning services
10016647,INDIGO2,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108768961,9250.00,2016-05-09,Communities and Intelligence,Cultural & related services,Cultural & related services
10001119,INSIGHT DIRECT UK LIMITED,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108737768,3286.40,2016-05-05,Communities and Intelligence,Childrens and education services,Childrens and education services
10023793,INSPIRED EXCHANGE LTD,542355,OTHER PROFESSIONAL FEES,5108780419,1500.00,2016-05-18,"Development, Enterprise & Environment",Economic Development,Planning services
10019697,INSTITUTE OF CONTEMPORARY ARTS,542355,OTHER PROFESSIONAL FEES,5108787932,260.00,2016-05-27,Housing,Housing services,Housing services
15500405,ISLINGTON COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108748687,39569.00,2016-05-17,Resources,Capital,Y_CAPITAL
15500405,ISLINGTON COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108698104,18151.00,2016-05-17,Assembly & Secretariat,Central services,Central services
15500405,ISLINGTON COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108698122,5160.00,2016-05-17,Resources,Support Costs,Z_SUPPORT COSTS
10025081,ITC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036574,800.00,2016-05-16,Housing,Capital,Y_CAPITAL
10025081,ITC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036575,800.00,2016-05-16,Assembly & Secretariat,Central services,Central services
10024878,JACKFRANCIS MEDIA LTD,540100,PHOTOGRAPHY & VIDEO,5108775409,450.00,2016-05-13,Development & Environment,Economic Development,Planning services
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108780526,1100.00,2016-05-18,Development & Environment,Capital,Y_CAPITAL
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108775418,450.00,2016-05-13,Communities and Intelligence,Community Development,Planning services
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108780528,450.00,2016-05-18,Development & Environment,Economic Development,Planning services
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108767248,350.00,2016-05-04,Development & Environment,Capital,Y_CAPITAL
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108787205,350.00,2016-05-26,Communities and Intelligence,Childrens and education services,Childrens and education services
10023411,JEREMY DELLER,542355,OTHER PROFESSIONAL FEES,5108767218,3847.80,2016-05-04,Private Office,Economic Development,Planning services
10000245,JONES YARRELL LEADENHALL,533100,PUBLICATIONS & PERIODICALS,5108768563,255.83,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10016975,KING'S FUND,504200,STAFF TRAINING,5108780409,315.00,2016-05-19,Resources,Support Costs,Z_SUPPORT COSTS
10026799,LAMBETH COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108763735,75594.43,2016-05-03,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10026799,LAMBETH COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108782875,53113.41,2016-05-25,Development & Environment,Development Control,Planning services
18000103,LB HOUNSLOW,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900036620,70000.00,2016-05-26,Assembly & Secretariat,Central services,Central services
16001202,LISBOA E-NOVA,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108755180,131686.67,2016-05-11,Communities and Intelligence,Economic Development,Planning services
10025094,LIZA MONKS,542355,OTHER PROFESSIONAL FEES,5108780548,304.00,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108748740,18275.39,2016-05-04,Assembly & Secretariat,Central services,Central services
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108756724,5000.00,2016-05-04,Assembly & Secretariat,Central services,Central services
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108756724,(833.33),2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108748739,"(18,275.39)",2016-05-04,Development & Environment,Capital,Y_CAPITAL
10006783,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108748073,101182.27,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
10006783,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108767233,22000.00,2016-05-19,Resources,Support Costs,Z_SUPPORT COSTS
10006783,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108748083,6316.00,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
10006783,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108748074,2800.00,2016-05-04,Communities and Intelligence,Cultural & related services,Cultural & related services
10014176,LONDON BOROUGH OF EALING,542002,CONSULTANCY-PROJECT MANAGEMENT,5108744521,325.00,2016-05-17,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
18000161,LONDON BOROUGH OF ENFIELD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108786873,28024.00,2016-05-26,Resources,Support Costs,Z_SUPPORT COSTS
10006036,LONDON BOROUGH OF HACKNEY,542420,CLAIM SETTLEMENTS,1900001686,110000.00,2016-05-13,Housing & Land,Housing & Land Services,Other
15500137,LONDON BOROUGH OF HARROW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108755830,27805.65,2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
10014168,LONDON BOROUGH OF HARROW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108755827,18544.84,2016-05-11,Private Office,Economic Development,Planning services
10006080,LONDON BOROUGH OF HAVERING,544076,HSG GRANTS TO REGISTERED PROVIDERS,5108768577,17000.00,2016-05-06,Resources,Capital,Y_CAPITAL
10014173,LONDON BOROUGH OF HOUNSLOW,531010,CATERERS SERVICE CHARGES,5108768569,20855.79,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
15500080,LONDON BOROUGH OF HOUNSLOW,510025,SECURITY SERVICES (GUARDS),5108755832,2371.20,2016-05-16,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
15500080,LONDON BOROUGH OF HOUNSLOW,510025,SECURITY SERVICES (GUARDS),5108755832,(395.20),2016-05-16,Communities and Intelligence,Childrens and education services,Childrens and education services
15500012,LONDON BOROUGH OF ISLINGTON,544063,INCOME MAXIMISATION EXPENSES,5108748086,127075.68,2016-05-04,Resources,Corporate and democratic core,Corporate and democratic core
15500012,LONDON BOROUGH OF ISLINGTON,544063,INCOME MAXIMISATION EXPENSES,5108754611,5294.82,2016-05-11,Communities and Intelligence,Cultural & related services,Cultural & related services
15500012,LONDON BOROUGH OF ISLINGTON,504701,CRB CHECKS,5108736484,512.00,2016-05-16,Development & Environment,Economic Development,Planning services
15500012,LONDON BOROUGH OF ISLINGTON,504701,CRB CHECKS,5108736740,(384.00),2016-05-16,Communities and Intelligence,Childrens and education services,Childrens and education services
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108754273,54332.48,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108767236,45249.27,2016-05-11,"Development, Enterprise & Environment",Economic Development,Planning services
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108767241,19493.78,2016-05-11,Communities and Intelligence,Community Development,Planning services
10012021,LONDON BOROUGH OF MERTON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108769469,1300.00,2016-05-25,Housing and Regeneration,Housing services,Housing services
10002766,LONDON COUNCILS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108781021,164414.42,2016-05-27,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
10022941,LONDON LGBT+COMM PRIDE CIC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108788097,90000.00,2016-05-27,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10004625,LONDON METROPOLITAN UNIVERSITY,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108737269,43168.00,2016-05-18,External Affairs,Cultural & related services,Cultural & related services
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS93,43000.00,2016-05-09,RESOURCES,Highways and transport services,
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS133,43000.00,2016-05-23,RESOURCES,Highways and transport services,
10021206,M INTEGRATED SOLUTIONS PLC,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108696143,4482.00,2016-05-25,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
16000667,MACCREANOR LAVINGTON,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108775255,27000.00,2016-05-13,Development & Environment,Capital,Y_CAPITAL
16000667,MACCREANOR LAVINGTON,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108774935,20000.00,2016-05-13,Communities and Intelligence,Economic Development,Planning services
16000667,MACCREANOR LAVINGTON,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108775255,10600.00,2016-05-13,Communities and Intelligence,Cultural & related services,Cultural & related services
16000667,MACCREANOR LAVINGTON,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108774935,"(10,600.00)",2016-05-13,Communities and Intelligence,Community Development,Planning services
10024363,MANAGED COMMUNICATIONS LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036558,3000.00,2016-05-16,Development & Environment,Development Control,Planning services
13002587,MANTARAY ABSEIL LTD,510642,HEALTH & SAFETY SYSTEMS & ASSURANCE,5108775794,1230.00,2016-05-17,Housing & Land,Housing & Land Services,Other
10017187,MARTINSPEED LTD,542355,OTHER PROFESSIONAL FEES,5108787165,453.90,2016-05-26,Resources,Capital,Y_CAPITAL
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108769410,34798.53,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108769412,30858.23,2016-05-25,Assembly & Secretariat,Central services,Central services
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108754212,19550.06,2016-05-09,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540014,AGENCY FEES PAID TO MARKETING AGENCIES,5108769399,17000.00,2016-05-25,Resources,Capital,Y_CAPITAL
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108769414,12660.67,2016-05-25,External Affairs,Cultural & related services,Cultural & related services
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540012,MARKETING STRATEGY AND CONSULTANCY,5108754240,8910.17,2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108754241,8105.27,2016-05-09,Private Office,Economic Development,Planning services
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540012,MARKETING STRATEGY AND CONSULTANCY,5108754237,6848.88,2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108754209,6604.39,2016-05-09,Development & Environment,Capital,Y_CAPITAL
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108754244,5724.38,2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540011,STATUTORY ADS NOTICES COMMUNICATIONS & CONSULTATIO,5108769244,2478.80,2016-05-25,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108769471,349.10,2016-05-25,Communities and Intelligence,Cultural & related services,Cultural & related services
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5108769581,(552.49),2016-05-09,Development & Environment,Capital,Y_CAPITAL
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540027,PRINTING FOR MARKETING MATERIALS,5108769587,(571.02),2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540014,AGENCY FEES PAID TO MARKETING AGENCIES,5108769399,"(15,979.61)",2016-05-25,Development & Environment,Capital,Y_CAPITAL
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108761435,8100.00,2016-05-05,Resources,Support Costs,Z_SUPPORT COSTS
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108760862,7613.10,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108760958,1500.00,2016-05-05,Resources,Support Costs,Z_SUPPORT COSTS
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108760862,"(5,581.40)",2016-05-18,Development & Environment,Capital,Y_CAPITAL
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5108734633,300.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5108756745,300.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10026247,MIME CONSULTING,542355,OTHER PROFESSIONAL FEES,5108737784,47727.50,2016-05-13,Communities and Intelligence,Cultural & related services,Cultural & related services
10000513,MONO EUROPE LTD,530000,FURNITURE & EQUIPMENT,5108786746,661.96,2016-05-26,Development & Environment,Capital,Y_CAPITAL
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS94,316000.00,2016-05-09,COMMUNITIES & INTELLIGENCE,Cultural & related services,
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS134,316000.00,2016-05-23,COMMUNITIES & INTELLIGENCE,Cultural & related services,
10002539,NCC SERVICES LTD,542100,IT CONSULTANCY,5108767251,3980.00,2016-05-25,Communities and Intelligence,Capital,Y_CAPITAL
10002539,NCC SERVICES LTD,542100,IT CONSULTANCY,5108775280,1295.00,2016-05-13,Housing,Capital,Y_CAPITAL
13000155,NETWORK RAIL INFRASTRUCTURE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108767326,360000.00,2016-05-25,"Development, Enterprise & Environment",Capital,Y_CAPITAL
13000155,NETWORK RAIL INFRASTRUCTURE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108767326,"(60,000.00)",2016-05-25,Corporate Management,Corporate and democratic core,Corporate and democratic core
13000155,NETWORK RAIL INFRASTRUCTURE,550010,CONTRACTED SERVICES BUILDINGS,5108767210,9900.51,2016-05-25,Housing & Land,Housing & Land Services,Other
18000008,NEWLON HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900036499,192000.00,2016-05-06,Housing,Capital,Y_CAPITAL
16001205,NHP S.R.L.,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108755319,135029.98,2016-05-11,Communities and Intelligence,Economic Development,Planning services
10025118,NIMANS NETWORK SERVICES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036370,3000.00,2016-05-26,Resources,Support Costs,Z_SUPPORT COSTS
10025118,NIMANS NETWORK SERVICES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036371,2700.00,2016-05-26,Resources,Support Costs,Z_SUPPORT COSTS
10026806,NW3 BUSINESS ASSOCIATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108767253,8244.11,2016-05-12,Private Office,Economic Development,Planning services
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5108751031,480.35,2016-05-11,External Affairs,Corporate and democratic core,Corporate and democratic core
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5108751022,333.00,2016-05-10,Development & Environment,Planning Policy,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108763703,2289.90,2016-05-24,Development & Environment,Economic Development,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108763546,1140.70,2016-05-18,Corporate Management,Corporate and democratic core,Corporate and democratic core
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108753870,922.75,2016-05-09,Housing,Environmental & regulatory services,Environmental & regulatory services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108773344,851.85,2016-05-25,Development & Environment,Economic Development,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108753941,500.00,2016-05-11,Development & Environment,Capital,Y_CAPITAL
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108773324,451.50,2016-05-25,Development & Environment,Development Control,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108773295,428.80,2016-05-25,"Development, Enterprise & Environment",Economic Development,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108751390,366.75,2016-05-09,Development & Environment,Capital,Y_CAPITAL
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108773376,319.30,2016-05-25,Assembly & Secretariat,Central services,Central services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108763581,297.00,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108751392,285.25,2016-05-09,Housing,Planning Policy,Planning services
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108764090,476.00,2016-05-25,External Affairs,Corporate and democratic core,Corporate and democratic core
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108744157,476.00,2016-05-05,External Affairs,Corporate and democratic core,Corporate and democratic core
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108757704,476.00,2016-05-19,External Affairs,Corporate and democratic core,Corporate and democratic core
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108747297,476.00,2016-05-05,External Affairs,Corporate and democratic core,Corporate and democratic core
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108744158,464.10,2016-05-05,Resources,Support Costs,Z_SUPPORT COSTS
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108756442,367.80,2016-05-18,Development & Environment,Capital,Y_CAPITAL
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108754750,290.27,2016-05-17,Communities and Intelligence,Cultural & related services,Cultural & related services
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5108744157,(464.10),2016-05-05,Development & Environment,Development Control,Planning services
10003612,OPEN TEXT UK LTD,536510,SOFTWARE MAINTENANCE,5108767216,28279.78,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036535,3000.00,2016-05-16,Housing and Regeneration,Housing services,Housing services
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036537,3000.00,2016-05-16,Housing and Regeneration,Housing services,Housing services
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036538,3000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036539,3000.00,2016-05-16,Communities and Intelligence,Cultural & related services,Cultural & related services
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036543,3000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036534,3000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036540,3000.00,2016-05-16,Resources,Corporate and democratic core,Corporate and democratic core
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036536,3000.00,2016-05-16,Resources,Corporate and democratic core,Corporate and democratic core
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036542,3000.00,2016-05-16,Resources,Corporate and democratic core,Corporate and democratic core
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036541,437.50,2016-05-16,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10000690,ORC INTERNATIONAL LTD,504200,STAFF TRAINING,5108775828,5010.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10007901,OVE ARUP & PARTNERS LTD,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108777187,14426.00,2016-05-25,Development & Environment,Capital,Y_CAPITAL
10007901,OVE ARUP & PARTNERS LTD,542355,OTHER PROFESSIONAL FEES,5108742151,6947.35,2016-05-17,Resources,Support Costs,Z_SUPPORT COSTS
10007901,OVE ARUP & PARTNERS LTD,542355,OTHER PROFESSIONAL FEES,5108742154,2102.35,2016-05-17,Communities and Intelligence,Cultural & related services,Cultural & related services
10007901,OVE ARUP & PARTNERS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108769243,600.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10007901,OVE ARUP & PARTNERS LTD,542355,OTHER PROFESSIONAL FEES,5108742151,"(2,102.35)",2016-05-17,Development & Environment,Capital,Y_CAPITAL
10026886,PESCADO HOSTED LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036544,3000.00,2016-05-24,Housing and Regeneration,Housing services,Housing services
10019522,PINNACLE HOUSING LTD,535020,TELEPHONY MOBILE,5108772987,375.00,2016-05-10,Development & Environment,Capital,Y_CAPITAL
10017672,PIPERS PROJECTS LTD,542355,OTHER PROFESSIONAL FEES,5108767252,22000.00,2016-05-12,Resources,Capital,Y_CAPITAL
10017672,PIPERS PROJECTS LTD,542355,OTHER PROFESSIONAL FEES,5108768491,5000.00,2016-05-12,Assembly & Secretariat,Central services,Central services
10017057,PIVOTAL SOLUTIONS LTD,536510,SOFTWARE MAINTENANCE,5108763729,10300.00,2016-05-05,Communities and Intelligence,Community Development,Planning services
10023216,PLUNKETT FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108788217,33361.88,2016-05-27,Communities and Intelligence,Community Development,Planning services
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108786813,381187.41,2016-05-25,Housing,Capital,Y_CAPITAL
16001200,POLIEDRA - POLITECNICO DI MILANO,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108762297,124999.62,2016-05-17,Communities and Intelligence,Economic Development,Planning services
10024362,POLLY GAVINS LIMITED,504200,STAFF TRAINING,5108768829,521.71,2016-05-27,Development & Environment,Economic Development,Planning services
10004598,PORT OF LONDON AUTHORITY,510051,LAND/GROUND RENTS,5108743670,17235.96,2016-05-03,Housing & Land,Housing & Land Services,Other
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781272,9361.21,2016-05-25,Private Office,Economic Development,Planning services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781275,2752.11,2016-05-25,Communities and Intelligence,Cultural & related services,Cultural & related services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781277,1750.00,2016-05-25,Communities and Intelligence,Cultural & related services,Cultural & related services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781291,1496.01,2016-05-25,Communities and Intelligence,Cultural & related services,Cultural & related services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781286,934.38,2016-05-25,Housing,Environmental & regulatory services,Environmental & regulatory services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781280,780.00,2016-05-25,"Development, Enterprise & Environment",Economic Development,Planning services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108781274,638.00,2016-05-25,Communities and Intelligence,Community Development,Planning services
