Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-15,5100842927,975.00,Drive Medical Limited,
Manchester City Council,Adult Social Care,Security,2016-02-15,5100842990,969.15,Manchester Mental Health & Social C,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842431,968.45,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842431,968.45,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842418,967.75,Search Consultancy Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842431,967.75,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842200,967.75,Medicare First,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-15,5100842431,967.75,Sanctuary Social Care,
Manchester City Council,Libraries and Theatres,Payments to Sub-Contractors,2016-02-15,5100842576,965.00,Groundwork Landscapes Ltd,
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-15,5100843000,954.50,Redacted Personal Information,
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-15,5100842991,954.50,Redacted Personal Information,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842409,953.93,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-15,5100841523,951.29,Manchester Young Lives,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2016-02-15,5100842668,945.00,Misco Computer Supplies Ltd,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-15,5100843179,938.36,Cornflower Ltd,
Manchester City Council,Corporate Services,Agency staff provision,2016-02-15,5100842845,916.30,NES UK Limited,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2016-02-15,5100843214,883.59,Computacenter (UK) Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842431,877.89,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100843160,859.93,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,2016-02-15,5100843010,840.94,Chorlton Park Primary School,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-15,1904989277,829.84,Well Informed Ltd t/a Theory Test,
Manchester City Council,Adult Social Care,Hire of Premises,2016-02-15,5100843049,817.20,Greater Manchester Police Sports &,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2016-02-15,5100842418,812.00,Search Consultancy Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842190,810.21,HR GO Recruitment Healthcare,
Manchester City Council,Corporate Services,Equipment,2016-02-15,5100843203,800.00,Sussudio Darbyshire Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842409,788.03,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842200,774.76,Medicare First,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-15,5100842312,765.00,Afro Carribean Care Group,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2016-02-15,5100841623,750.00,Redgate Holdings Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-15,1904992465,728.79,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Advertising,2016-02-15,5100842853,720.00,MediaCo Outdoor Limited,
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-15,1904991047,720.00,Thompsons Solicitors,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-15,5100841484,708.75,A P Broome Landscapes Ltd,
Manchester City Council,Adult Social Care,Professional fees,2016-02-15,5100842856,700.00,Action First iPeople Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-15,5100842138,700.00,Bentley Fielden Ltd,
Manchester City Council,Chief Executives,Advertising,2016-02-15,5100843052,695.00,Carnyx Groupl Ltd,
Manchester City Council,Chief Executives,Advertising,2016-02-15,5100843063,695.00,Carnyx Groupl Ltd,
Manchester City Council,Adult Social Care,I T Provision,2016-02-15,5100842413,684.00,Ferret Information Systems Ltd,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,2016-02-15,5100841637,680.00,Redgate Holdings Ltd,
Manchester City Council,Corporate Services,Subsistence and Conference Expenses,2016-02-15,5100843205,666.00,Alarm,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-15,5100843011,653.40,R & M Developments Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100843160,642.86,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-15,5100842983,631.25,Street League,
Manchester City Council,Manchester Leisure,Equipment,2016-02-15,5100841231,610.50,Wythenshawe Community Farm,
Manchester City Council,Chief Executives,Examination Fees,2016-02-15,5100843035,595.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100843160,583.13,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842409,580.65,Sanctuary Social Care,
Manchester City Council,Chief Executives,Printing,2016-02-15,5100842691,580.00,Astra Signs,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100843004,580.00,Turner & Townsend Project,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-15,1904992445,579.49,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842418,579.25,Search Consultancy Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100843160,579.25,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-15,5100842962,578.06,Southway Housing Trust,
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-15,5100843003,567.30,Redacted Personal Information,
Manchester City Council,Environment and Operations,Grounds Maintenance Costs,2016-02-15,5100841695,554.00,Redgate Holdings Ltd,
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-15,5100843035,553.80,Redacted Personal Information,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100843160,547.08,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-15,1904992430,545.92,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Printing,2016-02-15,5100842117,545.00,Cestrian Imaging Limited,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-15,1904992461,538.61,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Printing,2016-02-15,5100842746,536.50,Tangent Print service,
Manchester City Council,Manchester Leisure,Publications,2016-02-15,5100841396,529.60,Miles Newsagents,
Manchester City Council,Corporate Services,Equipment,2016-02-15,5100843211,525.00,Sussudio Darbyshire Ltd,
Manchester City Council,Corporate Services,Equipment,2016-02-15,5100842713,523.85,Back Care Solutions Ltd,
Manchester City Council,Regeneration Finance,Cash Collection,2016-02-15,5100842048,517.47,Review Travel Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-15,1904992448,507.79,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-15,5100842431,503.13,Sanctuary Social Care,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100842998,580.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100843036,580.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100843039,660.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100843043,660.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100843046,1000.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100842995,1240.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100842997,1240.00,Turner & Townsend Project,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-15,5100843044,1580.00,Turner & Townsend Project,
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-15,5100843097,2500.00,Xerox (Uk) Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-15,5100843175,10429.05,Aecom Infrastructure & Environment,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-16,5100843408,2995434.00,Laing O'Rourke Construction Ltd,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-16,1904994082,430353.85,Michelmores Solicitors,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100835412,91940.23,Addiction Dependency Solutions,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-16,1904994083,60000.00,DWF,
Manchester City Council,Adult Social Care,Rents,2016-02-16,5100843396,49813.26,B & A Properties,
Manchester City Council,Corporate Services,Travel,2016-02-16,1904983958,29806.30,Trainline.com Limited,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100843098,28394.00,Pure Innovations Ltd,
Manchester City Council,Adult Social Care,Professional fees,2016-02-16,5100843232,24500.00,Clever Together,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100843512,21102.08,H.G. Care Services Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-16,5100840869,18691.20,Aecom Infrastructure & Environment,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-16,5100843495,17370.00,Stockport Mbc,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100842782,15875.00,George House Trust,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2016-02-16,5100843120,14225.18,Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2016-02-16,5100843121,14225.18,Carlton Fuels Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100843466,12170.53,The Together Trust,
Manchester City Council,Regeneration Finance,Agency staff provision,2016-02-16,5100843526,11557.88,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Payments to Contractors,2016-02-16,5100842443,10966.67,NSL Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-16,5100840872,10920.46,Aecom Infrastructure & Environment,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-16,5100843261,9167.33,Harpurhey Neighbourhood Project,
Manchester City Council,Adult Social Care,Training and Development,2016-02-16,1904992476,8920.80,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100840685,7971.00,Future Directions CIC,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-16,1904991052,7175.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-16,5100843636,6877.10,H & C Plant Hire Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-16,5100843301,6175.00,Benchill Community Centre,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-16,1904983839,6000.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100843252,5040.00,Proper Job Theatre company,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-16,5100843643,4564.12,Readyplant Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100843469,4446.00,IndePendent Business Services Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-16,5100837878,4287.67,Fleet Dynamic Consultancy Ltd,
Manchester City Council,Manchester Leisure,Equipment,2016-02-16,1904993772,4050.00,La Rosa,
Manchester City Council,Chief Executives,I T Provision,2016-02-16,1904984008,3066.98,Vodafone (Ex C&W),
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,2016-02-16,1904992476,2915.24,Barnardos Manchester Leaving Care S,
Manchester City Council,Corporate Services,Transport Taxis,2016-02-16,1904994068,2884.60,Manchester Cars,
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-16,1904981197,2832.00,PRP Architects LLP,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-16,5100843393,2732.40,Fleet Dynamic Consultancy Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100840925,2625.00,Wai Yin Society,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-16,5100843464,2605.00,The Blue Coat CE School,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100841427,2416.66,Barnardo's North West,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-16,5100843238,2403.24,NRS Healthcare,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-16,5100843263,2313.00,Great Places Housing Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100840924,2250.00,Wai Yin Society,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100843472,2223.00,IndePendent Business Services Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-16,5100843530,2025.00,Hays Personnel,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-16,5100843528,2012.50,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-16,5100843403,2000.00,John Martin Devine Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-16,5100843293,1920.00,Mike Davies Transport,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-16,5100840863,1856.25,Aecom Infrastructure & Environment,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-16,5100843531,1840.00,Hays Personnel,
Manchester City Council,Adult Social Care,Professional fees,2016-02-16,5100843494,1800.00,Andrew Lagden Education Consultants,
Manchester City Council,Adult Social Care,Home Care,2016-02-16,5100843406,1770.00,Kiddi Days,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2016-02-16,5100843419,1701.00,Grantfen Fire & Security Ltd,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-16,1904990941,1680.00,Modern Designers Ltd.,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100841202,1650.00,Barlow Moor Community Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100843220,1629.13,Alzheimers Society (Mcr Branch),
Manchester City Council,Chief Executives,Agency staff provision,2016-02-16,5100843523,1500.00,Hays Personnel,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-16,1904991032,1500.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-16,5100843417,1488.00,Oakwood Academy,
Manchester City Council,Environment and Operations,Catering,2016-02-16,5100841115,1440.00,Manchester Central,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-16,5100843521,1437.50,Hays Personnel,
Manchester City Council,Adult Social Care,Childrens Allowances,2016-02-16,1904992476,1331.70,Barnardos Manchester Leaving Care S,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-16,1904984011,1287.50,Didsbury in Bloom,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-16,1904984011,1287.50,Didsbury in Bloom,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-16,5100843524,1279.75,Hays Personnel,
Manchester City Council,Adult Social Care,Rents,2016-02-16,1904992347,1200.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100843227,1134.00,Manchester Communication Academy,
Manchester City Council,Adult Social Care,Security,2016-02-16,5100842274,1125.00,Manchester Communication Academy,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2016-02-16,5100843527,1113.99,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-16,1904993860,1098.99,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Contract Cleaning External,2016-02-16,5100843418,1098.00,Superkids Levenshulme Ltd,
Manchester City Council,Hospitality + Trading Services,Building Maintenance Third Party Payments,2016-02-16,5100843313,1047.67,TARMAC,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-16,5100843398,1033.15,LDS Motor Bodies Ltd,
Manchester City Council,Adult Social Care,Fixtures and Fittings,2016-02-16,1904992476,981.00,Barnardos Manchester Leaving Care S,
Manchester City Council,Hospitality + Trading Services,Equipment,2016-02-16,5100843288,975.00,Falcon Foodservice Equipment,
Manchester City Council,Adult Social Care,Travel,2016-02-16,1904816941,936.05,R.S.P. Ltd Br Business Systems Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100840715,900.00,Tree Of Life Centre Wythenshawe,
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-16,1904994083,900.00,DWF,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-16,5100843291,897.03,Fleet Dynamic Consultancy Ltd,
Manchester City Council,Housing Revenue Account,External repairs and maintenance for buildings,2016-02-16,5100842931,892.40,Manchester Working Ltd,
Manchester City Council,Chief Executives,Landline Telephone Charges,2016-02-16,1904990679,859.98,Chess Plc,
Manchester City Council,Libraries and Theatres,Professional fees,2016-02-16,5100831306,800.00,Greater Manchester Police Sports &,
Manchester City Council,Adult Social Care,Professional fees,2016-02-16,1904981170,798.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Payments for services,2016-02-16,5100843473,798.00,NT&AS,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-16,1904993751,795.38,East Cheshire NHS Trust,
Manchester City Council,Regeneration Finance,Public Transport,2016-02-16,1904994087,723.60,Redacted Personal Information,
Manchester City Council,Adult Social Care,Home Care,2016-02-16,5100843384,713.19,Brighter Beginnings (Newton Heath),
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100843221,673.00,Alzheimers Society (Mcr Branch),
Manchester City Council,Adult Social Care,Refuse Collection,2016-02-16,5100843228,665.73,Initial Medical Services,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100843474,640.00,Afruca,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-16,5100835640,635.00,Beckford Silk Ltd,
Manchester City Council,Hospitality + Trading Services,Security,2016-02-16,5100843174,600.00,Egan Reid Stationery Co Ltd,
Manchester City Council,Adult Social Care,Home Care,2016-02-16,5100843404,576.00,Tiddlywinks Day Nursery,
Manchester City Council,Corporate Services,Furniture,2016-02-16,1904994072,572.89,DAVIDPHILLIPS.COM -V/T,
Manchester City Council,Adult Social Care,Professional fees,2016-02-16,1904983826,560.00,Anglia DNA Services Ltd,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-16,5100843450,550.00,Stagecoach Manchester,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,2016-02-16,1904991024,536.65,Language Line Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-16,5100840224,525.00,Henshaws Society For Blind People,
Manchester City Council,Adult Social Care,Professional fees,2016-02-16,1904981172,506.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Travel,2016-02-16,1904816941,502.90,R.S.P. Ltd Br Business Systems Ltd,
Manchester City Council,Manchester Leisure,Special Events,2016-02-16,5100843059,500.00,HOME,
Manchester City Council,Manchester Leisure,Legal Fees,2016-02-16,5100843513,500.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-16,5100843448,6274.41,Manchester Van Hire Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-17,5100843626,231243.18,Standwalk Ltd,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-17,1904994086,65790.00,TM Fortis,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-17,5100843580,64451.00,Urban Splash,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843014,57877.03,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100842843,51061.58,Jacobs UK Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-17,5100843315,34364.00,Accommodation Links Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-17,5100843797,32676.14,Northwards Housing Limited,
Manchester City Council,Leasing,Lease Payments,2016-02-17,5100843572,32479.24,Xerox Finance Ltd,
Manchester City Council,Hospitality + Trading Services,Internal Repairs and Maintenance for buildings,2016-02-17,5100842816,25556.16,Manchester Working Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843446,20000.00,Jacobs UK Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100842915,17892.43,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843571,15360.91,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Carer Support Payments,2016-02-17,5100843632,14768.32,Independent Living Alliance,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-17,5100843532,14367.52,MCR Blackcab Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843568,14276.95,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843446,13587.45,Jacobs UK Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904993684,12738.00,Horwich Cohen Coghlan Solicitors,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843657,10000.00,GVA Grimley Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843587,10000.00,GVA Grimley Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-17,5100843541,9500.10,MCR Blackcab Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100843504,8410.50,People First Housing Association,
Manchester City Council,Adult Social Care,Rents,2016-02-17,5100843663,8378.35,Great Places Housing Association,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2016-02-17,5100843242,8205.54,Carlton Fuels Ltd,
Manchester City Council,Adult Social Care,Equipment,2016-02-17,5100842276,7525.00,Independent Life Solutions,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-17,5100843763,6274.41,Manchester Van Hire Ltd,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-17,1904998574,6177.00,HMCTS (Manchester),
Manchester City Council,Adult Social Care,Equipment,2016-02-17,5100842278,6000.00,Independent Life Solutions,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100843230,5373.25,Manchester Mind,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100842769,5051.92,Northern Marking Limited,
Manchester City Council,Regeneration Finance,Compensation Payments,2016-02-17,1904991028,5010.00,Russell & Russell Solicitors,
Manchester City Council,Adult Social Care,Professional fees,2016-02-17,5100843537,4663.74,DGH Ashcroft Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-17,5100843560,4592.24,People First Housing Association,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-17,5100843772,4310.00,Rullion Resource Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100843079,4275.00,Caritas Diocese of Salford,
Manchester City Council,Adult Social Care,Payments for services,2016-02-17,5100843563,3931.85,Scope,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-17,5100843544,3905.40,MCR Blackcab Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100835814,3712.50,Chorlton Good Neighbours,
Manchester City Council,Adult Social Care,Professional fees,2016-02-17,5100843446,3600.00,Jacobs UK Ltd,
Manchester City Council,Environment and Operations,Contract Cleaning External,2016-02-17,5100841393,3573.36,Ramora Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-17,5100843684,3548.50,Irwell Valley Housing Association,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-17,5100843668,3415.26,Proactive Personnel Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842696,3075.00,Assist,
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,2016-02-17,5100840648,3045.42,GMPLN,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843446,2840.45,Jacobs UK Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843268,2700.00,Northern Marking Limited,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843272,2552.12,Northern Marking Limited,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904993737,2500.00,Smith Jones Solicitors,
Manchester City Council,Corporate Services,Vehicle Hire Costs,2016-02-17,1904998830,2494.12,City Car Club Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-17,5100843727,2440.00,Harvey House Social Enterprises Ltd,
