Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691921,35000.00,Fentons Solicitors Part of
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691992,15389.10,Equita Ltd
Manchester City Council,Corporate Services,Rents,2015-07-01,1904680044,13706.02,Asda Stores Ltd (Leeds)
Manchester City Council,Corporate Services,Legal Fees,2015-07-01,1904697746,10110.00,HMCTS (Manchester)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697559,10027.10,Pollock Lifts Ltd
Manchester City Council,Chief Executives,Compensation Payments,2015-07-01,1904698351,8830.00,HMCTS (Manchester County Court)
Manchester City Council,Corporate Services,Rents,2015-07-01,1904683980,8226.58,Aprirose Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-01,5100801321,8032.50,Buro Happold Limited
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691933,7084.45,Department For Work & Pensions
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697563,5586.00,Astor-Bannerman (Medical) Ltd
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697564,5417.00,Stannah Lift Services Ltd
Manchester City Council,Corporate Services,Non Housing Rent Receipts,2015-07-01,1904673202,5213.36,Manchester Working Ltd
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691990,4799.95,Equita Ltd
Manchester City Council,Environment and Operations,Agency staff provision,2015-07-20,5100804416,959.81,Resolve Personnel Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-20,5100804435,947.00,MCCR,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-20,5100804595,936.51,Lafarge Tarmac Trading Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-20,5100804589,935.77,Lafarge Tarmac Trading Ltd,
Manchester City Council,Corporate Services,I T Provision,2015-07-20,5100803702,908.71,Computacenter (UK) Ltd,
Manchester City Council,Environment and Operations,Agency staff provision,2015-07-20,5100804419,861.00,Resolve Personnel Ltd,
Manchester City Council,Regeneration Finance,Hire of Premises,2015-07-20,5100804524,789.80,Cresta World Travel t/a Uniglobe,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-20,1904719393,733.48,Barts Health NHS Trust,
Manchester City Council,Environment and Operations,Construction Works,2015-07-20,5100804227,726.75,Wilde Consultants Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2015-07-20,1904712242,720.00,Alexander Street Press,
Manchester City Council,Adult Social Care,Payments for services,2015-07-20,5100804662,701.25,H.G. Care Services Ltd,
Manchester City Council,Adult Social Care,Legal Fees,2015-07-20,5100804415,700.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,2015-07-20,5100804466,695.68,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Rents,2015-07-20,5100804469,695.68,Mosscare Housing Ltd,
Manchester City Council,Chief Executives,ICT Sup & Maintnance,2015-07-20,5100787986,691.66,Manchester Geomatics Ltd,
Manchester City Council,Chief Executives,Printing,2015-07-20,5100803723,690.00,Browns CTP Ltd,
Manchester City Council,Corporate Services,I T Provision,2015-07-20,5100803673,675.36,Dell Corporation Ltd,
Manchester City Council,Manchester Leisure,Agency staff provision,2015-07-20,5100804422,651.28,Resolve Personnel Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-20,5100804470,631.61,Adactus Housing Group Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-20,5100804598,620.93,Lafarge Tarmac Trading Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-20,5100804407,617.07,HR GO Recruitment Healthcare,
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,2015-07-20,5100804022,600.00,The Manufacturing Institute,
Manchester City Council,Libraries and Theatres,Subsistence and Conference Expenses,2015-07-20,5100804522,599.34,Cresta World Travel t/a Uniglobe,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2015-07-20,5100803955,587.00,Cornflower Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-20,5100804410,580.57,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-20,5100804407,572.19,HR GO Recruitment Healthcare,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2015-07-20,5100804416,553.15,Resolve Personnel Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-20,5100804604,536.45,Lafarge Tarmac Trading Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-20,5100802804,524.82,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-20,5100804649,3049.20,T/A Schools Direct,
Manchester City Council,Environment and Operations,Levies,2015-07-21,1904579869,2830167.00,GMWDA (LEVY),
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,2015-07-21,5100801849,428783.51,Grove Village Ltd,
Manchester City Council,GMIST (Greater Mcr Integrated),Third party payments to other Local Authorities,2015-07-21,5100804838,347500.00,Bury M.B.C.,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-21,5100804742,174893.30,B.A.A.S. Construction Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-21,5100804664,110347.41,B.A.A.S. Construction Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804445,103513.88,Creative Support Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-21,5100804677,78000.00,The Manchester College,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-21,5100804778,70019.00,Communitytransportservices.co.uk,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-21,5100804781,60265.50,APTSL,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-21,5100802324,55000.00,Greater Manchester Chamber of,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-21,5100804798,54735.50,Laing O'Rourke Construction Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100802708,43709.00,The Children'S Society Services Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-21,5100804734,30704.59,Greater Manchester West,
Manchester City Council,Adult Social Care,Rents,2015-07-21,5100803561,30695.71,Accommodation Links Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804699,25000.00,Manchester Care & Repair Ltd,
Manchester City Council,Adult Social Care,Training and Development,2015-07-21,1904710321,24955.50,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804728,23028.50,Sanctuary Housing Association,
Manchester City Council,Adult Social Care,Rents,2015-07-21,5100804739,21128.57,M & Q Properties Management Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-21,5100803734,15893.04,Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-21,5100802067,15616.38,Carlton Fuels Ltd,
Manchester City Council,Manchester Leisure,Hire of Premises,2015-07-21,5100804824,15059.40,The Fitness Training Academy Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-21,5100804773,14625.00,Mace Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-21,5100804813,14625.00,Mace Ltd,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,2015-07-21,5100804695,14172.73,DH Homecare Ltd (Direct Health),
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-21,5100804792,13376.00,APTSL,
Manchester City Council,Housing General Fund,Professional fees,2015-07-21,5100804701,13000.00,Manchester Care & Repair Ltd,
Manchester City Council,Chief Executives,Hire of Equipment,2015-07-21,5100800994,12919.20,Xerox (Uk) Ltd,
Manchester City Council,Adult Social Care,Rents,2015-07-21,5100804908,12810.31,Mears Limited,
Manchester City Council,Adult Social Care,Training and Development,2015-07-21,1904719466,12509.80,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804761,11861.85,Eastlands Homes Partnership Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804791,11360.33,St.Vincent'S Housing Association,
Manchester City Council,Environment and Operations,Construction Works,2015-07-21,5100804576,10913.78,GMCA,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804775,10867.50,Chapter 1,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804714,10000.00,Manchester Bangladeshi Womens Organ,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804721,9998.00,Manchester Refugee Support Network,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804674,9932.50,Greater Manchester Coalition Of Dis,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804679,9712.75,42nd Street,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804716,7962.25,Manchester Mind,
Manchester City Council,Adult Social Care,Fixtures and Fitting,2015-07-21,1904719466,7923.46,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804719,7799.50,Manchester Rape Crisis Line.,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804711,7305.25,Manchester Action On Street Health,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804761,6660.87,Eastlands Homes Partnership Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-21,5100803799,6320.00,Gatenby Sanderson,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804689,6250.00,Faith Network 4 Manchester,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2015-07-21,5100804735,5900.00,Dance Manchester,
Manchester City Council,Chief Executives,ICT Sup & Maintnance,2015-07-21,5100792409,5622.13,Siteimprove Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-21,5100804851,5378.00,Saltax Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804727,5350.00,Somali Adult Social Care Agency,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,5100804672,5137.00,Northmoor Community Association,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-21,5100804442,5057.00,Hudson Global Resources Ltd,
Manchester City Council,Adult Social Care,Fixtures and Fitting,2015-07-21,1904710321,5045.00,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804764,5000.00,Greater Manchester Immigration Aid,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720260,4897.00,Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720276,4889.45,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720255,4873.33,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720253,4708.35,Kier Services Ltd - Maint West,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804685,4677.50,Albert Kennedy Trust,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720274,4641.60,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Surplus property Fees,2015-07-21,1904720216,4541.00,Aspin and Company Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720265,4512.02,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720272,4410.59,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720254,4390.90,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720259,4377.52,Kier Services Ltd - Maint West,
Manchester City Council,Chief Executives,Advertising,2015-07-21,5100804942,4346.39,Trinity Mirror NW2 Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720257,4332.58,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720264,4234.02,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720273,4198.92,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720277,4185.89,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720267,4128.00,Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720266,4104.46,Kier Services Ltd - Maint West,
Manchester City Council,Corporate Services,Storage Costs,2015-07-21,5100802092,4054.46,Box-It (NW),
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720275,4042.09,Kier Services Ltd - Maint West,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804692,4000.00,LGBT Youth North West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720256,3978.87,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720269,3931.00,Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720262,3855.81,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720258,3854.00,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720263,3671.22,Kier Services Ltd - Maint West,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2015-07-21,5100804736,3555.32,Winners Contract Hire Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804766,3548.50,Irwell Valley Housing Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804927,3500.00,Rainbow Surprise,
Manchester City Council,Adult Social Care,Childrens Allowances,2015-07-21,1904719466,3474.00,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Payments for services,2015-07-21,5100804938,3450.00,Turning Point Services,
Manchester City Council,Corporate Services,Construction Works,2015-07-21,5100804577,3287.69,GMCA,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720268,3241.00,Stannah Lift Services Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-21,5100804442,3029.40,Hudson Global Resources Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804952,2920.00,Cheetham Al-Hilal Community Project,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804953,2856.62,TiddlyWinks Creche Provisions,
Manchester City Council,Adult Social Care,Payments for services,2015-07-21,5100804729,2699.00,Seashell trust,
Manchester City Council,Hospitality + Trading Services,Training and Development,2015-07-21,5100804930,2570.00,Arc People Development Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710278,2500.00,Friends of Gartside Gardens,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-21,5100804776,2500.00,Stockport Metropolitan Borough,
Manchester City Council,Chief Executives,Advertising,2015-07-21,5100804942,2498.70,Trinity Mirror NW2 Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-21,5100804916,2460.00,Harvey House Social Enterprises Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804751,2424.00,Rigby Taylor Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804895,2365.44,Asd Metal Services,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-21,5100803214,2300.00,Triad Resourcing,
Manchester City Council,Hospitality + Trading Services,Landline Telephone,2015-07-21,1904716742,2212.50,BT PLC,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720270,2209.00,Stannah Lift Services Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-21,5100803214,2175.00,Triad Resourcing,
Manchester City Council,Regeneration Finance,Training and Development,2015-07-21,1904691930,2165.00,North Yorkshire County Council,
Manchester City Council,Adult Social Care,Equipment,2015-07-21,5100804690,2119.25,Aidapt Bathrooms Ltd,
Manchester City Council,Adult Social Care,PNOR-Other Amenities,2015-07-21,1904710321,2072.19,Barnardos Manchester Leaving Care S,
Manchester City Council,Hospitality + Trading Services,Security,2015-07-21,5100804768,2000.00,Ove Arup & Partners Ltd,
Manchester City Council,Adult Social Care,Professional fees,2015-07-21,5100804904,1877.92,Mosscare Housing Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904718743,1811.33,Higher Blackley Comm.Assoc.,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-21,5100804707,1800.00,Willfab Ltd,
Manchester City Council,Adult Social Care,Hire of Premises,2015-07-21,5100804760,1750.00,The Victoria Hotel,
Manchester City Council,Chief Executives,Infrastructure Fees,2015-07-21,5100803214,1725.00,Triad Resourcing,
Manchester City Council,Adult Social Care,Pay School Budget,2015-07-21,5100804676,1673.20,KS1/2 Bridgelea PRU,
Manchester City Council,Chief Executives,Publications,2015-07-21,1904720230,1668.00,LINKEDIN-2870986173,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804954,1650.00,Barlow Moor Community Association,
Manchester City Council,Adult Social Care,Contract Cleaning External,2015-07-21,5100804906,1625.00,The Big Life Company,
Manchester City Council,Adult Social Care,Contract Cleaning External,2015-07-21,5100804907,1625.00,The Big Life Company,
Manchester City Council,Adult Social Care,Contract Cleaning External,2015-07-21,5100804909,1625.00,The Big Life Company,
Manchester City Council,Chief Executives,Advertising,2015-07-21,5100804910,1575.00,TES Global Ltd,
Manchester City Council,Housing Revenue Account,Supporting People Payments,2015-07-21,5100804805,1538.46,Northwards Housing Limited,
Manchester City Council,Adult Social Care,Equipment,2015-07-21,5100803727,1474.90,NRS Healthcare,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2015-07-21,5100804912,1462.45,Manchester & Cheshire Construction,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720271,1437.66,Chiltern Invadex Ltd,
Manchester City Council,Chief Executives,Occupational Health services,2015-07-21,1904720819,1430.00,Healthwork Ltd,
Manchester City Council,Chief Executives,Advertising,2015-07-21,5100804946,1420.20,TES Global Ltd,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-21,5100804950,1414.50,Barlow Moor Community Association,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-21,5100804486,1408.85,Youth Project @ Apostles &,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-21,5100804945,1401.15,Barlow Moor Community Association,
Manchester City Council,Housing Revenue Account,Compensation Payments,2015-07-21,1904710268,1350.00,Alker Ball Healds Solicitors,
Manchester City Council,Adult Social Care,Rates,2015-07-21,5100804853,1307.08,The Big Life Company,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904711213,1300.00,Manchester Action On Street Health,
Manchester City Council,Adult Social Care,Postage,2015-07-21,1904644325,1300.00,Royal Mail Group Plc,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2015-07-21,5100804746,1252.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Environment and Operations,Contract Cleaning External,2015-07-21,5100804723,1241.73,Ramora Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710122,1238.62,Gorton Community Association,
Manchester City Council,Adult Social Care,Payments for services,2015-07-21,5100804666,1225.00,Cheadle Royal Healthcare,
Manchester City Council,Adult Social Care,PNOR-Other Amenities,2015-07-21,1904719466,1145.03,Barnardos Manchester Leaving Care S,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904712319,1030.00,West Gorton Community Partnership,
Manchester City Council,Environment and Operations,Works and associated costs for Land and Buildings,2015-07-21,5100804801,1025.00,Cubic Transportation Systems (ITMS),
Manchester City Council,Chief Executives,Publications,2015-07-21,1904720229,1014.00,LINKEDIN-287,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904718741,1000.00,Higher Blackley Comm.Assoc.,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710291,1000.00,Caribbean Carnival of Manchester,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904719465,1000.00,New Moston Homewatch Association,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804923,859.79,Lafarge Tarmac Trading Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-21,5100804900,840.37,Vista Panels Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804791,817.84,St.Vincent'S Housing Association,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-21,5100804797,813.25,Hemingways Marketing Services Ltd,
Manchester City Council,Chief Executives,Advertising,2015-07-21,5100804934,787.50,TES Global Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904718742,780.00,Higher Blackley Comm.Assoc.,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804919,768.77,Lafarge Tarmac Trading Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804767,760.13,Irwell Valley Housing Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-21,5100804799,750.00,Simply Cycling - Wyth Wheelers,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804921,748.61,Lafarge Tarmac Trading Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-21,1904720261,720.32,FT Finley & Co Ltd,
Manchester City Council,Adult Social Care,"Print, Design & Tran",2015-07-21,5100804691,708.30,Language Line Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-21,5100804903,707.63,Vista Panels Ltd,
Manchester City Council,Adult Social Care,Equipment,2015-07-21,5100803248,700.00,NRS Healthcare,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804811,691.36,City South Manchester Housing Trust,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-21,5100804812,691.31,City South Manchester Housing Trust,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804922,668.94,Lafarge Tarmac Trading Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2015-07-21,1904720217,615.00,Department For Work & Pensions,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710264,600.00,Wythenshawe Together,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710264,600.00,Wythenshawe Together,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710264,600.00,Wythenshawe Together,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710264,600.00,Wythenshawe Together,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904710264,600.00,Wythenshawe Together,
Manchester City Council,Adult Social Care,Payments for services,2015-07-21,5100804668,580.12,H.G. Care Services Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-21,5100804920,532.22,Lafarge Tarmac Trading Ltd,
Manchester City Council,Adult Social Care,Contract Cleaning External,2015-07-21,5100804905,500.00,The Big Life Company,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-21,1904719464,500.00,Friends of Broadhurst Comm Group,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-21,5100805133,5885.60,Slingshot Sponsorship Limited,
Manchester City Council,Adult Social Care,Payments for services,2015-07-22,5100805148,1199370.53,Belmont School Ltd,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2015-07-22,5100805141,620673.01,Laing O'Rourke Construction Ltd,
Manchester City Council,GMIST (Greater Mcr Integrated),Third party payments to other Local Authorities,2015-07-22,5100805145,325011.00,Tameside Metropolitan Bouough,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-22,5100804822,33650.00,Young People Support Foundation Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-22,5100805049,31680.00,Communitytransportservices.co.uk,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-22,5100805134,30750.00,Mace Ltd,
Manchester City Council,Chief Executives,Professional fees,2015-07-22,5100802636,28658.69,Actinista Limited,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-22,5100803750,24927.92,Manchester Working Ltd,
Manchester City Council,Chief Executives,Professional fees,2015-07-22,5100802637,21392.55,Actinista Limited,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-22,5100798373,20148.50,GVA Grimley Ltd,
Manchester City Council,Adult Social Care,Supported Accommodation,2015-07-22,5100804935,16942.80,Manchester Settlement,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-22,5100805086,16763.37,University Hospital of South Mcr,
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-22,5100805143,16750.00,The Javelin Group Limited,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-22,5100805081,12907.54,Bury M.B.C.,
Manchester City Council,Hospitality + Trading Services,Insurance,2015-07-22,1904721082,11832.38,Zurich Municipal,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-22,5100804822,10583.37,Young People Support Foundation Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-22,5100805216,10140.00,Liquid Personnel Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-22,5100804931,10000.00,GVA Grimley Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,2015-07-22,1904720214,10000.00,Abney Garsden Mcdonald,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-22,5100805037,9934.50,Manchester Deaf Centre Ltd,
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-22,5100805077,7600.00,Kpmg Llp,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-22,5100805089,7000.00,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-22,5100805220,6660.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-22,5100805219,6280.00,Liquid Personnel Ltd,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-22,1904712123,6000.00,INS Sudlows Ltd,
Manchester City Council,Adult Social Care,Contract Cleaning External,2015-07-22,5100805032,5960.50,Brighter Beginnings (Newton Heath),
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-22,5100804770,4980.00,Irwell Valley Housing Association,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-22,5100805496,4349.36,Clearway Drainage Systems Ltd,
Manchester City Council,Adult Social Care,Professional fees,2015-07-22,5100803019,4000.00,Signis Limited,
Manchester City Council,Adult Social Care,Contract Cleaning External,2015-07-22,5100805031,3668.00,Brighter Beginnings (Charlestown),
Manchester City Council,Environment and Operations,Professional fees,2015-07-22,5100805104,3343.95,Redacted Personal Information,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-22,5100805217,3245.00,Liquid Personnel Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-22,5100804996,3217.84,One Stop Hire Limited,
Manchester City Council,Adult Social Care,Payments for services,2015-07-22,5100805266,3128.10,Beechkeys Ltd,
Manchester City Council,Chief Executives,Funeral and coroner related services,2015-07-22,1904721100,2960.89,Redacted Personal Information,
