Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),912,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),9375.79,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),723.6,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),702,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),702,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),702,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),549.9,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),549.9,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),806.6,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),1373.40,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),712.8,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),702,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),702,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),685,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),4710.34,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),968.5,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),514,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,1100.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,3735.31,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,1100.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,5146.16,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,4835.31,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,6246.16,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOTAL PARTITION SALES LTD,1561.53,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TOWNSCAPE PRODUCTS LIMITED,861.45,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,588,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,588,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,735,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,1176.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,1323.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,1323.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,1323.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,735,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,TRU-LINE (SUSPENDED CEILINGS) LTD,2135.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,2812.32,Pricking Out
2010-09,Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,2153.63,Pricking Out
2010-09,Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,1428.20,Greenhouses
2010-09,Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,791.8,Greenhouses
2010-09,Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,1225.00,Greenhouses
2010-09,Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,1702.00,Greenhouses
2010-09,Community Services,DLO Services,UNITED UTILITIES OPERATIONS (DIVERSIONS),564.35,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,UNITED UTILITIES OPERATIONS (DIVERSIONS),9060.80,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,UNITED UTILITIES OPERATIONS (DIVERSIONS),9753.08,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,UNITED UTILITIES OPERATIONS (DIVERSIONS),9753.08,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,UPNORTH CATERING & LEISURE LTD,628.4,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,UPNORTH CATERING & LEISURE LTD,1958.00,EQUIPMENT
2010-09,Community Services,DLO Services,UPNORTH COOLING,540.66,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,VIGLEN LTD,1126.85,ICT HARDWARE PURCHASE
2010-09,Community Services,DLO Services,WARES TEESSIDE LTD,91472.63,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WARES TEESSIDE LTD,20099.47,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WARES TEESSIDE LTD,23608.82,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WARES TEESSIDE LTD,14478.95,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),635.13,Bar Provisions
2010-09,Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),537.19,Bar Provisions
2010-09,Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),639.39,Bar Provisions
2010-09,Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),504.04,Bar Provisions
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,4868.96,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,11360.90,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,11574.52,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,3605.66,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,8413.17,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,1037.58,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,2418.79,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,1362.47,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,3179.09,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,551.46,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,4960.51,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,551.46,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,3605.65,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,8413.17,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,770.54,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,1143.87,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,4291.27,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,10012.96,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WAYMID ELECTRICS LTD,690,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WERNICK HIRE LTD,708.57,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WERNICK HIRE LTD,708.57,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WERNICK HIRE LTD,685.71,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,747.5,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,605,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,504,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2934.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,6846.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,3019.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,4528.50,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1927.80,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,826.58,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,3019.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,4528.50,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2934.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,6846.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1162.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,3665.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,5497.50,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,900,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1645.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1069.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2236.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,3665.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,5497.50,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2100.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1069.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2236.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,836.55,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2122.31,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,4952.04,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,500,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1000.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1500.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2100.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,900,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2100.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,900,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WINDOW WISE,1430.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WINDOW WISE,3588.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WINDOW WISE,3849.30,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,WIREGATE LTD T/A ATF SUPPLIES,2034.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,7415.23,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,662.16,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,1049.40,STORES MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,798.68,STORES MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,664.5,STORES MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,708.46,STORES MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,1000.80,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,782.24,STORES MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,671,STORES MATERIALS
2010-09,Community Services,DLO Services,WOLSELEY UK LTD,664.5,STORES MATERIALS
2010-09,Community Services,DLO Services,WOODFIT LTD,568,STORES MATERIALS
2010-09,Community Services,DLO Services,ZODION LTD,565,STORES MATERIALS
2010-09,Community Services,DLO Services,ZODION LTD,1130.00,STORES MATERIALS
2010-09,Community Services,Engineering & Highways,APE THEATRE CO LTD,5000.00,Other Supplies & Services
2010-09,Community Services,Engineering & Highways,APE THEATRE CO LTD,5000.00,Other Supplies & Services
2010-09,Community Services,Engineering & Highways,BENTLEY SYSTEMS INTERNATIONAL,2580.00,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Community Services,Engineering & Highways,BUCHANAN COMPUTING LTD,3151.00,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Community Services,Engineering & Highways,C E ELECTRICS,662.46,Routine Maintenance
2010-09,Community Services,Engineering & Highways,CAPITA RESOURCING LTD,4753.58,PROFESSIONAL FEES & CONSULTANCY
2010-09,Community Services,Engineering & Highways,CAPITA SYMONDS LTD,2481.20,PROFESSIONAL FEES & CONSULTANCY
2010-09,Community Services,Engineering & Highways,CAPITA SYMONDS LTD,947.34,Routine Maintenance
2010-09,Community Services,Engineering & Highways,CAPITA SYMONDS LTD,5222.48,Routine Maintenance
2010-09,Community Services,Engineering & Highways,CAPITA SYMONDS LTD,4745.98,PROFESSIONAL FEES & CONSULTANCY
2010-09,Community Services,Engineering & Highways,CAPITA SYMONDS LTD,3427.89,Routine Maintenance
2010-09,Community Services,Engineering & Highways,CUNDALL JOHNSTON & PARTNERS LLP,2070.00,AGENCY STAFF COSTS - NON TEACHING
2010-09,Community Services,Engineering & Highways,CUNDALL JOHNSTON & PARTNERS LLP,2635.80,AGENCY STAFF COSTS - NON TEACHING
2010-09,Community Services,Engineering & Highways,CUNDALL JOHNSTON & PARTNERS LLP,1711.20,AGENCY STAFF COSTS - NON TEACHING
2010-09,Community Services,Engineering & Highways,IHS (GLOBAL) LIMITED,2330.10,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Community Services,Engineering & Highways,INSPECTORATE LTD T/A ROCH NDT SERVICES,5680.00,Routine Maintenance
2010-09,Community Services,Engineering & Highways,INSPECTORATE LTD T/A ROCH NDT SERVICES,3000.00,Routine Maintenance
2010-09,Community Services,Engineering & Highways,LIBERTY SERVICES,1386.00,"OFFICE STATIONERY, EQUIPMENT & SUPPLIES"
2010-09,Community Services,Engineering & Highways,MRC ROADS LIMITED,566.96,Traffic Management
2010-09,Community Services,Engineering & Highways,NEDL,7758.72,Routine Maintenance
2010-09,Community Services,Engineering & Highways,NEDL,1089.06,Routine Maintenance
2010-09,Community Services,Engineering & Highways,NETWORK RAIL,1248.63,Routine Maintenance
2010-09,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,41856.67,ELECTRICITY
2010-09,Community Services,Engineering & Highways,NPOWER NORTHERN LTD,1124.28,ELECTRICITY
2010-09,Community Services,Engineering & Highways,NPOWER NORTHERN LTD,43334.28,ELECTRICITY
2010-09,Community Services,Engineering & Highways,NPOWER NORTHERN LTD,43334.27,ELECTRICITY
2010-09,Community Services,Engineering & Highways,PREMIER TRAFFIC MANAGEMENT,930,Routine Maintenance
2010-09,Community Services,Engineering & Highways,PREMIER TRAFFIC MANAGEMENT,900,Traffic Management
2010-09,Community Services,Engineering & Highways,PREMIER TRAFFIC MANAGEMENT,1310.00,Routine Maintenance
2010-09,Community Services,Engineering & Highways,ROCH NDT SERVICES,7000.00,Routine Maintenance
2010-09,Community Services,Engineering & Highways,ROCH NDT SERVICES,4200.00,Routine Maintenance
2010-09,Community Services,Engineering & Highways,ROCH NDT SERVICES,6680.00,Routine Maintenance
2010-09,Community Services,Engineering & Highways,SSD TRAINING SERVICES LIMITED,4800.00,TRAINING
2010-09,Community Services,Engineering & Highways,TWIST DESIGN,590,Other Supplies & Services
2010-09,Community Services,Engineering & Highways,WYG ENGINEERING LTD,6877.00,AGENCY STAFF COSTS - NON TEACHING
2010-09,Community Services,Engineering & Highways,WYG ENGINEERING LTD,6900.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Community Services,Engineering & Highways,WYG ENGINEERING LTD,7245.00,AGENCY STAFF COSTS - NON TEACHING
2010-09,Community Services,Environmental Services,1AB TAXIS LTD,824,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),768,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),1119.00,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),512,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),969,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),504,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),560,CONTRACT HIRE
2010-09,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),540,CONTRACT HIRE
2010-09,Community Services,Environmental Services,ADIE MCMAIN,1761.76,CONTRACT HIRE
2010-09,Community Services,Environmental Services,ADIE MCMAIN,617.4,CONTRACT HIRE
2010-09,Community Services,Environmental Services,ADIE MCMAIN,1761.76,CONTRACT HIRE
2010-09,Community Services,Environmental Services,AGRIPA SOLUTIONS LIMITED,4300.00,Domestic Waste
2010-09,Community Services,Environmental Services,AGRIPA SOLUTIONS LIMITED,795,Domestic Waste
2010-09,Community Services,Environmental Services,AIRWAVE SOLUTIONS LTD,1046.62,REPAIRS AND MAINTENANCE
2010-09,Community Services,Environmental Services,AIRWAVE SOLUTIONS LTD,4564.70,REPAIRS AND MAINTENANCE
2010-09,Community Services,Environmental Services,AIRWAVE SOLUTIONS LTD,1265.30,REPAIRS AND MAINTENANCE
2010-09,Community Services,Environmental Services,AIRWAVE SOLUTIONS LTD,1670.00,TELEPHONE COSTS
2010-09,Community Services,Environmental Services,AMBIENT CREATIVE SERVICES LTD,520,MARKETING & ADVERTISING
2010-09,Community Services,Environmental Services,ANDREW WEBSTER,850,PROFESSIONAL FEES & CONSULTANCY
2010-09,Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,1189.32,CONTRACT HIRE
2010-09,Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,864.96,CONTRACT HIRE
2010-09,Community Services,Environmental Services,ARTHUR S TURNER,504,CONTRACT HIRE
2010-09,Community Services,Environmental Services,ASSET CO,2500.00,Accident Repair
2010-09,Community Services,Environmental Services,ASSET CO RENTALS (NO2) LIMITED,2500.00,Accident Repair
2010-09,Community Services,Environmental Services,ASSET CO RENTALS (NO2) LIMITED,600,Accident Repair
2010-09,Community Services,Environmental Services,ATS EUROMASTER LTD,768.14,MATERIALS
2010-09,Community Services,Environmental Services,ATS EUROMASTER LTD,513,MATERIALS
2010-09,Community Services,Environmental Services,ATS EUROMASTER LTD,768.14,MATERIALS
2010-09,Community Services,Environmental Services,AYRESOME INDUSTRIES,500,EQUIPMENT
2010-09,Community Services,Environmental Services,BISHOP RETAIL LTD (FORMERLEY KNOWN AS PHIL WILKS & SONS LTD),592.97,VEHICLE FUEL
2010-09,Community Services,Environmental Services,BISHOP RETAIL LTD (FORMERLEY KNOWN AS PHIL WILKS & SONS LTD),505.19,VEHICLE FUEL
2010-09,Community Services,Environmental Services,BISHOP RETAIL LTD (FORMERLEY KNOWN AS PHIL WILKS & SONS LTD),1291.24,VEHICLE FUEL
2010-09,Community Services,Environmental Services,BISHOP RETAIL LTD (FORMERLEY KNOWN AS PHIL WILKS & SONS LTD),579.22,VEHICLE FUEL
2010-09,Community Services,Environmental Services,BISHOP RETAIL LTD (FORMERLEY KNOWN AS PHIL WILKS & SONS LTD),634,VEHICLE FUEL
2010-09,Community Services,Environmental Services,BRITISH HEART FOUNDATION,787.21,Refuse Services
2010-09,Community Services,Environmental Services,BROXAP  LTD,642,MATERIALS
2010-09,Community Services,Environmental Services,CHATFIELDS TYNE TEES,661.2,MATERIALS
2010-09,Community Services,Environmental Services,CLEVELAND POTASH LTD,11007.46,MATERIALS
2010-09,Community Services,Environmental Services,CLEVELAND POTASH LTD,23887.18,MATERIALS
2010-09,Community Services,Environmental Services,CLEVELAND POTASH LTD,6950.96,MATERIALS
2010-09,Community Services,Environmental Services,CLEVELAND POTASH LTD,18837.74,MATERIALS
2010-09,Community Services,Environmental Services,COMMUNITY SPORT LTD,516,MARKETING & ADVERTISING
2010-09,Community Services,Environmental Services,CSL COMMUNICATIONS LIMITED,571.85,TELEPHONE COSTS
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,3505.50,CONTRACT HIRE
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,4059.00,CONTRACT HIRE
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,3874.50,CONTRACT HIRE
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,553.5,CONTRACT HIRE
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,4320.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,4080.00,CONTRACT HIRE
2010-09,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,3505.50,CONTRACT HIRE
2010-09,Community Services,Environmental Services,DARLINGTON COMMUNITY CARNIVAL,1690.00,MARKETING & ADVERTISING
2010-09,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1155.83,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1155.83,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Day Care - Private Contractors
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,Vehicle Hire
2010-09,Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,526.94,MATERIALS
2010-09,Community Services,Environmental Services,DEERNESS KENNELS,1181.60,COMMISSIONS & OTHER SERVICES
2010-09,Community Services,Environmental Services,DEERNESS KENNELS,1066.00,COMMISSIONS & OTHER SERVICES
2010-09,Community Services,Environmental Services,DEERNESS KENNELS,763.03,Other Supplies & Services
2010-09,Community Services,Environmental Services,DENNIS EAGLE LTD,760,MATERIALS
2010-09,Community Services,Environmental Services,DR  RHODES & PARTNERS,8811.00,MEDICAL
2010-09,Community Services,Environmental Services,DURHAM POLICE AUTHORITY,1000.00,EQUIPMENT
2010-09,Community Services,Environmental Services,DURHAM WILDLIFE TRUST,1200.00,Bio-diversity
2010-09,Community Services,Environmental Services,DVLA (reg of number plates supps),1560.00,LICENCES
2010-09,Community Services,Environmental Services,EARTH ANCHORS LTD,1056.00,MATERIALS
2010-09,Community Services,Environmental Services,ELECTRONIC SECURITY SOLUTIONS LTD,1176.58,EQUIPMENT
2010-09,Community Services,Environmental Services,ELECTRONIC SECURITY SOLUTIONS LTD,8492.00,EQUIPMENT
2010-09,Community Services,Environmental Services,ELLIOTT CONSULTANCY LTD,12185.00,PROFESSIONAL FEES & CONSULTANCY
