Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Children and Adults Services,EDUCATION,P M BOULTON- WILLIAM HOUSE NURSERY,11123212,2019-07-08,3100.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,PAUL TRENHOLME,55417348,2019-06-28,1876.80,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,PEOPLE WIZ LTD (PARENTMAIL),1094747,2019-07-03,749,Eotas Slas,Non Resource Allocation,CENTRAL SUPPORT SERVICES
Children and Adults Services,EDUCATION,PIERREMONT PLAYGROUP,11123104,2019-07-03,1014.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,PIERREMONT PLAYGROUP,11123105,2019-07-03,1063.65,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,PIVOTAL EDUCATION,55416158,2019-06-12,1685.00,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,EDUCATION,PLAY HUT DAY NURSERY & KIDS CLUB,11123201,2019-07-08,1600.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,POLAM HALL SCHOOL,11123285,2019-07-09,1385.00,Other Sen Funding,NON-BUDGETED,NON BUDGETED
Children and Adults Services,EDUCATION,POLAM HALL SCHOOL,55415222,2019-06-17,1500.00,Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,PRISUM LTD,1094255,2019-07-01,1405.00,Data Analysis Sla,Non Resource Allocation,CENTRAL SUPPORT SERVICES
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094276,2019-07-01,871.25,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094278,2019-07-01,850,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094275,2019-07-01,697,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094281,2019-07-01,697,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094280,2019-07-01,871.25,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094283,2019-07-01,522.75,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094284,2019-07-01,850,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094475,2019-07-10,871.25,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094314,2019-07-02,871.25,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094322,2019-07-02,697,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,1094287,2019-07-01,871.25,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,PROTOCOL EDUCATION LTD,55417061,2019-03-13,580,Course Purchase,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,EDUCATION,R STEIN,55416768,2019-06-17,1280.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,R STEIN,55416811,2019-06-17,684.76,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,R STEIN,55416809,2019-06-17,938.4,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,R STEIN,55416769,2019-06-17,1251.20,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,ROC FAMILY SUPPORT LTD,55415805,2019-05-31,1005.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,ROC FAMILY SUPPORT LTD,55415806,2019-04-30,737,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,RUSSELL TELECOM LTD,1094274,2019-07-01,560,Telephone Costs,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
Children and Adults Services,EDUCATION,S & R CARS LTD,55416649,2019-06-16,552,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416630,2019-06-16,1580.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416631,2019-06-16,1504.80,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416633,2019-06-16,2800.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416634,2019-06-16,2470.38,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416638,2019-06-16,2800.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416639,2019-06-16,1600.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416640,2019-06-16,1800.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416643,2019-06-16,1008.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416635,2019-06-16,932.8,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416636,2019-06-16,1240.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416637,2019-06-16,704,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416650,2019-06-16,672,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416645,2019-06-16,700,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416645,2019-06-16,700,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416647,2019-06-16,1380.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416648,2019-06-16,1380.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416646,2019-06-16,1800.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416651,2019-06-16,1720.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55417175,2019-06-16,1568.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,S & R CARS LTD,55416644,2019-06-16,1632.40,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,SADBERGE PLAYGROUP,11123100,2019-07-03,3003.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,SADBERGE PLAYGROUP,11123202,2019-07-08,1000.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,SENSORY EDUCATION LTD,1094624,2019-07-04,501,Disability Access Fund Expenditure,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,SERENDIPITY PRE SCHOOL,11123203,2019-07-08,4000.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,SKERNE PARK ACADEMY,11123204,2019-07-08,1500.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,SKERNE PARK ACADEMY,11123283,2019-07-09,2078.00,Other Sen Funding,NON-BUDGETED,NON BUDGETED
Children and Adults Services,EDUCATION,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,11123200,2019-07-08,6300.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,11123099,2019-07-03,3104.15,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,SPORTS COACHING LIMITED,1094440,2019-07-01,1800.00,PE & Sports SLA,Non Resource Allocation,CENTRAL SUPPORT SERVICES
Children and Adults Services,EDUCATION,ST AUGUSTINES RC PRIMARY SCHOOL,1094602,2019-07-16,854.13,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,ST BEDES RC PRIMARY SCHOOL,55417083,2019-06-20,1062.50,Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,ST GEORGES CHURCH OF ENGLAND ACADEMY,11123206,2019-07-08,1800.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,ST TERESA'S RC PRIMARY SCHOOL,11123208,2019-07-08,2000.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,STOCKTON ON TEES BOROUGH COUNCIL,55415574,2019-06-05,1187.00,External Placements,SUPPLIES & SERVICES,EXPENSES
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094652,2019-07-17,1614.71,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094606,2019-07-10,1345.85,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094234,2019-06-26,1733.14,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094327,2019-07-02,1025.00,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094328,2019-07-02,575,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094329,2019-07-02,575,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094330,2019-07-02,640,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,TEACHING PERSONNEL LTD,1094504,2019-07-03,1231.72,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,THE CHILDCARE CENTRE,11123091,2019-07-03,811.2,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,THE CHILDCARE CENTRE,11123092,2019-07-03,2429.33,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,THE CHILDCARE CENTRE,11123188,2019-07-08,500,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,THE EDUCATION VILLAGE ACADEMY TRUST,11123205,2019-07-08,800,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,THE EDUCATION VILLAGE ACADEMY TRUST,11123169,2019-07-04,12670.00,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
Children and Adults Services,EDUCATION,TINY TURNERS NURSERY,11123209,2019-07-08,4600.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,TOPOLI LEISURE LTD,11123214,2019-07-08,809.25,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,TOPOLI LEISURE LTD,11123087,2019-07-03,6084.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,TOPOLI LEISURE LTD,11123088,2019-07-03,9382.60,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415389,2019-06-03,724.54,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415391,2019-06-03,574.6,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415403,2019-06-03,678.98,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415405,2019-06-03,1360.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415398,2019-06-03,875.89,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415397,2019-06-03,1305.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415417,2019-06-03,1021.36,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415415,2019-06-03,789.14,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415416,2019-06-03,990,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415415,2019-06-03,789.14,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415399,2019-06-03,714,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415400,2019-06-03,2040.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415401,2019-06-03,816,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415418,2019-06-03,1700.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415420,2019-06-03,1148.86,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415421,2019-06-03,1870.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415395,2019-06-03,1019.40,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415402,2019-06-03,930.92,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415314,2019-06-03,864,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415393,2019-06-03,527.44,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415414,2019-06-03,982.66,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415390,2019-06-03,571.2,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415392,2019-06-03,680,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415413,2019-06-03,994.94,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNITED TAXIS LTD,55415396,2019-06-03,1350.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,UNIVERSITY OF HERTFORDSHIRE,1094746,2019-06-17,805,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,UPPERTHORPE NURSERY LTD,11123210,2019-07-08,500,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,UTAX UK LTD,1094441,2019-06-28,1792.79,Photocopy Charges,SUPPLIES & SERVICES,"PRINTING, STATIONERY & GEN OFF EXPENSES"
Children and Adults Services,EDUCATION,VINCENT COXON,55416642,2019-06-17,1760.00,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
Children and Adults Services,EDUCATION,VISION FOR EDUCATION LTD,1094392,2019-07-08,885,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
Children and Adults Services,EDUCATION,VITALIZE CONSULTANCY LIMITED,55417191,2019-07-24,995,Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
Children and Adults Services,EDUCATION,WEST PARK ACADEMY,11123211,2019-07-08,2800.00,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,WEST PARK DAY NURSERY LTD,11123107,2019-07-03,809.25,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,EDUCATION,WYVERN ACADEMY,55417121,2019-06-21,750,Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094684,2019-07-10,1261.39,Year 2,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094657,2019-07-10,979.31,Year 3,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094663,2019-07-10,851.4,Reception,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094658,2019-07-10,967.45,Year 6,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094436,2019-06-26,2878.69,Stationery,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094304,2019-06-26,617.75,General Learning Resources (Curriculum),SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,EDUCATION,YORKSHIRE PURCHASING ORGANISATION,1094306,2019-06-26,810.32,General Learning Resources (Curriculum),SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,Public Health,COUNTY DURHAM & DARLINGTON NHS FOUNDATIO,55417057,2019-06-07,73017.56,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,55416280,2019-05-15,179766.17,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,55416707,2019-06-17,179766.17,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,NECA SERVICES LTD,55414792,2019-05-31,7495.92,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,NECA SERVICES LTD,55417183,2019-05-31,10000.00,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,NHS BUSINESS SERVICES AUTHORITY,55416518,2019-06-14,26101.15,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,PRIMARY HEALTHCARE DARLINGTON LIMITED,55416720,2019-06-17,25526.60,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,VIRGIN CARE SERVICES LIMITED,55416806,2019-06-18,1179.00,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
Children and Adults Services,Public Health,XMA LIMITED,55416217,2019-06-12,837.16,Ict Hardware Purchase,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
Economic Growth & Neighbourhood Services,Asset Management & Investment,DE-POEL,11123420,2019-07-21,1056.43,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Economic Growth & Neighbourhood Services,Asset Management & Investment,DE-POEL,11123399,2019-07-14,1056.43,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Economic Growth & Neighbourhood Services,Asset Management & Investment,DE-POEL,11123280,2019-07-07,1056.43,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Economic Growth & Neighbourhood Services,Asset Management & Investment,DE-POEL,11123479,2019-07-28,1056.43,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Emloyee Costs
Economic Growth & Neighbourhood Services,Building Services,AON LIMITED,55415422,2019-06-03,2940.00,Misc. Insurances,SUPPLIES & SERVICES,SERVICES
Economic Growth & Neighbourhood Services,Building Services,AON LIMITED,55415423,2019-06-03,800,Misc. Insurances,SUPPLIES & SERVICES,SERVICES
Economic Growth & Neighbourhood Services,Building Services,ARNET LTD,55416474,2019-05-31,891,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,ARNET LTD,55416561,2019-05-31,1166.00,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,ARNET LTD,55417271,2019-06-18,5717.05,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,AYCLIFFE FABRICATIONS LTD,55414630,2019-05-30,1095.00,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,B C STEWART LTD,55415631,2019-05-31,36344.92,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,B C STEWART LTD,55415628,2019-05-01,3607.62,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,B C STEWART LTD,55415630,2019-04-05,3300.00,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,B C STEWART LTD,55415316,2019-05-31,14077.15,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,BISHOP AUCKLAND GLAZING CO LTD,55416481,2019-06-14,1443.78,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,BRICKWORK DIRECT LIMITED,55416496,2019-07-11,3769.28,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,BRICKWORK DIRECT LIMITED,55416497,2019-07-11,4051.11,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,BRICKWORK DIRECT LIMITED,55417230,2019-06-21,4299.34,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,BRICKWORK DIRECT LIMITED,55416254,2019-06-07,7700.22,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Economic Growth & Neighbourhood Services,Building Services,CAPITA BUSINESS SRV LTD (DARLINGTON),55414993,2019-03-04,27812.00,Ict Software Support & Maintenance,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
Economic Growth & Neighbourhood Services,Building Services,CENTRICA BUSINESS SOLUTIONS (GENERATION) LTD,55415166,2019-06-01,2903.81,Electricity,PREMISES,ENERGY COSTS
Economic Growth & Neighbourhood Services,Building Services,CHESHIRE SCIENTIFIC,55417207,2019-05-31,1294.60,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
Economic Growth & Neighbourhood Services,Building Services,CORONA ENERGY LTD,57481118,2019-07-11,3331.92,Gas,PREMISES,ENERGY COSTS
Economic Growth & Neighbourhood Services,Building Services,CORONA ENERGY LTD,57481123,2019-07-11,2074.29,Gas,PREMISES,ENERGY COSTS
Economic Growth & Neighbourhood Services,Building Services,CORONA ENERGY LTD,57481119,2019-07-11,9113.23,Gas,PREMISES,ENERGY COSTS
Economic Growth & Neighbourhood Services,Building Services,CORONA ENERGY LTD,57481122,2019-07-11,1505.32,Gas,PREMISES,ENERGY COSTS
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55416107,2019-06-11,532,Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55417482,2019-06-25,514.62,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55417235,2019-06-21,944.99,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55415762,2019-06-07,511.22,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55415997,2019-06-10,909.92,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55416073,2019-06-11,770.49,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Economic Growth & Neighbourhood Services,Building Services,CROSSLING LTD,55416075,2019-06-11,1013.84,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
