ï»¿Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode,Annual Value,Total Contract Value (including extensions),OJEU/FTS?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
People,ITT,Salford City Council,S1093,"PFI 4:  Provision of School Buildings, Catering & Facilities Management","PFI 4:  Provision of School Buildings, Catering & Facilities Management",S&W TLP (Project Co Two) Ltd,DA2 6NS,10609505.00,268774126.67,Yes,2013-04-14,,304,0,0,N/A,N/A,,Yes,200000,Financial Services,7796896,Public
Place,Mini-Comp,Salford City Council,S1242,Plant Hire for Swinton Hall Road Depot - Lot 18,Plant Hire for Swinton Hall Road Depot - Lot 18,Hire Station Ltd,M50 1AY,18000.00,18000.00,No,2020-02-01,2022-05-15,12,12,1,Yes,,2022-05-15,No,100000,Building Construction Materials,3428037,Public
Place,Mini-Comp,Salford City Council,S1242,Plant Hire for Swinton Hall Road Depot - Lot 19,Plant Hire for Swinton Hall Road Depot - Lot 19,Chippindale Plant Ltd,SK6 2SR,2000.00,2000.00,No,2020-02-01,2022-05-15,12,12,1,Yes,,2022-05-15,No,100000,Building Construction Materials,467731,Public
Place,Mini-Comp,Salford City Council,S1242,Plant Hire for Swinton Hall Road Depot - Lot 22,Plant Hire for Swinton Hall Road Depot - Lot 22,Chippindale Plant Ltd,SK6 2SR,30000.00,30000.00,No,2020-02-01,2022-05-15,12,12,1,Yes,,2022-05-15,No,100000,Building Construction Materials,467731,Public
Place,Mini-Comp,Salford City Council,S1419,Play area refurbishment Albert Park,Play area refurbishment Albert Park,Horticon Ltd,SK9 6DN,81108.10,81108.10,No,2022-03-07,2022-04-01,1,0,0,N/A,N/A,2022-04-01,Yes,331000,Playground Equipment,2463373,Public
People,Direct Call-Off,Salford City Council,S1427,Portakabin for Brentnall Primary School.,Portakabin for Brentnall Primary School.,Portakabin ltd,BB1 3HY,60652.80,60652.80,No,2022-01-10,2024-01-09,24,0,0,N/A,N/A,2024-01-09,No,321060,Temporary Accomodation -  Unsupported,321060,Public
People,Direct Call-Off,Salford City Council,S1426,Portakabin for Willow Tree Primary School,Portakabin for Willow Tree Primary School,Portakabin ltd,BB1 3HY,51480.00,51480.00,No,2022-01-10,2024-01-09,24,0,0,N/A,N/A,2024-01-09,No,321060,Temporary Accomodation -  Unsupported,321060,Public
Service Reform,ITT,AGMA and Yorkshire,S1025,Postal Services,Postal Services,Whistl UK Limited,SL7 1TB,350000.00,1400000.00,Yes,2021-03-01,2023-02-28,24,12,2,,,2023-02-28,No,300000,Mail Services,4417047,Public
Service Reform,RFQ,Salford City Council,S1102,Private ADSL (Enterprise or IP Connect),Private ADSL (Enterprise or IP Connect),British Telecommunications PLC,EC1A 7AJ,33392.00,166960.00,Yes,2013-10-23,2018-10-22,36,24,1,Yes,,2022-10-22,No,270000,Information Communication Technology,1800000,Public
Place,CSO Exception,Salford City Council,S1278,Project Management Software System,Project Management Software System,CAM Management Solutions Limited (CAMMS),M3 2HW,24500.00,73500.00,No,2017-06-01,2023-05-31,36,12,3,Yes,,2023-05-31,No,270000,Information Communication Technology,,Public
People,Other,Salford City Council,,Provision of Adult social care services,Provision of Adult social care services,Aspire,M27 5WW,9670278.00,29010834.00,Yes,2021-06-01,2023-05-31,24,0,0,,,2023-05-31,Yes,321000,Social Community Care Supplies & Services - Adult,9360642,Public
Service Reform,ITT,Salford City Council,S1027,Provision of Car Club,Provision of Car Club,Co-Wheels,DH1 2LH,250000.00,1003880.00,Yes,2015-05-01,2023-04-01,24,24,2,Yes,Yes,2023-04-01,Yes,380000,Vehicle Management,6512325,Public
Place,Other,Salford City Council,S1137,Provision of Cashless Parking System,Provision of Cashless Parking System,Parkmobile Limited,RG24 8NE,4000.00,11500.00,No,2018-11-21,2022-11-20,36,12,1,Yes,,2022-11-20,Yes,350000,Street & Traffic Management,4421667,Public
Place,ITT,Salford City Council,S1013,Provision of Civil Parking Enforcement Services,Provision of Civil Parking Enforcement Services,NSL Ltd,B3 2JR,790000.00,3950000.00,Yes,2018-04-01,2023-03-31,36,24,2,Yes,Yes,2023-03-31,No,350000,Street & Traffic Management,2362957,Public
Place,Direct Call-Off,Salford City Council,S1336,Provision of Confirm Software System,G Cloud Framework,Confirm Solutions Limited,ME4 4YG,522569.00,522569.00,No,2021-04-01,2023-03-31,24,12,2,,,2023-03-31,No,270000,Information Communication Technology,12838751,Public
People,CSO Exception,Salford City Council,S1104,Provision of Healthwatch Salford,Provision of Healthwatch Salford,Healthwatch Salford,M6 6FP,166520.00,790970.00,Yes,2015-07-01,2024-03-31,33,84,2,Yes,,2024-03-31,Yes,321100,Social Community Care Supplies & Services - Children,9563358,Public
Service Reform,CSO Exception,Salford City Council,S1029,Provision of Licence Agreement for LACHS,Provision of Licence Agreement for LACHS,JCAD,GU33 6JS,1960.00,7840.00,No,2018-02-19,2024-02-18,48,24,2,Yes,N/A,2024-02-18,Yes,270000,Information Communication Technology,7000813,Public
Service Reform,CSO Exception,Salford City Council,S1081,Provision of Solarwinds Software,Provision of Solarwinds Software,Loop1 UK,GL7 1XD,16781.97,16781.97,No,2022-05-12,2023-05-11,12,0,0,N/A,N/A,2023-05-11,No,271440,Software,2631536,Public
Service Reform,Mini-Comp,GMCA,S1036,Provision of Temporary and Agency Workers,Provision of Temporary and Agency Workers,Reed plc,WC2A 1DT,3000000.00,9000000.00,Yes,2022-01-29,2025-01-28,36,12,1,,,2025-01-28,No,260000,Human Resources,6903140,Public
Service Reform,ITT,Salford City Council,S1008,PSN Public Buildings & Schools,PSN Public Buildings & Schools,British Telecommunications PLC,EC1A 7AJ,136304.00,681520.00,Yes,2014-10-01,2022-09-30,60,0,0,N/A,N/A,2022-09-30,No,270000,Information Communication Technology,1800000,Public
Service Reform,Other,Salford City Council,S1103,PSTN Lines & Call Charges,PSTN Lines & Call Charges,Virgin Media Business Ltd,RG2 6UU,44500.00,44500.00,No,2022-01-01,2022-12-31,12,0,0,N/A,N/A,2022-12-31,No,270000,Information Communication Technology,1785381,Public
Place,CSO Exception,Salford City Council,S1422,Purchase of LED lighting and installation by SCL,Purchase of LED lighting and installation by SCL,CEF Electrical,M17 1SD,27533.44,27533.44,No,2022-02-14,2022-03-31,2,0,0,N/A,N/A,2022-03-31,Yes,101900,Lighting,336408,Public
Place,RFQ,Salford City Council,S1479,Purchase of replacement HAVwear monitors,Purchase of replacement HAVwear monitors,Reactec Ltd,EH11 4DF,5750.75,5750.75,Noo,2022-06-01,2022-06-30,1,0,0,N/A,N/A,2022-06-30,No,270000,Information Communication Technology,SC221428,Public
Place,RFQ,Salford City Council,S1440,Purchase of Street Lighting Columns,Purchase of Street Lighting Columns,Valmont Station,TS17 9LT,9612.00,9612.00,No,2022-05-01,2022-05-31,1,0,0,N/A,N/A,2022-05-31,Yes,231400,Street Lighting,3829923,Public
Service Reform,ITT,Manchester City Council,S1236,Purchasing Card Programme (Concession),Purchasing Card Programme (Concession),Lloyds Banking Group,EC2V 7HN,-,-,No,2019-04-01,2023-03-31,24,24,2,,,2023-03-31,No,200000,Financial Services,SC095000,Public
People,CSO Exception,Salford City Council,S1373,Reducing Parenting Conflict Training,Reducing Parenting Conflict Training,OnePlusOne,EC2Y 5AU,9500.00,19000.00,No,2021-06-10,2022-05-31,12,12,1,,,2022-05-31,Yes,401402,Troubled Families,4133340,Public
People,CSO Exception,Salford City Council,S1374,Reducing Parenting Conflict Training,Reducing Parenting Conflict Training,Amity Relationship Solutions,S70 5PG,12500.00,25000.00,No,2021-06-10,2022-05-31,12,12,1,,,2022-05-31,No,401402,Troubled Families,11930484,Public
Place,Mini-Comp,Salford City Council,S1144-36,"Refurbishment of the family centre, Wingate Road, into 4 x 1 bed apartments","Refurbishment of the family centre, Wingate Road, into 4 x 1 bed apartments",Schofield and Sons Ltd,M30 9PS,190037.11,190037.11,No,2022-02-28,2022-05-05,2.5,0,0,N/A,N/A,2022-05-05,Yes,390000,"Works - Construction, Repair & Maintenance",25459259,Public
Place,Other,Salford City Council,S1188,Removal and Transportation of Furniture,Removal and Transportation of Furniture,BCL,M17 1PP,30000.00,120000.00,No,2019-11-18,2022-11-17,24,12,1,Yes,N/A,2022-11-17,No,210000,Furniture & Soft Furnishings,8106928,Public
Place,CSO Exception,Salford City Council,S1358,Renewal of ArcGIS Software Licence,Renewal of ArcGIS Software Licence,ESRI,HP21 7QG,24004.00,24004.00,No,2022-03-23,2023-03-22,12,0,0,N/A,N/A,2023-03-22,No,270000,Information Communication Technology,1288342,Public
Place,Other,Salford City Council,S1299,Reopening High Streets Safely - Action Planning & Evaluation,Reopening High Streets Safely - Action Planning & Evaluation,DJS Research Ltd,SK67GH,49700.00,49700.00,No,2020-10-30,2022-04-30,6,12,1,Yes,,2022-04-30,Yes,150000,Consultancy,5494158,Public
Place,Mini-Comp,Salford City Council,S1454,Repairs to flat roof & external parapet walls,Repairs to flat roof & external parapet walls,Schofield and Sons Ltd,M30 9PS,31700.13,31700.13,No,2022-04-18,22/04/222,0.1,0,0,N/A,N/A,2022-04-22,Yes,390000,"Works - Construction, Repair & Maintenance",25459259,Public
Place,Mini-Comp,Salford Council,S1144-34,Re-roofing of Hollybank supported housing building,HOLLYBANK SUPPORTED HOUSING  RE ROOFING OF TILED ROOFS AND FLAT ROOFS,Wright Build Ltd,M46 0AG,166091.00,195000.00,No,2021-11-17,2022-01-21,2,0,0,N/A,N/A,2022-01-21,Yes,391311,Repair & Maintenance,1401191,Public
Regeneration,Mini-Comp,Salford City Council,S1108,Responsive Repairs Framework,Responsive Repairs Framework,Schofield and Sons Ltd,M30 9PS,116666.00,116666.00,Yes,2018-08-06,2022-08-05,24,12,2,Yes,Yes,2022-08-05,Yes,390000,"Works - Construction, Repair & Maintenance",2459259,Public
Regeneration,Mini-Comp,Salford City Council,S1108,Responsive Repairs Framework,Responsive Repairs Framework,MC Facilities Services,M5 4WD,116666.00,116666.00,Yes,2018-08-06,2022-08-05,24,12,2,Yes,Yes,2022-08-05,Yes,390000,"Works - Construction, Repair & Maintenance",10984008,Public
Regeneration,Mini-Comp,Salford City Council,S1108,Responsive Repairs Framework,Responsive Repairs Framework,G Jones Builders,M28 3FJ,116666.00,116666.00,No,2018-08-06,2022-08-05,24,12,2,Yes,Yes,2022-08-05,Yes,390000,"Works - Construction, Repair & Maintenance",4928174,Public
Place,Mini-Comp,Salford City Council,S1144-38,"Re-tiling, lead replacement and flat roof renewal of Swinton Town Hall including clock tower","Re-tiling, lead replacement and flat roof renewal of Swinton Town Hall including clock tower",Wright Build Ltd,M46 0AG,325757.00,325757.00,No,2022-10-10,2022-12-16,2,0,0,N/A,N/A,2022-12-16,Yes,390000,"Works - Construction, Repair & Maintenance",1401191,Public
Place,Other,Salford City Council,S1354,Road AI Technology to Survey on a Sample of Unclassified Road Network,Road AI Technology to Survey on a Sample of Unclassified Road Network,Vaisala,B37 7YB,9701.50,9701.50,No,2021-04-01,2023-03-31,12,0,0,N/A,N/A,2023-03-31,No,390000,"Works - Construction, Repair & Maintenance",1487125,Public
People,CSO Exception,Salford City Council,S1085,Safe Families for Children Service,Safe Families for Children Programme,Safe Families For Children,NE3 2EN,60000.00,420000.00,Yes,2016-04-01,2023-03-31,48,12,3,Yes,Yes,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,8134971,Public
People,ITT,Salford City Council,S1020,Salford Advocacy Hub,Salford Advocacy Hub,MIND In Salford,M21 0BP,391000.00,1905000.00,Yes,2016-04-01,2023-03-31,36,24,1,Yes,Yes,2023-03-31,Yes,321100,Social Community Care Supplies & Services - Children,1156625,Public
People,CSO Exception,Salford City Council,S1021,Salford Carers Service,Salford Carers Service,The Gaddum Centre,M15 4AX,466390.20,2331951.00,Yes,2020-10-01,2025-09-30,60,12,1,,,2025-09-30,Yes,321000,Social Community Care Supplies & Services - Adult,507162,Public
People,CSO Exception,Salford City Council,S1202,Salford Childrens Rights Service,Provision of a Salford Children's Rights Service,Barnardo Services Ltd,IG6 1QG,149852.00,599408.00,Yes,2018-04-01,2023-03-31,24,24,24,Yes,,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,1227919,Public
Place,ITT,Salford City Council,S1052,Salford City Councils Bus Lane Enforcement Equipment and Maintenance Support Contract,Salford City Councils Bus Lane Enforcement Equipment and Maintenance Support Contract,Siemens Plc,GU16 8QD,24250.00,97000.00,No,2019-04-01,2023-03-31,24,12,2,Yes,Yes,2023-03-31,No,190000,Facilities & Management Services,351400,Public
Place,Other,Salford City Council,S1058,Salford Community Leisure Management Agreement,Salford Community Leisure Management Agreement,Salford Community Leisure Ltd,M27 5DA,4100000.00,4100000.00,Yes,2004-04-01,2025-03-31,192,59,,,,2025-03-31,Yes,290000,Arts & Leisure Services,IP29627R,Public
Place,ITT,Salford City Council,S1193,Salford Domestic Abuse services,Salford Domestic Abuse services,Salford Foundation,M5 4BD,833000.00,4165000.00,Yes,2022-04-01,2027-03-31,60,12,1,,,2027-03-31,Yes,321000,Social Community Care Supplies and Services,2472369,Public
Place,ITT,Salford City Council,S1392,Salford eCargo Bike Scheme,Salford eCargo Bike Scheme,Cycle Waggle LTD T/A Mcr Bike Hire,M16 9HD,74817.53,112226.29,No,2022-03-01,2025-02-28,36,0,0,N/A,N/A,2025-02-28,Yes,360000,Passenger Transport,9034563,Public
Place,ITT,Salford City Council,S1023,Salford Handyperson Service,Salford Handyperson Service,Swinton Community Business T/A Helping Hands,M27 4AU,300000.00,900000.00,Yes,2022-04-01,2025-03-31,36,12,1,,,2025-03-31,Yes,190000,Facilities & Management Services,3663823,Public
Place,Other,Salford City Council,S1275,Salford Residents Funeral Service,Salford Residents Funeral Service,Kanes Funeral Directors,M19 1FE,165000.00,825000.00,Yes,2020-10-01,2023-09-30,36,12,2,,,2023-09-30,Yes,120000,Cemetry & Crematorium,7550105,Public
Service Reform,Other,Salford City Council,S1331,SAP Licences for LCC,SAP Licences for LCC,SAP UK Ltd,TW14 8HD,265000.00,530000.00,,2021-04-01,2023-03-31,24,0,0,N/A,N/A,2023-03-31,No,270000,Information Communication Technology,2152073,Public
Service Reform,Direct Call-Off,Salford City Council,S1473,"SCC Firewall replacement, Fortinet","SCC Firewall replacement, Fortinet",CDW Ltd,EC4M 9AF,43333.33,130000.00,No,2021-04-01,2024-03-31,36,0,0,N/A,N/A,2024-03-31,No,271501,Services,2174990,Public
Place,ITT,Salford City Council,S1244,School Keep Clear Enforcement Cameras,School Keep Clear Enforcement Cameras,Videalert Limited,HA4 9NA,96060.00,96060.00,No,2020-03-01,2023-02-28,36,0,0,N/A,N/A,2023-02-28,Yes,350000,Street & Traffic Management,5040786,Public
People,CSO Exception,Salford City Council,S1041,Schools Managed ICT Service,Schools Managed ICT Service,RM Education Ltd,DL1 2LG,2000000.00,12000000.00,Yes,2016-09-01,2022-09-21,24,24,2,Yes,Yes,2022-09-21,No,270000,Information Communication Technology,8736512,Public
Place,ITT,Salford City Council,S1101,Security staffing and associated vehicle hire,Security staffing and associated vehicle hire,The Exclusec Group Ltd,BL1 4TQ,601213.00,601213.00,No,2022-05-01,2023-03-31,11,0,0,N/A,N/A,2023-03-31,No,190000,Facilities & Management Services,1013210,Public
Place,ITT,Salford City Council,S1101,Security Staffing Services,Security Staffing Services,The Exclusec Group Ltd,BL1 4TQ,591522.00,3012266.00,Yes,2019-04-01,2023-03-31,36,24,2,Yes,Yes,2023-03-31,No,190000,Facilities & Management Services,1013210,Public
Place,Other,Salford City Council,S1131,Self-Service  RFID  Equipment (Books),Self-Service  RFID  Equipment (Books),Bibliotheca Ltd,SK8 7BS,138745.00,138745.00,No,2018-07-01,2022-06-30,36,12,2,Yes,,2022-06-30,Yes,270000,Information Communication Technology,2983151,Public
People,ITT,Salford City Council,S1335,Semi Independent Living Services (16-25 year olds) In Salford,Lot 3 - Minimum 4 units of accommodation for intensive support linked to core Salford Service Route 29 for young people aged 16  18 on referral (Accommodation and Housing Support Only),Places for People Living Plus Ltd,M6 5WX,71666.00,429996.00,Yes,2022-04-01,2027-03-31,60,12,2,,,2027-03-31,No,321000,Social Community Care & Services - Adult,20014R,Public
People,ITT,Salford City Council,S1335,Semi Independent Living Services (16-25 year olds) In Salford,Lot 2 - Minimum 35 units of accommodation and support services for young people aged 16  25 who are at risk of homelessness and/or care leavers with low - medium support needs.,Places for People Living Plus Ltd,M6 5WX,61348.00,368088.00,Yes,2022-04-01,2027-03-31,60,12,2,,,2027-03-31,No,321000,Social Community Care & Services - Adult,20014R,Public
People,ITT,Salford City Council,S1335,Semi Independent Living Services (16-25 year olds) In Salford,Lot 4 - Minimum 4 units for young families with accommodation and support needs for young families,Places for People Living Plus Ltd,M6 5WX,47970.00,287820.00,Yes,2022-04-01,2027-03-31,60,12,2,,,2027-03-31,No,321000,Social Community Care & Services - Adult,20014R,Public
People,ITT,Salford City Council,S1335,Semi Independent Living Services (16-25 year olds) In Salford,Lot 1 - Minimum 16 units of accommodation and support services for young people aged 16  25 who are at risk of homelessness and/or care leavers with medium to high support needs,Adullam Homes Housing Association,BL8 2AH,126259.00,757554.00,Yes,2022-04-01,2027-03-31,60,12,2,,,2027-03-31,Yes,321000,Social Community Care & Services - Adult,20853R,Public
Place,ITT,Salford City Council,S1001,Service and Maintenance of Air Quality Stations,Lot 1,Enviro Technology Services plc,GL5 2BY,46000.00,184000.00,Yes,2021-09-01,2023-08-31,24,24,2,,,2023-08-31,Yes,180000,Environmental Services,1726773,Public
Place,ITT,Salford City Council,S1034,Service and Preventative Maintenance and Repair of Air Handling and Air Conditioning System,Two service visits for air conditioning units (both internal and external units) to each authorised property,ECG Facilities,G2 8JX,44068.97,132206.91,No,2022-04-01,2025-03-31,36,24,2,Yes,Yes,2025-03-31,Yes,190000,Facilities & Management Services,SG298533,Public
Place,ITT,Salford City Council,S1062,Servicing and Maintenance of Cold Water Booster Sets,"Servicing and Maintenance of Cold Water Booster Sets, Pressurization Units and Associated Equipment",Pressboost Limited,M25 3HB,9500.00,47500.00,No,2020-04-01,2023-05-31,36,24,,,,2023-05-31,Yes,180000,Utilities,7842756,Public
Public Health,ITT,Salford City Council,S1022,Sexual and Reproductive Health Service for Salford & Bolton,Integrated Sexual Health Service,Bolton NHS Foundation Trust,BL4 0JR,3224828.00,18615606.00,Yes,2016-07-01,2024-03-31,36,21,2,Yes,Yes,2024-03-31,No,310000,Healthcare,CHA1050488,Public
People,CSO Exception,Salford City Council,S1164,Sexually Inappropriate / Harmful Behaviour Project,Sexually Inappropriate/Harmful Behaviour Project,Barnardo Services Ltd,IG6 1QG,54000.00,162000.00,No,2018-10-01,2023-03-31,24,18,1,Yes,,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,1227919,Public
People,Other,Salford City Council,S1195,Short Break Support Services for Disabled Children,Overnight Breaks,Reed Community Social Care,M1 4HN,299860.00,1199440.00,Yes,2019-04-01,2021-03-31,24,24,2,,,2021-03-31,No,321100,Social Community Care Supplies & Services - Children,2265513,Public
People,Other,Salford City Council,S1195,Short Break Support Services for Disabled Children,Overnight Breaks,Fairfield Care,WA15 0QZ,25000.00,100000.00,No,2019-04-01,2021-03-31,24,24,2,,,2021-03-31,No,321100,Social Community Care Supplies & Services - Children,5592652,Public
People,ITT,Salford City Council,S1161,Short Break Support Services for Disabled Children,Short Break Support Services for Disabled Children,Crossroads Together Limited,BL2 2LW,80000.00,400000.00,Yes,2018-10-01,2023-03-31,30,12,2,Yes,,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,3219229,Public
People,Other,Salford City Council,S1195,Short Break Support Services for Disabled Children,Overnight Breaks,Birtenshaw,BL7 9AB,89000.00,100000.00,No,2019-04-01,2021-03-31,24,24,2,,,2021-03-31,No,170000,Education,2978546,Public
People,Other,Salford City Council,S1195,Short Break Support Services for Disabled Children,Overnight Breaks,Bayis Sheli,N16 5BP,6000.00,24000.00,No,2019-04-01,2023-03-31,24,24,2,,,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,5576871,Public
Service Reform,Other,Salford City Council,S1082,SIP Trunks & Call Charges,SIP Trunks & Call Charges,Virgin Media Business Ltd,RG2 6UU,78000.00,78000.00,No,2022-01-01,2022-12-31,12,0,0,N/A,N/A,2022-12-31,No,270000,Information Communication Technology,1785381,Public
Place,RFQ,Salford City Council,S1446,Site Supervision: A5063 Trafford Road Improvements,Site Supervision: A5063 Trafford Road Improvements,AECOM Limited,M1 4HD,106649.81,106649.81,No,2020-10-01,2022-04-15,6,5,1,N/A,N/A,2022-04-15,No,390000,"Works, Construction, Repair and Maintenance",1846493,Public
Place,Other,Salford City Council,S1166,Smart Catering System,Smart Catering System,MCG Consulting Group Ltd,DE11 9FE,128000.00,128000.00,No,2019-04-01,2024-03-31,60,0,0,N/A,N/A,2024-03-31,Yes,270000,Information Communication Technology,11526731,Public
Place,RFQ,Salford City Council,S1467,SmartCross,SmartCross,Transport for Greater Manchester,M1 3BG,5500.00,5500.00,No,2022-05-06,2022-09-30,4,2,2,,,2022-09-30,Yes,231700,Street Furniture & Iron Works,5868101,Public
Service Reform,Direct Call-Off,Salford City Council,S1274,Social Value Portal,Social Value Portal,The Social Value Portal Ltd,M1 5FW,12000.00,36000.00,No,2020-06-01,2023-05-31,36,0,0,N/A,N/A,2023-05-31,Yes,270000,Information Communication Technology,9197997,Public
People,ITT,Salford City Council,S1064,"Special Educational Needs and Disabilities Brokerage, Support, Training and Advice Service for schools and families in the Orthodox Jewish Communities in Salford","Special Educational Needs and Disabilities Brokerage, Support, Training and Advice Service for schools and families in the Orthodox Jewish Communities in Salford",The Centre for Specialist Educational Assistance\nLtd (known as Binoh of Manchester),M7 4GP,55360.00,254300.00,No,2016-09-01,2022-08-31,48,24,2,Yes,Yes,2022-08-31,Yes,170000,Education,3228893,Public
Service Reform,Direct Call-Off,Salford City Council,S1229,Specialist Professional Services Call-Off Contract,Specialist Professional Services Call-Off Contract,Bloom Procurement Services Ltd,NE8 2ET,700000.00,2800000.00,No,2019-12-01,2023-11-30,48,0,0,N/A,N/A,2023-11-30,No,150000,Consultancy,8045123,Public
People,CSO Exception,Salford City Council,S1161,"Specialist Sports, Dance and Performing Arts for ages 5 to 18","Specialist Sports, Dance and Performing Arts for ages 5 to 18",Salford Community Leisure Ltd,M27 5DA,15000.00,75000.00,No,2017-04-01,2023-03-31,36,24,2,Yes,Yes,2023-03-31,Yes,290000,Arts & Leisure Services,GBML5175465,Public
Place,ITT,Salford City Council,S1211,Specialist Vehicle Hire,Specialist Vehicle Hire,Leeds Commercial Vehicle Hire,M50 2GL,180000.00,180000.00,No,2020-02-01,2022-07-01,13,0,0,N/A,N/A,2022-07-01,No,380000,Vehicle Management,587618,Public
People,CSO Exception,Salford City Council,S1161,Specialist Youth club and Holiday Provision for Young People with Autism 11-18,"A range of out of school activities for disabled children, including those with complex autism",Autistic Society for the Greater Manchester Area,M32 0HL,15000.00,75000.00,Yes,2017-04-01,2023-03-31,60,12,1,,,2023-03-31,Yes,321100,Social Community Care Supplies & Services - Children,4326334,Public
Place,Mini-Comp,Salford City Council,S1407,Springfield/Trinity Junction Improvement Scheme,Springfield/Trinity Junction Improvement Scheme,Eric Wright Civil Engineering ltd,PR5 6AW,,,No,2022-07-04,2022-11-30,5,0,0,N/A,N/A,2022-11-30,Yes,390000,"Works - Construction, Repair & Maintenance",,Public
Place,Mini-Comp,Salford City Council,S1083-10,St Marys Centre Demolition,St Marys Centre Demolition,Connell Brothers Limited,M6 6FL,40500.00,40500.00,No,2022-05-02,2022-05-27,1,0,0,N/A,N/A,2022-05-27,Yes,181000,Demolition & Asbestos Removal,2475702,Public
Place,RFQ,Salford City Council,S1246,Staff Training to comply with Highway Electrical Registration Scheme,Staff Training to comply with Highway Electrical Registration Scheme,ASL Traning Ltd,DL14 9PD,6000.00,6000.00,No,2021-05-01,2022-04-30,12,0,0,N/A,N/A,2022-04-30,Yes,260000,Human Resources,8457542,Public
People,Other,Salford City Council,S1329,Statutory Homeless Supported Temporary Accomodation,Statutory Homeless Supported Temporary Accomodation  Lot 1,The Riverside Group Ltd,M13 0AF,75122.00,375610.00,No,2021-12-01,2026-11-30,60,24,2,,,2026-11-30,No,321000,Social Community Care Supplies & Services - Adult,30938R,Public
People,Other,Salford City Council,S1329,Statutory Homeless Supported Temporary Accomodation,Statutory Homeless Supported Temporary Accomodation Lot 2,Salvation Army,M5 4DU,97269.63,486348.15,No,2021-12-01,2026-11-30,60,24,2,,,2026-11-30,No,321000,Social Community Care Supplies & Services - Adult,IP15210R,Public
People,Mini-Comp,Salford City Council,S1144-49,Summerville PS Repairs to flat roof & external parapet walls,Summerville PS Repairs to flat roof & external parapet walls,Schofield and Sons Ltd,M30 9PS,26364.05,26364.05,No,2022-05-30,2022-06-17,0.8,0,0,N/A,N/A,2022-06-17,Yes,390000,"Works - Construction, Repair & Maintenance",25459259,Public
Place,RFQ,Salford City Council,S1109,Supply and Fit of Hydraulic Hoses,Supply and Fit of Hydraulic Hoses,G B Hoses,M27 4DB,25000.00,80000.00,No,2018-06-01,2023-05-31,36,12,2,Yes,Yes,2023-05-31,Yes,190000,Facilities & Management Services,4308869,Public
Place,CSO Exception,Salford City Council,S1416,Supply of 6mm Quick Viafix Road Repair,Supply of 6mm Quick Viafix Road Repair,Viatec UK Ltd,BA3 4XD,125000.00,125000.00,No,2022-02-01,2023-01-30,24,0,0,N/A,N/A,2023-01-30,Yes,3911465,Reconstruction and Resurficing,5642795,Public
Place,CSO Exception,Salford City Council,S1478,Supply of AC Dense Surf 160/220 Hardstone,Supply of AC Dense Surf 160/220 Hardstone,Aggregate Industries UK Ltd,LE67 9PJ,125000.00,125000.00,No,2022-05-16,2023-05-31,12,0,0,N/A,N/A,2023-05-31,No,391469,Reconstruction and Resurficing,245717,Public
Place,Mini-Comp,Salford City Council,S1231,Supply of Aggregate,Supply of Aggregate,Cemex UK,M5 4WH,135000.00,135000.00,No,2020-01-31,2022-01-30,24,12,1,,N/A,2023-01-30,No,100000,Building Construction Materials,658390,Public
Place,Mini-Comp,Salford City Council,S1042,Supply of Compostable Liners,Supply of Compostable Liners,Cromwell Polythene Ltd,LS25 6PL,98000.00,392000.00,No,2017-12-01,2021-11-30,24,24,2,Yes,Yes,2021-11-30,Yes,180000,Environmental Services,2230104,Public
Place,Mini-Comp,YPO 981,S1014,Supply of Liquid Fuels and Heating Oil,Supply of Liquid Fuels and Heating Oil,Standard Fuels,W1U 1QX,1000000.00,4000000.00,Yes,2020-01-14,2023-01-13,24,24,1,Yes,,2023-01-13,No,380000,Vehicle Management,6667542,Public
Service Reform,Other,Salford City Council,S1049,Supply of Paper & Card,Supply of Paper & Card,Premier Paper,M41 7PA,29205.80,116823.20,No,2017-04-01,2019-03-31,24,24,1,,,2019-03-31,No,340000,Stationery,3672117,Public
Place,Direct Call-Off,ESPO 860,S1066,Supply of Plastic Wheeled Bins,Supply of Plastic Wheeled Bins,MGB Plastics,S61 4RJ,160000.00,600000.00,Yes,2018-02-01,2023-01-31,48,24,2,Yes,Yes,2023-01-31,Yes,180000,Environmental Services,4109399,Public
Place,ITT,Salford City Council,S1040,Supply of Tyres and Associated Services,Supply of Tyres and Associated Services,The Lodge Tyre Company Ltd,M50 2XH,50000.00,150000.00,No,2020-01-13,2022-11-30,24,12,1,,,2023-01-12,Yes,380000,Vehicle Management,531793,Public
Place,Mini-Comp,Salford City Council,,"Supply, Installation & Maintenance of New Pay + Display Machines","Supply, Installation & Maintenance of New Pay + Display Machines",International Parking Systems Ltd,KT15 2LE,89056.00,89056.00,No,2021-11-01,2022-10-31,12,0,0,N/A,N/A,2022-10-31,Yes,351100,Equipment,9971838,Public
