Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-04-17,1600501093,1728.00,288.00,1440.00,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-17,1600501099,1438.20,239.70,1198.50,Brenmo Plants,Environment and Community Safety,Horticultural/GMaint
Salford City Council,2014-04-17,1600501129,11071.65,0.00,11071.65,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600501164,75675.08,12612.51,63062.57,Nsl Ltd,Sustainable Regeneration,Contractors
Salford City Council,2014-04-17,1600501181,3365.67,0.00,3365.67,Perpetual Fostering,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600501238,1431.60,238.60,1193.00,Qualys Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-04-17,1600501245,1741.80,290.30,1451.50,Monton Fencing Limited,Environment and Community Safety,Materials
Salford City Council,2014-04-17,1600501248,999.60,166.60,833.00,Prism Medical Uk,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-17,1600501258,506.92,84.49,422.43,Zero Six,Children's Services,Equipment Purchase
Salford City Council,2014-04-17,1600501265,617.04,102.84,514.20,Bksb,Children's Services,External Audit Fees
Salford City Council,2014-04-17,1600501267,4968.00,828.00,4140.00,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-17,1600501357,600.00,100.00,500.00,Click Fire & Security Ltd,Environment and Community Safety,Equipment Repair
Salford City Council,2014-04-17,1600501395,8400.00,1400.00,7000.00,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-04-17,1600501408,11440.00,0.00,11440.00,Salford Community & Voluntary Service,"Community, Health & Social Care",Contingency
Salford City Council,2014-04-17,1600501409,3771.90,0.00,3771.90,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-04-17,1600501410,29283.00,0.00,29283.00,Greater Manchester West,Capital Expenditure,Other Works
Salford City Council,2014-04-17,1600501414,600.00,0.00,600.00,Calderstones Nhs Trust,"Community, Health & Social Care",Subscriptions
Salford City Council,2014-04-17,1600501416,720.00,120.00,600.00,Ethitec,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-17,1600501424,985.95,46.95,939.00,Emo Oil Ltd,"Community, Health & Social Care",Fuel Oil
Salford City Council,2014-04-17,1600501429,3771.90,0.00,3771.90,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-04-17,1600501478,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-04-17,1600501491,2202.00,367.00,1835.00,Leigh Dogs And Cats Home Ltd,Environment and Community Safety,Animal Boarding Fees
Salford City Council,2014-04-17,1600501494,709.50,118.25,591.25,Fundtech Fsc Ltd,Customer and Support Services,Computer Maintenance
Salford City Council,2014-04-17,1600501495,21700.80,3616.80,18084.00,Community Forest Trust Ltd,Sustainable Regeneration,Rents
Salford City Council,2014-04-17,1600501503,7560.00,1260.00,6300.00,Durham County Council,"Community, Health & Social Care",Hire of Facilities
Salford City Council,2014-04-17,1600501508,2267.58,377.93,1889.65,Consolor Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-17,1600501509,540.00,90.00,450.00,Concordia Education & Training Llp,Children's Services,Training of Others
Salford City Council,2014-04-17,1600501530,2523.48,420.58,2102.90,Shaw & Sons Limited,Customer and Support Services,Stationery
Salford City Council,2014-04-17,1600501534,11046.00,0.00,11046.00,Deanprint Ltd,Office of the Chief Executive,Print & Photocopying
Salford City Council,2014-04-17,1600501543,133000.01,22166.67,110833.34,G.M.C.P (Enterprise) Ltd,Customer and Support Services,Payts to Agencies
Salford City Council,2014-04-17,1600501548,2500.00,0.00,2500.00,Pathways,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-04-17,1600501552,5843.06,973.84,4869.22,Emo Oil Ltd,"Community, Health & Social Care",Fuel Oil
Salford City Council,2014-04-17,1600501622,2100.00,350.00,1750.00,Abca Systems,Sustainable Regeneration,Electricity
Salford City Council,2014-04-17,1600501624,3064.46,510.74,2553.72,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-04-17,1600501648,1140.00,190.00,950.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-04-17,1600501676,1252.80,208.80,1044.00,Rbs Invoice Finance Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2014-04-17,1600501691,3076.80,512.80,2564.00,Alliance Disposables Ltd,Environment and Community Safety,del'd kitchen formul
Salford City Council,2014-04-17,1600501714,6084.00,1014.00,5070.00,Lisclare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-17,1600501741,24997.00,0.00,24997.00,Salford Foundation Ltd,Customer and Support Services,Payts to Agencies
Salford City Council,2014-04-17,1600501753,2000.00,0.00,2000.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600501756,15000.00,0.00,15000.00,Greater Manchester West,Environment and Community Safety,Grants - External
Salford City Council,2014-04-17,1600501766,7285.71,0.00,7285.71,Oracle Care Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-04-17,1600501772,4207.06,701.18,3505.88,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-04-17,1600501773,1260.00,0.00,1260.00,Aurora Care (Nw) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600501896,1404.28,234.05,1170.23,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-17,1600501898,657.60,109.60,548.00,E & J Kane Ltd,Sustainable Regeneration,Mobile Phones
Salford City Council,2014-04-17,1600501975,894.94,149.16,745.78,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-17,1600502026,3664.20,0.00,3664.20,Perpetual Fostering,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502053,1394.37,232.40,1161.97,Janitorial Direct Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-04-17,1600502205,900.00,0.00,900.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600502241,565.97,94.33,471.64,Air Products Plc,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-17,1600502313,642.25,107.05,535.20,Terberg Matec Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-17,1600502356,562.60,93.77,468.83,Redacted Data,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-17,1600502472,1260.00,0.00,1260.00,Perpetual Fostering,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502614,568529.70,92653.04,475876.66,Salford Schools Solutions Ltd,Children's Services,Unitary Charge
Salford City Council,2014-04-17,1600502731,678.70,113.12,565.58,Ellesmere Engineering Co Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-04-17,1600502758,5850.00,0.00,5850.00,Loispec Ltd,Children's Services,Consult/Contractors
Salford City Council,2014-04-17,1600502767,13772.40,2295.40,11477.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600502771,4888.80,814.80,4074.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600502774,1860.00,0.00,1860.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2014-04-17,1600502778,2242.80,373.80,1869.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600502779,7706.16,1284.36,6421.80,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600502807,25554.39,4259.06,21295.33,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2014-04-17,1600502808,42518.75,7086.46,35432.29,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2014-04-17,1600502882,3600.00,0.00,3600.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502883,2998.80,0.00,2998.80,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502886,3300.00,0.00,3300.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502890,3300.00,0.00,3300.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502927,1261.20,210.20,1051.00,Creedon Healthcare,"Community, Health & Social Care",Equipment Repair
Salford City Council,2014-04-17,1600502962,9000.00,0.00,9000.00,Nugent Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600502977,6976.67,1162.78,5813.89,Gartner Uk Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-04-17,1600503042,540.00,90.00,450.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600503045,1872.00,312.00,1560.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-17,1600503073,7326.00,0.00,7326.00,Aurora Care (Nw) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-17,1600503467,6497.40,1082.90,5414.50,Emo Oil Ltd,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2014-04-17,1600503541,975.00,162.50,812.50,Specialist Computer Centres Plc,"Community, Health & Social Care",Computer Equipment
Salford City Council,2014-04-17,6001450536,3504.80,0.00,3504.80,Larc Properties T/A Tancred Hall,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001536958,3455.86,0.00,3455.86,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001536970,16481.16,0.00,16481.16,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001536975,4065.93,0.00,4065.93,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001536980,6356.10,0.00,6356.10,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001537005,26082.42,0.00,26082.42,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001537028,13069.26,0.00,13069.26,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001537031,7724.46,0.00,7724.46,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001537036,698.70,0.00,698.70,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001537039,14356.42,0.00,14356.42,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-17,6001537768,2111.48,0.00,2111.48,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537769,1600.00,0.00,1600.00,Redacted Data,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537770,1109.68,0.00,1109.68,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537771,3504.00,0.00,3504.00,Davenport Manor Nursing Home Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537772,988.68,0.00,988.68,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537773,41196.00,0.00,41196.00,Equilibrium Healthcare Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537774,754.28,0.00,754.28,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537775,1690.24,0.00,1690.24,Chorlton Place Nursing Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537777,1075.20,0.00,1075.20,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537779,985.92,0.00,985.92,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537781,633.92,0.00,633.92,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537782,56878.50,0.00,56878.50,The Woodhouse,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537783,710.96,0.00,710.96,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537784,1460.00,0.00,1460.00,High Peak Lodge Nursing Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537785,986.24,0.00,986.24,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537786,644.64,0.00,644.64,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537787,2381.25,0.00,2381.25,Grange Healthcare Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537788,1626.24,0.00,1626.24,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537790,32875.43,0.00,32875.43,Orchard Care Homes.Com Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537791,1123.16,0.00,1123.16,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537792,9663.50,0.00,9663.50,Four Seasons Health Care Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537793,5979.72,0.00,5979.72,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537794,578.52,0.00,578.52,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537795,39359.60,0.00,39359.60,Beech House,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537797,1449.24,0.00,1449.24,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537798,3348.66,0.00,3348.66,Methodist Homes,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537799,4696.48,0.00,4696.48,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537800,749.28,0.00,749.28,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537801,643.12,0.00,643.12,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537802,43534.28,0.00,43534.28,Laburnum Court,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537803,554.40,0.00,554.40,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537804,741.48,0.00,741.48,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537805,5388.00,0.00,5388.00,Appleton Manor,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537807,3352.48,0.00,3352.48,Four Seasons Nursing Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537809,1514.64,0.00,1514.64,Meadow Bank House,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537811,50498.75,0.00,50498.75,Worsley Lodge Nursing Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537812,548.40,0.00,548.40,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537813,1036.00,0.00,1036.00,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537814,51334.70,0.00,51334.70,Pendleton Court Care Centre,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537816,3318.00,0.00,3318.00,Regency (Parklands) Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537818,1792.00,0.00,1792.00,Highfield Hall Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537819,516.04,0.00,516.04,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537820,3434.00,0.00,3434.00,Aarondale Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537821,976.14,0.00,976.14,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537822,25068.33,0.00,25068.33,Holly Court Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537825,1442.21,0.00,1442.21,Mill View Residential & Nursing,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537826,769.86,0.00,769.86,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537827,3440.00,0.00,3440.00,Moorfields Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537828,831.60,0.00,831.60,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537829,5039.80,0.00,5039.80,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537830,3510.05,0.00,3510.05,Larc Properties T/A Tancred Hall,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537831,911.76,0.00,911.76,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537833,1559.60,0.00,1559.60,De Brook Lodge,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537834,821.08,0.00,821.08,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537835,1678.00,0.00,1678.00,Bupa Care Homes,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537837,4797.84,0.00,4797.84,Riverside Care Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537838,958.32,0.00,958.32,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537840,1717.04,0.00,1717.04,Rosemount Care Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537842,1868.40,0.00,1868.40,Canterbury Care Homes Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537844,1620.00,0.00,1620.00,Briarmede Rch,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537845,565.04,0.00,565.04,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537847,1610.00,0.00,1610.00,Longwood Lodge Care Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537849,1560.00,0.00,1560.00,Lakeside Care Home (Eldercare Ltd),"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537851,1284.36,0.00,1284.36,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537852,1838.46,0.00,1838.46,Hilltop Hall,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537853,528.04,0.00,528.04,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537854,1605.76,0.00,1605.76,Claremont Care Home Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537856,2796.00,0.00,2796.00,Woodlea Residential Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537858,1506.92,0.00,1506.92,New Milton House (Cls Care Services,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537859,701.32,0.00,701.32,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537860,3600.00,0.00,3600.00,Hale House,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537861,858.76,0.00,858.76,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537862,552.00,0.00,552.00,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537863,1614.60,0.00,1614.60,Alexandra Lodge Care Centre,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537864,1527.08,0.00,1527.08,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537865,2379.48,0.00,2379.48,Linda Reilly T/A Westminster House,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537866,1036.40,0.00,1036.40,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537867,1567.96,0.00,1567.96,Grange Lea Residential Home Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537869,2000.00,0.00,2000.00,Bowerfield Court,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537871,1774.08,0.00,1774.08,Hesslewood House Care Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537873,514.08,0.00,514.08,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537874,1792.00,0.00,1792.00,The Beeches Care Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537875,776.16,0.00,776.16,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537876,665.28,0.00,665.28,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537877,1460.00,0.00,1460.00,Krinvest Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537879,1600.84,0.00,1600.84,Ferns Nursing Home Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537882,3559.20,0.00,3559.20,Hc One Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537884,15465.70,0.00,15465.70,Asc Healthcare Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537886,5712.56,0.00,5712.56,Speciality Care (Rest Homes) Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537887,2428.44,0.00,2428.44,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537888,5642.04,0.00,5642.04,Oakview Estates Limited,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537889,576.60,0.00,576.60,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537890,4680.60,0.00,4680.60,Oakview Estates Limited,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537892,7972.80,0.00,7972.80,Oakview Estates Limited,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537893,519.76,0.00,519.76,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537894,1977.32,0.00,1977.32,Hestia Healthcare Properties Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537895,517.56,0.00,517.56,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537896,1903.60,0.00,1903.60,Anchor Trust,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537897,540.96,0.00,540.96,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537899,2032.00,0.00,2032.00,Chamarel Home Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537901,1771.50,0.00,1771.50,Bupa Care Services Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537903,1605.92,0.00,1605.92,Bank House Care Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537904,683.76,0.00,683.76,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537905,1593.40,0.00,1593.40,Society Of Christ (Gb),"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537906,1127.28,0.00,1127.28,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537907,1932.28,0.00,1932.28,Havering Care Homes Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537909,775.68,0.00,775.68,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537910,1647.52,0.00,1647.52,Abbeywood (Tottington) Limited,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537912,5200.00,0.00,5200.00,Four Seasons (Evedale) Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537914,1541.52,0.00,1541.52,Greenlands Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537915,646.80,0.00,646.80,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537917,3635.25,0.00,3635.25,The Links Resource Centre,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537919,700.56,0.00,700.56,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537920,38724.30,0.00,38724.30,Amadeus Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537922,35883.46,0.00,35883.46,Ecclesholme Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537925,26056.42,0.00,26056.42,Heath Cottage Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537927,17302.76,0.00,17302.76,Lanchaster House Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537928,708.96,0.00,708.96,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537930,20506.15,0.00,20506.15,Merrymeet Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537933,19228.67,0.00,19228.67,Abbeydale Nursing Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537934,585.08,0.00,585.08,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537935,674.52,0.00,674.52,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537936,14476.04,0.00,14476.04,Ash Leigh House Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537938,14141.76,0.00,14141.76,Moorfield House Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537939,7013.84,0.00,7013.84,Nazareth House Nursing Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537942,12025.06,0.00,12025.06,Angel Care Plc,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537944,3158.85,0.00,3158.85,Rose Court Nursing,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537947,1674.32,0.00,1674.32,St Catherines Nursing Home,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-04-17,6001537949,34040.28,0.00,34040.28,Federation Of Jewish Services,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537950,674.40,0.00,674.40,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537951,22698.29,0.00,22698.29,Swinton Hall Nursing Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537952,1357.16,0.00,1357.16,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537953,53768.60,0.00,53768.60,The Broughtons Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537956,692.80,0.00,692.80,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537957,22072.20,0.00,22072.20,Oakland House Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537958,693.00,0.00,693.00,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537960,18267.22,0.00,18267.22,Bradmere Residential Home,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-04-17,6001537961,739.20,0.00,739.20,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-17,6001537962,785.40,0.00,785.40,Redacted Data,"Community, Health & Social Care",Payt to care clients
