Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10007641,HERBERT SMITH FREEHILLS LLP,542300,LEGAL FEES,5109100042,7000.00,2017-06-28,Housing,Housing services,Housing services
10016935,HUNTERS CONTRACTS,530000,FURNITURE & EQUIPMENT,5109096726,400,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10016935,HUNTERS CONTRACTS,510710,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,5109100518,893.5,2017-07-18,Resources,Support Costs,Z_SUPPORT COSTS
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040460,16000.00,2017-07-19,Housing,Capital,Y_CAPITAL
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040402,30000.00,2017-07-04,Housing,Capital,Y_CAPITAL
10016942,IDOX,533101,DATA PURCHASE,5109090355,261.9,2017-07-05,Communities and Intelligence,Cultural & related services,Cultural & related services
12001491,INDEPENDENT LIVING ALTERNATIVES,504500,STAFF WELFARE BENEFITS,5109107414,638.4,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10001119,INSIGHT DIRECT UK LIMITED,536300,COMPUTER HARDWARE,5109086683,22805.98,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
10025355,ISLEDON HERE TO CIC,537100,EXTERNAL MEETING ROOM HIRE & EXPENSES,5109110303,730,2017-07-11,Communities and Intelligence,Public Health,Public Health
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109105352,300,2017-07-05,External Affairs,Support Costs,Z_SUPPORT COSTS
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109107400,350,2017-07-10,External Affairs,Support Costs,Z_SUPPORT COSTS
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109097017,350,2017-06-26,Communities and Intelligence,Childrens and education services,Childrens and education services
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109105315,400,2017-07-05,Communities and Intelligence,Community Development,Planning services
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109115221,425.85,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109106685,480,2017-07-07,Communities and Intelligence,Childrens and education services,Childrens and education services
10012289,JAMES O JENKINS,540100,PHOTOGRAPHY & VIDEO,5109110757,550,2017-07-12,Communities and Intelligence,Cultural & related services,Cultural & related services
10012289,JAMES O JENKINS,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109100531,700,2017-06-30,External Affairs,Support Costs,Z_SUPPORT COSTS
10025822,JENNY HASTINGS,542002,CONSULTANCY-PROJECT MANAGEMENT,5109106330,2000.00,2017-07-07,Communities and Intelligence,Childrens and education services,Childrens and education services
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109112127,1414.00,2017-07-14,Housing,Capital,Y_CAPITAL
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109099860,1390.00,2017-06-28,Housing,Capital,Y_CAPITAL
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109099861,4486.64,2017-07-07,Housing,Capital,Y_CAPITAL
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109106319,11591.67,2017-07-07,Housing,Capital,Y_CAPITAL
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109110769,60746.50,2017-07-14,Housing,Capital,Y_CAPITAL
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109098382,62834.50,2017-06-28,Housing,Capital,Y_CAPITAL
10025642,KIWI POWER,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109098280,20731.71,2017-06-27,Communities and Intelligence,Economic Development,Planning services
10022588,LAURENCE TAYLOR,542002,CONSULTANCY-PROJECT MANAGEMENT,5109099831,4615.00,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
10006419,LB TOWER HAMLETS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109091529,5000.00,2017-06-29,"Development, Enterprise & Environment",Cultural & related services,Cultural & related services
10007586,LEVEL 3 COMMUNICATIONS UK LTD,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900040390,1416.37,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10007586,LEVEL 3 COMMUNICATIONS UK LTD,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900040389,2035.63,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10021639,LIME CREATIVE LIMITED,542100,IT CONSULTANCY,5109113648,500,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
10021639,LIME CREATIVE LIMITED,542100,IT CONSULTANCY,5109113648,1000.00,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
10020937,LONDON & PARTNERS,537100,EXTERNAL MEETING ROOM HIRE & EXPENSES,5109110697,750,2017-07-12,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
15500097,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109101830,9700.00,2017-07-18,"Development, Enterprise & Environment",Economic Development,Planning services
10006799,LONDON BOROUGH OF EALING,544063,INCOME MAX EXPENSES,5109096048,31138.50,2017-07-12,Resources,Corporate and democratic core,CORPORATE MANAGEMENT
15500012,LONDON BOROUGH OF ISLINGTON,542001,CONSULTANCY  EVALUATION ASSESSMENT,5109092776,6050.00,2017-07-10,Communities and Intelligence,Community Development,Planning services
10010027,LONDON BOROUGH OF LEWISHAM,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109090458,32983.00,2017-07-10,"Development, Enterprise & Environment",Cultural & related services,Cultural & related services
10003065,LONDON FIRE & EMERG. PLANNING AUTH.,542321,PAYROLL SERVICES FEES,5109117048,14387.25,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
15050001,LONDON GAY MENS CHORUS,542500,MISCELLANEOUS COSTS,1900040457,600,2017-07-21,External Affairs,Cultural & related services,Cultural & related services
10027976,LONDON IRISH CENTRE,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109107815,4000.00,2017-07-11,External Affairs,Cultural & related services,Cultural & related services
10025921,LONDON SPORT LTD,502010,SECONDED STAFF,5109109253,8285.20,2017-07-13,Communities and Intelligence,Cultural & related services,Cultural & related services
10025921,LONDON SPORT LTD,502010,SECONDED STAFF,5109108946,12062.91,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
10027450,LONDON TIGERS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109112270,14880.75,2017-07-17,Communities and Intelligence,Cultural & related services,Cultural & related services
10008997,LONDON WILDLIFE TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109099746,3283.97,2017-06-27,"Development, Enterprise & Environment",Capital,Y_CAPITAL
10008997,LONDON WILDLIFE TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109099746,10000.00,2017-06-27,"Development, Enterprise & Environment",Capital,Y_CAPITAL
15050001,LPFA,501000,PENSION COSTS,1900040376,28594.37,2017-07-12,Private Office,Corporate and democratic core,Corporate and democratic core
10024162,LUISA SIEIRO DESIGN,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109110732,570,2017-07-12,"Development, Enterprise & Environment",Economic Development,Planning services
10025172,MADDISON GRAPHIC,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109113655,2400.00,2017-07-20,"Development, Enterprise & Environment",Economic Development,Planning services
10017029,MAJESTIC WINE,531010,CATERERS SERVICE CHARGES,5109099839,426.29,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10020513,MAYORS FUND FOR YOUNG MUSICIANS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109105300,50000.00,2017-07-05,Communities and Intelligence,Cultural & related services,Cultural & related services
15050001,MDM PROPS SCULPTURE MODELS,542355,OTHER PROFESSIONAL FEES,1900040413,2580.00,2017-07-20,Communities and Intelligence,Cultural & related services,Cultural & related services
10017690,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,540018,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,5109095999,6814.82,2017-07-12,Housing,Housing services,Housing services
10027175,METIS,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109100221,2175.00,2017-06-29,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5109042077,300,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5109050675,300,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5109050677,300,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,536200,COMPUTER SOFTWARE,5109042080,426.75,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5109074413,989,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,542002,CONSULTANCY-PROJECT MANAGEMENT,5109111903,1200.00,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,536000,MANAGE IT SERVICES,5109042080,2003.25,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,536000,MANAGE IT SERVICES,5109076844,2003.25,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,536200,COMPUTER SOFTWARE,5109042080,2995.75,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,536200,COMPUTER SOFTWARE,5109076844,3422.50,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10024290,MIDLANDHR,542100,IT CONSULTANCY,5109111912,22783.00,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10000513,MONO EUROPE LTD,530000,FURNITURE & EQUIPMENT,5109110319,712.45,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10014997,MOORE STEPHENS LLP,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109100949,40415.00,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10000725,MOTT MACDONALD LIMITED,542051,CONSULTANCY-COMMISSIONED REPORT,5109115323,43562.50,2017-07-19,Corporate Management,Corporate and democratic core,Corporate and democratic core
10026529,NATIONAL AUDIT OFFICE,502010,SECONDED STAFF,5109082238,6138.13,2017-06-27,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
12002637,NCC GROUP SECURITY SERVICES LTD,536000,MANAGE IT SERVICES,5109069470,7960.00,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
12002637,NCC GROUP SECURITY SERVICES LTD,536000,MANAGE IT SERVICES,5109093607,2106.33,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
12002637,NCC GROUP SECURITY SERVICES LTD,536000,MANAGE IT SERVICES,5109069470,9950.00,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040445,450000.00,2017-07-11,Housing,Capital,Y_CAPITAL
10026967,NEWS UK & IRELAND LTD,504200,STAFF TRAINING,5109063502,1500.00,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
10023318,NICK TURPIN PHOTOGRAPHY,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5109108903,1200.00,2017-07-13,Communities and Intelligence,Cultural & related services,Cultural & related services
10003277,NLA MEDIA ACCESS LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109110332,55249.28,2017-07-13,External Affairs,Corporate and democratic core,Corporate and democratic core
10027844,NWES,542355,OTHER PROFESSIONAL FEES,5109087802,60750.00,2017-07-07,"Development, Enterprise & Environment",Economic Development,Planning services
10000545,O2 UK LIMITED,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5109108707,562,2017-07-11,Housing,Housing services,Housing services
10000545,O2 UK LIMITED,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5109105070,348.98,2017-07-05,"Development, Enterprise & Environment",Economic Development,Planning services
10000545,O2 UK LIMITED,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5109087900,562,2017-06-28,Corporate Management,Corporate and democratic core,Corporate and democratic core
10000545,O2 UK LIMITED,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5109087897,659,2017-06-29,External Affairs,Support Costs,Z_SUPPORT COSTS
10000545,O2 UK LIMITED,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5109087898,1124.00,2017-07-11,Housing,Housing services,Housing services
10000545,O2 UK LIMITED,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",1900040371,3906.72,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10017245,OCS CATERING,531030,REFRESHMENTS/MEALS AT MEETINGS,5109082168,474.65,2017-06-27,Communities and Intelligence,Community Development,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5109087823,1427.50,2017-07-05,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5109096415,2045.10,2017-07-17,Communities and Intelligence,Childrens and education services,Childrens and education services
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5109083239,4465.64,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5109088645,479.2,2017-07-06,Resources,Support Costs,Z_SUPPORT COSTS
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5109083507,479.2,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
13002884,ONSITE TECHNOLOGIES LTD,536300,COMPUTER HARDWARE,5109116299,7830.00,2017-07-20,Resources,Support Costs,Z_SUPPORT COSTS
13002884,ONSITE TECHNOLOGIES LTD,536300,COMPUTER HARDWARE,5109116299,8000.00,2017-07-20,Resources,Support Costs,Z_SUPPORT COSTS
10027654,OUTSET CONTEMPORARY ART FUND,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109092595,10000.00,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
15050001,PAN INTERCULTURAL ARTS,542355,OTHER PROFESSIONAL FEES,1900040430,700,2017-07-17,Communities and Intelligence,Cultural & related services,Cultural & related services
10027974,PATRIDGE EVENTS LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109106719,6710.00,2017-07-13,External Affairs,Cultural & related services,Cultural & related services
10027131,PAYMENT CARD SOLUTIONS (UK) LTD,542355,OTHER PROFESSIONAL FEES,5109091983,2520.00,2017-07-12,Communities and Intelligence,Community Development,Planning services
10027131,PAYMENT CARD SOLUTIONS (UK) LTD,542355,OTHER PROFESSIONAL FEES,5109092001,10000.00,2017-07-12,Communities and Intelligence,Community Development,Planning services
10027443,PERSONAL CAREER MANAGEMENT LTD,504200,STAFF TRAINING,5109085907,1896.00,2017-07-03,Resources,Support Costs,Z_SUPPORT COSTS
10019522,PINNACLE HOUSING LTD,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5109110341,375,2017-07-20,Resources,Support Costs,Z_SUPPORT COSTS
10017057,PIVOTAL SOLUTIONS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109108710,4500.00,2017-07-11,"Development, Enterprise & Environment",Development Control,Planning services
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109106465,764.78,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109058945,621.05,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109110612,518.97,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109058946,488.9,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109058944,464.31,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109110450,776,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109110786,2480.37,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109110607,2674.86,2017-07-14,External Affairs,Corporate and democratic core,Corporate and democratic core
10026178,PREDERI LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109116426,650,2017-07-20,"Development, Enterprise & Environment",Economic Development,Planning services
10025456,PRENAX LTD,533100,PUBLICATIONS & PERIODICALS,5109112200,262.32,2017-07-14,Corporate Management,Corporate and democratic core,Corporate and democratic core
10007004,PRICEWATERHOUSECOOPERS LLP,542002,CONSULTANCY-PROJECT MANAGEMENT,5109097786,26774.00,2017-06-26,Communities and Intelligence,Childrens and education services,Childrens and education services
10017264,PRINTMAX,533010,STATIONERY,5109099716,584.27,2017-07-12,Communities and Intelligence,Cultural & related services,Cultural & related services
10024862,PROMUS SERVICES LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109112575,10500.00,2017-07-17,Communities and Intelligence,Childrens and education services,Childrens and education services
10013716,PURE,540018,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,5109097090,624,2017-07-05,External Affairs,Support Costs,Z_SUPPORT COSTS
10013716,PURE,540018,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,5109108466,2800.00,2017-07-11,External Affairs,Support Costs,Z_SUPPORT COSTS
10010496,QUAY OFFICE FURNISHERS LTD,533010,STATIONERY,5109096455,754.8,2017-06-29,Communities and Intelligence,Community Development,Planning services
10007096,R B KINGSTON UPON THAMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109086464,50000.00,2017-07-07,"Development, Enterprise & Environment",Economic Development,Planning services
10015426,RACKSPACE LTD,540026,DATA HOSTING EMAIL DESIGN AND TRANSMISSION INC SMS,5109098309,333,2017-07-03,Housing,Housing services,Housing services
10021208,RAPLEYS LLP,531010,CATERERS SERVICE CHARGES,5109105339,520,2017-07-05,Housing,Housing services,Housing services
10023679,REDCENTRIC SOLUTIONS LTD,536300,COMPUTER HARDWARE,5109100519,886.8,2017-07-13,Resources,Capital,Y_CAPITAL
10015889,REWARD GATEWAY (UK) LTD,504702,CHILDCARE VOUCHERS,5109110800,729,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10015889,REWARD GATEWAY (UK) LTD,504702,CHILDCARE VOUCHERS,5109110798,486,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10015889,REWARD GATEWAY (UK) LTD,504702,CHILDCARE VOUCHERS,5109110796,1512.00,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10015889,REWARD GATEWAY (UK) LTD,504702,CHILDCARE VOUCHERS,5109116304,16835.08,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10015889,REWARD GATEWAY (UK) LTD,504702,CHILDCARE VOUCHERS,5109102958,17423.72,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
10020702,ROCKET SCIENCE UK LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109107406,9583.33,2017-07-10,Communities and Intelligence,Cultural & related services,Cultural & related services
10020702,ROCKET SCIENCE UK LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109097428,9646.00,2017-07-06,Communities and Intelligence,Cultural & related services,Cultural & related services
10020702,ROCKET SCIENCE UK LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109110310,92258.58,2017-07-12,Communities and Intelligence,Cultural & related services,Cultural & related services
10020702,ROCKET SCIENCE UK LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109108709,125132.77,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
10027189,ROSE GROGAN,542300,LEGAL FEES,5109101002,840,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
15500151,ROYAL BOROUGH OF KENSINGTON&CHELSEA,502010,SECONDED STAFF,5109110300,47969.25,2017-07-11,"Development, Enterprise & Environment",Economic Development,Planning services
10027997,SAVERAH EVENT,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109111585,400,2017-07-20,"Development, Enterprise & Environment",Economic Development,Planning services
13001309,SENATOR INTERNATIONAL LTD,530000,FURNITURE & EQUIPMENT,5109090716,7722.00,2017-07-05,Resources,Capital,Y_CAPITAL
13001309,SENATOR INTERNATIONAL LTD,530000,FURNITURE & EQUIPMENT,5109095104,12540.00,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10017322,SERVOCA SECURE SOLUTIONS,510025,SECURITY SERVICES (GUARDS),5109112622,14417.87,2017-07-17,Resources,Support Costs,Z_SUPPORT COSTS
16001150,SHORTHAND (UK),533100,PUBLICATIONS & PERIODICALS,5109099733,9985.60,2017-06-30,External Affairs,Support Costs,Z_SUPPORT COSTS
10023080,SIRIUS CORPORATION LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109105196,9500.00,2017-07-12,Housing,Housing services,Housing services
10025699,SITE-EYE TIME-LAPSE FILMS,540100,PHOTOGRAPHY & VIDEO,5109105221,600,2017-07-07,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10025265,SOLOMAN EXECUTIVE LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109106710,295.56,2017-07-11,"Development, Enterprise & Environment",Economic Development,Planning services
10025265,SOLOMAN EXECUTIVE LTD,542355,OTHER PROFESSIONAL FEES,5109093622,10403.00,2017-06-29,"Development, Enterprise & Environment",Economic Development,Planning services
10025265,SOLOMAN EXECUTIVE LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109106710,18522.40,2017-07-11,"Development, Enterprise & Environment",Economic Development,Planning services
10020041,SOUTH LONDON GALLERY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109086083,170000.00,2017-06-27,"Development, Enterprise & Environment",Capital,Y_CAPITAL
18000062,SOUTHERN HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040406,630000.00,2017-07-04,Housing,Capital,Y_CAPITAL
10021772,SQW CONSULTING,542355,OTHER PROFESSIONAL FEES,5109110308,720,2017-07-13,"Development, Enterprise & Environment",Economic Development,Planning services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109110759,52498.00,2017-07-19,Housing,Housing services,Housing services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109110723,53623.25,2017-07-19,Housing,Housing services,Housing services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109110724,134866.35,2017-07-21,Housing,Housing services,Housing services
10024427,STEPHEN TROMANS,542300,LEGAL FEES,5109115214,9360.00,2017-07-21,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10016590,SUPPLIES TEAM LTD,536300,COMPUTER HARDWARE,5109085346,284.3,2017-07-03,Resources,Support Costs,Z_SUPPORT COSTS
10016590,SUPPLIES TEAM LTD,536300,COMPUTER HARDWARE,5109083474,284.3,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10016590,SUPPLIES TEAM LTD,536300,COMPUTER HARDWARE,5109081504,328.74,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
10016590,SUPPLIES TEAM LTD,536300,COMPUTER HARDWARE,5109087720,516.14,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
10024380,TATTERSALL TRAINING,504200,STAFF TRAINING,5109097427,449,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10024380,TATTERSALL TRAINING,504200,STAFF TRAINING,5109098474,641.95,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
10001983,TEMPLE GROUP LTD,542001,CONSULTANCY  EVALUATION ASSESSMENT,5109096998,9951.50,2017-07-07,Corporate Management,Corporate and democratic core,Corporate and democratic core
10002586,TENSATOR LTD,530000,FURNITURE & EQUIPMENT,5109107386,451.54,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
10018859,TEST PARTNERS LTD,536000,MANAGE IT SERVICES,5109110326,4110.00,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10018859,TEST PARTNERS LTD,536000,MANAGE IT SERVICES,5109110330,1695.00,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10018859,TEST PARTNERS LTD,542100,IT CONSULTANCY,5109103110,1950.00,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
10018859,TEST PARTNERS LTD,536000,MANAGE IT SERVICES,5109110326,9000.00,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
10017108,THAMES FESTIVAL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109095108,10000.00,2017-07-12,External Affairs,Cultural & related services,Cultural & related services
10001445,THE BRITISH LIBRARY,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109108704,3000.00,2017-07-11,"Development, Enterprise & Environment",Economic Development,Planning services
10027663,THE BUSINESS OF CITIES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109105354,2500.00,2017-07-05,Communities and Intelligence,Economic Development,Planning services
10027454,THE CARLSBERG TETLEY PROJECT LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109106622,42145.00,2017-07-12,"Development, Enterprise & Environment",Capital,Y_CAPITAL
10027945,THE HOUSING FORUM LTD,533100,PUBLICATIONS & PERIODICALS,5109110624,10950.00,2017-07-12,Housing,Housing services,Housing services
10027817,THE ITAD WORKS LTD,536000,MANAGE IT SERVICES,5109096672,1562.50,2017-07-07,Resources,Support Costs,Z_SUPPORT COSTS
10027623,THE MAYORS FUND FOR LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109110738,3210.00,2017-07-12,Communities and Intelligence,Community Development,Planning services
10027603,THE MCPIN FOUNDATION,542002,CONSULTANCY-PROJECT MANAGEMENT,5109099834,2000.00,2017-06-28,Communities and Intelligence,Public Health,Public Health
10000428,THE PRESS ASSOCIATION LTD,540030,PR COST PRODUCT COST & PR FEES,5109086644,816.57,2017-06-28,External Affairs,Corporate and democratic core,Corporate and democratic core
10007452,TIMOTHY STRAKER QC,542300,LEGAL FEES,5109110609,3000.00,2017-07-12,Assembly & Secretariat,Central services,Central services
10027904,TISSKI LTD,542100,IT CONSULTANCY,5109097541,335.6,2017-07-12,Corporate Management,Corporate and democratic core,Corporate and democratic core
10027904,TISSKI LTD,520410,BUSINESS FARES,5109100528,540,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
10027904,TISSKI LTD,542100,IT CONSULTANCY,5109100529,650,2017-07-19,Corporate Management,Corporate and democratic core,Corporate and democratic core
