,,Community Services,DLO Services,ILC LEASING LTD,"13,369.69",EQUIPMENT
,,Community Services,DLO Services,ILC LEASING LTD,"17,495.78",EQUIPMENT
,,Community Services,DLO Services,INTERACTIVE PROJECTS & DESIGN LTD,"2,164.02",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,INTERACTIVE PROJECTS & DESIGN LTD,"6,177.76",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,INTERACTIVE PROJECTS & DESIGN LTD,"6,183.27",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,JCB FINANCE (LEASING LTD),"22,245.34",EQUIPMENT
,,Community Services,DLO Services,JCB FINANCE (LEASING LTD),"22,245.34",EQUIPMENT
,,Community Services,DLO Services,JOHN DENHAM ASSOCIATES LTD,"2,683.35",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,K C PLANT HIRE,595.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,K C PLANT HIRE,595.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,K C PLANT HIRE,595.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,K C PLANT HIRE,595.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,LIDDLE DOORS LTD,"2,646.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,LLOYD WORRALL LTD,715.10,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,"4,812.53",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,"1,986.36",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,"1,002.65",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,977.59,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,M & J HORTICULTURE,"27,258.50",Greenhouses
,,Community Services,DLO Services,M H LAVERICK & PARTNERS,565.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,MASTER BLASTER SPECIALIST CLEANING,"1,481.73",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,MECHPLANT NORTH EAST LTD,528.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,"4,120.46",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,"1,358.50",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,"3,918.48",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"1,573.44",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"1,788.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,782.88,MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"1,055.78",MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,800.00,STORES MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,610.56,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"1,082.88",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"2,759.99",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,573.06,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,741.75,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"2,155.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,693.36,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"1,197.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,"1,862.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,NAL LTD,"2,244.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,NAL LTD,788.88,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,NES SERVICES LTD,"4,749.12",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,NES SERVICES LTD,"5,583.67",SECURITY SERVICES
,,Community Services,DLO Services,NES SERVICES LTD,"5,936.40",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,NES SERVICES LTD,"5,766.17",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,NES SERVICES LTD,995.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,NORTHUMBRIAN WATER,"8,151.33",WATER CHARGES
,,Community Services,DLO Services,NWS WINDOWS LIMITED,"1,030.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,PETERLEE FIRE COMPANY LTD,536.42,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,POLAR WINDOWS N E,"3,803.77",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,POLAR WINDOWS N E,"8,773.61",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,PTS - PLUMBING TRADE SUPPLIES,615.10,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,QUARTZ ELECTRICAL & MECHANICAL SERVICES,"1,624.27",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,R MANNERS & SONS LTD,589.17,CATERING PROVISIONS
,,Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,524.03,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,524.03,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,524.03,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,506.00,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,813.75,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,523.44,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,694.07,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,523.44,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,545.26,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,"1,547.39",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,"1,498.60",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,588.87,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,686.35,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,415.62",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,841.72,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,504.24,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,564.34,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,128.67",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,547.23,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,905.06,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,527.17,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,128.67",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,676.14,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,518.81,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,848.04,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,DLO Services,RMS RECRUITMENT,848.04,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,707.81,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,707.81,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,848.04,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,564.34,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,272.15",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,415.62",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,676.14,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"2,123.43",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,686.35,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,679.06,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,567.58,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,135.16",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,415.62",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,661.19,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,567.58,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,686.35,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,"1,135.16",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,RMS RECRUITMENT,707.81,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ROOFCLAD SYSTEMS,546.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,S & I STRUCTURES,526.73,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SEYMOUR (CIVIL ENGINEERING CONTRACTORS),"2,817.21",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SIBCAS LTD,650.00,Haulage & Plant
,,Community Services,DLO Services,SKIPBRIDGE SIGNS & GRAPHICS,911.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SMITH OF DERBY LTD,512.85,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SOCIETE GENERALE,"18,591.22",EQUIPMENT
,,Community Services,DLO Services,SOCIETE GENERALE,"12,675.79",EQUIPMENT
,,Community Services,DLO Services,SOCIETE GENERALE,"40,424.39",EQUIPMENT
,,Community Services,DLO Services,STONE TECHNICAL SERVICES,"1,188.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,STONE TECHNICAL SERVICES,"1,840.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,STONE TECHNICAL SERVICES,860.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,706.42,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,631.37,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,772.13,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,"4,357.20",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,971.99,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,"3,033.26",MATERIALS
,,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,"1,157.44",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STORMKING PLASTICS,"1,746.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,STORMKING PLASTICS,"2,037.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,SUN CIVILS,521.28,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,653.52,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,"1,795.52",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,637.12,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,531.12,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,978.87,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,637.12,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,"1,274.24",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,701.28,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,531.12,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,531.12,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,663.90,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,701.28,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,"1,877.82",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,SUN CIVILS,"2,006.69",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TABNER PLASTERERS LTD,"3,408.14",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TABNER PLASTERERS LTD,"5,942.50",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TC CONSULTING (KILLINGHALL) LTD,850.00,EQUIPMENT
,,Community Services,DLO Services,TC CONSULTING (KILLINGHALL) LTD,575.00,EQUIPMENT
,,Community Services,DLO Services,TEAMS ROOFING LIMITED,"2,491.04",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,592.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,"1,036.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,555.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,840.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,"1,380.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),741.60,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),574.74,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),513.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,588.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,588.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,"2,058.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,"3,234.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,882.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,"3,087.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,UPNORTH COOLING,589.89,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WARMSEAL,"6,815.60",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WATCO UK LTD,"1,074.60",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),"2,516.83",Bar Provisions
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,570.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,"2,989.80",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,"1,282.20",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,770.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,522.84,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,518.09,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,613.03,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,855.56,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,WIREGATE LTD T/A ATF SUPPLIES,"1,818.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,532.80,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,"1,280.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,WRIGHT'S OFFICE SUPPLIES,531.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,XMBRACE LTD,"6,245.00",ICT HARDWARE SUPPORT & MAINTENANCE
,,Community Services,Engineering & Highways,CAPITA BUSINESS SRV LTD (DARLINGTON),648.96,Routine Maintenance
,,Community Services,Engineering & Highways,CITY OF NEWCASTLE UPON TYNE,514.79,Traffic Management
,,Community Services,Engineering & Highways,CITY OF NEWCASTLE UPON TYNE,735.00,Traffic Management
,,Community Services,Engineering & Highways,CUNDALL JOHNSTON & PARTNERS LLP,"2,139.00",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Engineering & Highways,KBC LEASE,811.15,EQUIPMENT
,,Community Services,Engineering & Highways,LIBERTY SERVICES,817.00,"OFFICE STATIONERY, EQUIPMENT & SUPPLIES"
,,Community Services,Engineering & Highways,LIBERTY SERVICES,"1,733.00","OFFICE STATIONERY, EQUIPMENT & SUPPLIES"
,,Community Services,Engineering & Highways,NEDL,"1,216.53",Routine Maintenance
,,Community Services,Engineering & Highways,NEDL,811.02,Traffic Management
,,Community Services,Engineering & Highways,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,526.87,MARKETING & ADVERTISING
,,Community Services,Engineering & Highways,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,526.87,MARKETING & ADVERTISING
,,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,"43,327.13",ELECTRICITY
,,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,514.58,ELECTRICITY
,,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,"5,683.00",ELECTRICITY
,,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,975.75,ELECTRICITY
,,Community Services,Engineering & Highways,NPOWER NORTHERN LTD,"85,213.97",ELECTRICITY
,,Community Services,Engineering & Highways,SANDWELL MBC,680.00,BOOKS
,,Community Services,Engineering & Highways,WYG ENGINEERING LTD,"6,900.00",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Environmental Services,1AB TAXIS LTD,638.00,CONTRACT HIRE
,,Community Services,Environmental Services,1AB TAXIS LTD,508.00,CONTRACT HIRE
,,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),606.00,CONTRACT HIRE
,,Community Services,Environmental Services,A1 TRAINING & SAFETY,"1,500.00",RECRUITMENT ADVERTISING
,,Community Services,Environmental Services,ADIE MCMAIN,960.96,CONTRACT HIRE
,,Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,702.78,CONTRACT HIRE
,,Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,702.78,CONTRACT HIRE
,,Community Services,Environmental Services,BILLINGHURST GEORGE & PARTNERS,875.00,Projects
,,Community Services,Environmental Services,CARRS BILLINGTON AGRICULTURE,950.00,EQUIPMENT
,,Community Services,Environmental Services,CHATFIELDS TYNE TEES,544.86,MATERIALS
,,Community Services,Environmental Services,CHATFIELDS TYNE TEES,525.00,MATERIALS
,,Community Services,Environmental Services,CHATFIELDS TYNE TEES,625.00,MATERIALS
,,Community Services,Environmental Services,CHATFIELDS TYNE TEES,625.00,MATERIALS
,,Community Services,Environmental Services,CHATFIELDS TYNE TEES,525.00,MATERIALS
,,Community Services,Environmental Services,CLEVELAND POTASH LTD,"2,286.00",MATERIALS
,,Community Services,Environmental Services,CLEVELAND POTASH LTD,584.00,MATERIALS
,,Community Services,Environmental Services,CLEVELAND POTASH LTD,"2,741.60",MATERIALS
,,Community Services,Environmental Services,CLEVELAND POTASH LTD,"1,701.48",MATERIALS
,,Community Services,Environmental Services,CLEVELAND POTASH LTD,"1,055.56",MATERIALS
,,Community Services,Environmental Services,CLEVELAND POTASH LTD,917.76,MATERIALS
,,Community Services,Environmental Services,COMPASS ROYSTON TRAVEL LTD,"1,937.00",CONTRACT HIRE
,,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,"2,398.50",CONTRACT HIRE
,,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,"3,120.00",CONTRACT HIRE
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,155.83",Vehicle Hire
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,715.00",Vehicle Hire
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,715.00",Vehicle Hire
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,715.00",Vehicle Hire
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,715.00",Vehicle Hire
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,715.00",Vehicle Hire
,,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,"1,715.00",Vehicle Hire
,,Community Services,Environmental Services,DEERNESS KENNELS,633.60,COMMISSIONS & OTHER SERVICES
,,Community Services,Environmental Services,DENNIS EAGLE LTD,"1,663.22",MATERIALS
,,Community Services,Environmental Services,DENNIS EAGLE LTD,730.49,MATERIALS
,,Community Services,Environmental Services,DENNIS EAGLE LTD,"1,663.22",MATERIALS
,,Community Services,Environmental Services,DURHAM POLICE AUTHORITY,"1,510.00",Projects
,,Community Services,Environmental Services,DVLA (reg of number plates supps),840.00,LICENCES
,,Community Services,Environmental Services,EAGLE WELDING & ENGINEERING SUPPLIES LTD,729.70,OTHER CONSUMABLES
,,Community Services,Environmental Services,ECON ENGINEERING LTD,"1,171.40",MATERIALS
,,Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,560.00,Vehicle Hire
,,Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,600.78,Vehicle Hire
,,Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,756.00,Vehicle Hire
,,Community Services,Environmental Services,ENTERPRISE TRAVEL,781.66,CONTRACT HIRE
,,Community Services,Environmental Services,GARNETTS LTD,"6,273.02",CONTRACT HIRE
,,Community Services,Environmental Services,GARNETTS LTD,"4,316.64",CONTRACT HIRE
,,Community Services,Environmental Services,GARNETTS LTD,"6,434.48",CONTRACT HIRE
,,Community Services,Environmental Services,GRIERSONS COACHES,901.00,CONTRACT HIRE
,,Community Services,Environmental Services,GRIERSONS COACHES,"1,188.00",CONTRACT HIRE
,,Community Services,Environmental Services,GROUNDWORK NORTH EAST,"1,388.00",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Environmental Services,HARDEN PUMPS & TANKS LTD,540.00,VEHICLE FUEL
,,Community Services,Environmental Services,HUMBLES COACHES,883.80,CONTRACT HIRE
,,Community Services,Environmental Services,HUMBLES COACHES,960.90,CONTRACT HIRE
,,Community Services,Environmental Services,J & C COACHES LTD,600.60,CONTRACT HIRE
,,Community Services,Environmental Services,J & C COACHES LTD,"3,502.20",CONTRACT HIRE
,,Community Services,Environmental Services,J & C COACHES LTD,"1,200.00",CONTRACT HIRE
,,Community Services,Environmental Services,J & C COACHES LTD,"1,902.00",CONTRACT HIRE
,,Community Services,Environmental Services,J & C COACHES LTD,"3,271.55",CONTRACT HIRE
,,Community Services,Environmental Services,J & P TRAVEL,570.00,CONTRACT HIRE
,,Community Services,Environmental Services,J & P TRAVEL,620.00,CONTRACT HIRE
,,Community Services,Environmental Services,J & P TRAVEL,580.00,CONTRACT HIRE
,,Community Services,Environmental Services,J & P TRAVEL,780.00,CONTRACT HIRE
,,Community Services,Environmental Services,JOHN MEYNELL FUNERAL SERVICE,570.50,Contract Funerals
,,Community Services,Environmental Services,JOHN MEYNELL FUNERAL SERVICE,570.50,Contract Funerals
,,Community Services,Environmental Services,LAVENDON ACCESS SERVICES (UK) LIMITED,"1,380.00",Vehicle Hire
,,Community Services,Environmental Services,LOMBARD BUSINESS FINANCE,"4,727.19",Haulage & Plant
,,Community Services,Environmental Services,MANPOWER UK LTD,502.80,AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Environmental Services,NEIL RENNARD,"2,000.00",TRAINING
,,Community Services,Environmental Services,NORTH EAST TRUCK & VAN LTD,"1,031.96",OTHER CONSUMABLES
,,Community Services,Environmental Services,NORTHERN MUNICIPAL SPARES (parts supply),"1,182.24",OTHER CONSUMABLES
,,Community Services,Environmental Services,NORTHUMBRIAN WATER,"1,627.10",WATER CHARGES
,,Community Services,Environmental Services,NORTHUMBRIAN WATER,879.29,WATER CHARGES
,,Community Services,Environmental Services,OVERLANDER MINI COACHES,834.72,CONTRACT HIRE
,,Community Services,Environmental Services,OVERLANDER MINI COACHES,"1,357.00",CONTRACT HIRE
,,Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,"23,355.20",VEHICLE FUEL
,,Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,"2,585.70",VEHICLE FUEL
,,Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,"4,176.75",VEHICLE FUEL
,,Community Services,Environmental Services,POST OFFICE  LTD,"2,835.00",LICENCES
,,Community Services,Environmental Services,PROCTERS OF BEDALE,"1,288.30",CONTRACT HIRE
,,Community Services,Environmental Services,RMS RECRUITMENT,"3,178.60",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Environmental Services,RMS RECRUITMENT,"3,132.30",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Environmental Services,RMS RECRUITMENT,"3,471.08",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Environmental Services,S & R CARS LTD,"1,448.00",CONTRACT HIRE
,,Community Services,Environmental Services,S & R CARS LTD,"1,598.53",CONTRACT HIRE
,,Community Services,Environmental Services,SCANIA (GREAT BRITAIN) LIMITED,"1,031.96",OTHER CONSUMABLES
,,Community Services,Environmental Services,SCANIA (GREAT BRITAIN) LIMITED,965.96,MATERIALS
,,Community Services,Environmental Services,SCANIA (GREAT BRITAIN) LIMITED,965.96,MATERIALS
,,Community Services,Environmental Services,SCARLET BAND MOTORS SERVICES,"4,747.96",CONTRACT HIRE
,,Community Services,Environmental Services,STONEGRAVE AGGREGATES LTD,"264,526.42",Waste Management
,,Community Services,Environmental Services,T C HARRISON JCB,535.69,MATERIALS
