Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Community Services,Housing,RICHMOND FELLOWSHIP,9800.00,PRIVATE CONTRACTORS
Community Services,Housing,ROBINSONS INTERNATIONAL REMOVALS LIMITED,722.15,FURNITURE
Community Services,Housing,STONHAM HOUSING ASSOCIATION,7200.00,PRIVATE CONTRACTORS
Community Services,Housing,TAMESIDE M.B.C.,5177.75,SUBSCRIPTIONS
Community Services,Housing,TEES VALLEY HOUSING LTD,11238.84,PRIVATE CONTRACTORS
Community Services,Housing,THREE RIVERS HOUSING ASSOCIATIONS LTD,2307.68,PRIVATE CONTRACTORS
Community Services,Technical Services,HAYS SPECIALIST SERVICES,848.4,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,ACTION FOR CHILDREN,17109.39,EQUIPMENT
Children's Services,Children & Families,BARNARDO'S,3379.40,MATERIALS
Children's Services,Children & Families,BHP LAW,2545.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,CAR-ES (UK) LTD,2995.00,MATERIALS
Children's Services,Children & Families,CLERVAUX TRUST LTD,7750.00,MATERIALS
Children's Services,Children & Families,DARLINGTON FOOTBALL CLUB 2009 LIMITED,3498.13,MATERIALS
Children's Services,Children & Families,DONECERLE LIMITED,877.5,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,FLEET EDUCATION SERVICES LTD,966.42,MATERIALS
Children's Services,Children & Families,FOSTER CARE ASSOCIATES LTD,4173.00,MATERIALS
Children's Services,Children & Families,FOSTER CARE ASSOCIATES LTD,3690.00,MATERIALS
Children's Services,Children & Families,FOSTER CARES LTD,918,MATERIALS
Children's Services,Children & Families,FOSTER CARES LTD,918,MATERIALS
Children's Services,Children & Families,FOSTER CARES LTD,918,MATERIALS
Children's Services,Children & Families,FOSTER CARES LTD,918,MATERIALS
Children's Services,Children & Families,FOSTER CARES LTD,938.4,MATERIALS
Children's Services,Children & Families,FUTURES FOR CHILDREN LTD,3385.20,MATERIALS
Children's Services,Children & Families,HMCTS,1900.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,2225.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,2225.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,1900.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,2225.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,700,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,1900.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,2225.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,2225.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,HMCTS,2225.00,PROFESSIONAL FEES & CONSULTANCY
Children's Services,Children & Families,JAMES LECKEY DESIGN LTD,2258.00,EQUIPMENT
Children's Services,Children & Families,JENX LTD,1839.00,MATERIALS
Children's Services,Children & Families,JENX LTD,1867.00,EQUIPMENT
Children's Services,Children & Families,JENX LTD,1729.00,MATERIALS
Children's Services,Children & Families,PEARTREE PROJECTS LTD,12688.88,MATERIALS
Children's Services,Children & Families,RANDSTAD CARE LIMITED,1295.00,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,RANDSTAD CARE LIMITED,1295.00,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,RANDSTAD CARE LIMITED,1295.00,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,RANDSTAD CARE LIMITED,1295.00,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,3475.07,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,2730.00,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,3475.07,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,3033.33,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,2836.17,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,2909.83,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,3475.07,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,2578.33,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,2836.17,MATERIALS
Children's Services,Children & Families,REACH OUT CARE LIMITED NO 2 A/C,2730.00,MATERIALS
Children's Services,Children & Families,ROCSOLID,1083.33,MATERIALS
Children's Services,Children & Families,ST CUTHBERTS CARE,74100.00,MATERIALS
Children's Services,Children & Families,THE EDUCATIONAL GUIDANCE SERVICE LTD,2584.80,AGENCY STAFF COSTS - NON TEACHING
Children's Services,Children & Families,YOUNG FOUNDATION LTD,3107.14,MATERIALS
Children's Services,Children & Families,YOUNG FOUNDATION LTD,3235.71,MATERIALS
Children's Services,Children & Families,YOUNG FOUNDATION LTD,3642.86,MATERIALS
Children's Services,Children & Families,YOUNG FOUNDATION LTD,3107.14,MATERIALS
Children's Services,Children & Families,YOUNG FOUNDATION LTD,3642.86,MATERIALS
Children's Services,Children & Families,YOUNG FOUNDATION LTD,3107.14,MATERIALS
Children's Services,Partnerships,ADT FIRE & SECURITY PLC,630,BURGLAR ALARMS REPAIRS & MAINTENANCE
Children's Services,Partnerships,ASKEWS LIBRARY SERVICES,775,BOOKS
Children's Services,Partnerships,EVANS EASYSPACE LTD,2035.00,RENT OF FACILITIES
Children's Services,Partnerships,FOSTERS FORESTRY AND GARDENS,650,GROUND MAINTENANCE
Children's Services,Partnerships,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,536.55,EQUIPMENT
Children's Services,Partnerships,MIDDLESBROUGH BOROUGH COUNCIL,600,EMPLOYEE TRAINING COURSE COSTS
Children's Services,Partnerships,NORTHUMBRIAN WATER,2222.16,WATER CHARGES
Children's Services,Partnerships,PROCARE NORTH LTD T/A PROCARE CLEANING MANAGEMENT,523,BUILDING CLEANING
Children's Services,Partnerships,TECHNOLOGY RENTALS LTD,3927.70,ICT HARDWARE SUPPORT & MAINTENANCE
Children's Services,Partnerships,THE AWARD SCHEME LTD,730,MATERIALS
Children's Services,Partnerships,TYCO FIRE & INTEGRATED SOLUTIONS UK LTD,813,FIRE ALARMS / PANELS R&M
Children's Services,Partnerships,ULVERSCROFT LARGE PRINT BOOKS LTD,545.7,BOOKS
Children's Services,Partnerships,ULVERSCROFT LARGE PRINT BOOKS LTD,545.7,BOOKS
Children's Services,Partnerships,WHITTLE JONES GROUP,10755.00,RENT OF FACILITIES
Children's Services,Planning & Resources,CENTRE FOR EDUCATION MANAGEMENT LTD,4187.46,LICENCES
Children's Services,Planning & Resources,CENTRE FOR EDUCATION MANAGEMENT LTD,3862.28,LICENCES
Children's Services,Planning & Resources,COMMUNITY SPORT LTD,675,MARKETING & ADVERTISING
Children's Services,Planning & Resources,EARLY EXCELLENCE LTD,1610.00,EMPLOYEE TRAINING COURSE COSTS
Children's Services,Planning & Resources,ELIZABETH JARMAN TRAINING LTD,700,EMPLOYEE TRAINING COURSE COSTS
Children's Services,Planning & Resources,ELIZABETH JARMAN TRAINING LTD,510,EMPLOYEE TRAINING COURSE COSTS
Children's Services,Planning & Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,938.61,MARKETING & ADVERTISING
Children's Services,Planning & Resources,THE EDUCATIONAL RECORDING AGENCY LTD,5144.92,LICENCES
Children's Services,Planning & Resources,WM MORRISON (D'TON) ENTERPRISE TRUST,570.8,CHILDCARE COSTS
Children's Services,School Improvement,BOND TRAVEL,3220.00,PUPIL TRANSPORT COSTS
Children's Services,School Improvement,FOSTERS FORESTRY AND GARDENS,2000.00,GROUND MAINTENANCE
Children's Services,School Improvement,RM EDUCATION PLC,3725.11,ICT HARDWARE PURCHASE
Children's Services,School Improvement,RUSSELL TELECOM LTD,560,TELEPHONE COSTS
Children's Services,School Improvement,VIGLEN LTD,4955.00,ICT HARDWARE PURCHASE
Chief Executive's,ACE Regeneration,AGE CONCERN DARLINGTON,2930.50,GRANTS
Chief Executive's,ACE Regeneration,AGE CONCERN DARLINGTON,612.2,GRANTS
Chief Executive's,ACE Regeneration,AGE CONCERN DARLINGTON,3087.50,GRANTS
Chief Executive's,ACE Regeneration,AGE CONCERN DARLINGTON,2470.00,GRANTS
Chief Executive's,ACE Regeneration,ARRIVA NORTH EAST LIMITED,550,MATERIALS
Chief Executive's,ACE Regeneration,CIVICA,3371.38,ICT SOFTWARE SUPPORT & MAINTENANCE
Chief Executive's,ACE Regeneration,DARLINGTON ASSOCIATION ON DISABILITY LTD,1235.00,GRANTS
Chief Executive's,ACE Regeneration,DARLINGTON ASSOCIATION ON DISABILITY LTD,617.5,GRANTS
Chief Executive's,ACE Regeneration,DARLINGTON CREDIT UNION LIMITED,617.5,GRANTS
Chief Executive's,ACE Regeneration,EVOLUTION,1235.00,GRANTS
Chief Executive's,ACE Regeneration,F G M DECORATORS,1250.00,Other Supplies & Services
Chief Executive's,ACE Regeneration,FUJITSU SERVICES LTD,65498.40,PROFESSIONAL FEES & CONSULTANCY
Chief Executive's,ACE Regeneration,JOHN HUNTER,4250.00,PROFESSIONAL FEES & CONSULTANCY
Chief Executive's,ACE Regeneration,KOMODO DESIGN LTD,700,MARKETING & ADVERTISING
Chief Executive's,ACE Regeneration,MARTIN TONKS,4833.14,PROFESSIONAL FEES & CONSULTANCY
Chief Executive's,ACE Regeneration,NORDIC PIONEERING LIMITED,1752.50,GRANTS
Chief Executive's,ACE Regeneration,SOUTHDALE LIMITED,1235.00,GRANTS
Chief Executive's,ACE Regeneration,TEDCO LIMITED,2250.00,MARKETING & ADVERTISING
Chief Executive's,ACE Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,1000.00,PROFESSIONAL FEES & CONSULTANCY
Chief Executive's,ACE Regeneration,YMCA DARLINGTON,3705.00,GRANTS
Chief Executive's,Chief Executive,CAREWORKS LTD,5000.00,ICT HARDWARE PURCHASE
Chief Executive's,Chief Executive,CAREWORKS LTD,6950.00,ICT HARDWARE PURCHASE
Chief Executive's,Chief Executive,DARLINGTON ASSOCIATION ON DISABILITY LTD,2600.00,CONFERENCES & SEMINARS
Chief Executive's,Chief Executive,EVOLUTION,16050.00,HOSPITALITY & ROOM HIRE
Chief Executive's,Chief Executive,FOUR SEASONS HEALTHCARE-HUUNTERCOMBE CENTRE SUNDERLAND,1189.37,Residential
Chief Executive's,Chief Executive,NORTHGATE VEHICLE HIRE (NORTH EAST) LIMITED,795.57,Projects
Chief Executive's,Chief Executive,QUOIN,2000.00,MARKETING & ADVERTISING
Chief Executive's,Chief Executive,RSA,2958.90,CONFERENCES & SEMINARS
Chief Executive's,Chief Executive,"TEES,ESK & WEAR VALLEYS NHS TRUST",11418.48,Contributions/Donations
Chief Executive's,Chief Executive,"TEES,ESK & WEAR VALLEYS NHS TRUST",10598.00,Contributions/Donations
Housing Revenue Account,HRA,ALAN AYERS & CO,995.7,RENT OF FACILITIES
Housing Revenue Account,HRA,ELENI UK UTILITY SOLUTIONS LTD,572.75,Responsive-Vandalism
Housing Revenue Account,HRA,GOLDSHIELD ELECTRONIC SECURITY LTD,1810.26,Responsive - Electrical (SLA)
Housing Revenue Account,HRA,GROUNDWORK NORTH EAST,7743.25,HORTICULTURE SUPPLIES
Housing Revenue Account,HRA,HQN LIMITED,820,SUBSCRIPTIONS
Housing Revenue Account,HRA,JONTEK LTD,7675.00,EQUIPMENT
Housing Revenue Account,HRA,M2 DIGITAL LTD,574.86,FIXTURES AND FITTINGS
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.4,FURNITURE
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.4,FURNITURE
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,2402.36,FURNITURE
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.4,FURNITURE
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.4,FURNITURE
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.4,FURNITURE
Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.4,FURNITURE
Housing Revenue Account,HRA,MANGAR INTERNATIONAL LIMITED,1038.21,EQUIPMENT
Housing Revenue Account,HRA,MANGAR INTERNATIONAL LIMITED,1038.21,EQUIPMENT
Housing Revenue Account,HRA,MORGAN HUNT UK LIMITED,537.6,AGENCY STAFF COSTS - NON TEACHING
Housing Revenue Account,HRA,MORGAN HUNT UK LIMITED,604.8,AGENCY STAFF COSTS - NON TEACHING
Housing Revenue Account,HRA,SITEXORBIS LTD,2079.46,Responsive-Empty Hse Security
Housing Revenue Account,HRA,SITEXORBIS LTD,5337.56,Responsive-Empty Hse Security
Housing Revenue Account,HRA,TUNSTALL HEALTHCARE (UK)  LIMITED,749.4,EQUIPMENT
Housing Revenue Account,HRA,TYNETEC LTD,6650.00,EQUIPMENT
Housing Revenue Account,HRA,VIGLEN LTD,875,ICT HARDWARE PURCHASE
Capital,Capital,ALBANY OFFICE FURNITURE SOLUTIONS,1622.00,FURNITURE EQUIPMENT
Capital,Capital,ALBANY OFFICE FURNITURE SOLUTIONS,976,FURNITURE EQUIPMENT
Capital,Capital,ALBANY OFFICE FURNITURE SOLUTIONS,1157.75,FURNITURE EQUIPMENT
Capital,Capital,ALBANY OFFICE FURNITURE SOLUTIONS,623,FURNITURE EQUIPMENT
Capital,Capital,ARGOS BUSINESS SOLUTIONS,718.2,CAPITAL GRANTS
Capital,Capital,CLEVELAND LAND SERVICES,731.25,OTHER CONTRACTOR PAYMENTS
Capital,Capital,CLEVELAND LAND SERVICES,11655.60,OTHER CONTRACTOR PAYMENTS
Capital,Capital,CLEVELAND LAND SERVICES,47891.13,OTHER CONTRACTOR PAYMENTS
Capital,Capital,CLEVELAND LAND SERVICES,21232.21,OTHER CONTRACTOR PAYMENTS
Capital,Capital,EVERSHEDS LLP,1890.00,LEGAL FEES
Capital,Capital,GROUNDWORK NORTH EAST,6021.50,PAYMENTS MAIN CONTRACTOR - NON DLO
Capital,Capital,OPTIMUM,660,FURNITURE EQUIPMENT
Capital,Capital,OPTIMUM,1150.52,FURNITURE EQUIPMENT
Capital,Capital,OPTIMUM,2255.48,FURNITURE EQUIPMENT
Capital,Capital,OPTIMUM,1062.18,FURNITURE EQUIPMENT
Capital,Capital,OPTIMUM,2999.91,FURNITURE EQUIPMENT
Capital,Capital,PORTAKABIN LTD,5026.67,OTHER CONTRACTOR PAYMENTS
Capital,Capital,SEYMOUR (CIVIL ENGINEERING CONTRACTORS),12817.06,DLO CONTRACTOR PAYMENTS
Capital,Capital,SEYMOUR (CIVIL ENGINEERING CONTRACTORS),5983.06,DLO CONTRACTOR PAYMENTS
Capital,Capital,SGC GROUP,14400.00,FURNITURE EQUIPMENT
Capital,Capital,SGC GROUP,2240.00,FURNITURE EQUIPMENT
Capital,Capital,SGC GROUP,4300.00,FURNITURE EQUIPMENT
Capital,Capital,SIBCAS LTD,676,OTHER INCIDENTAL CAPITAL COSTS
Capital,Capital,SPACEWORKS,1425.00,CONSULTANTS - OTHER
Capital,Capital,THE PLAY INSPECTION COMPANY,815,OTHER CONTRACTOR PAYMENTS
Capital,Capital,URS SCOTT WILSON LTD,6425.31,CONSULTANTS - OTHER
Capital,Capital,URS SCOTT WILSON LTD,840,CONSULTANTS - OTHER
