,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
,Children's Services,Children & Families,SANCTUARY PERSONNEL LTD,1139.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,SANCTUARY PERSONNEL LTD,1139.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,SOCIAL CARE ASSOCIATES LTD,560.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,ST CUTHBERTS CARE,73285.71,MATERIALS
,Children's Services,Children & Families,ST JOHN AMBULANCE,750.00,TRAINING
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,939.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,895.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,895.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,857.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,895.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,857.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,895.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,895.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,939.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,857.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,895.00,MATERIALS
,Children's Services,Children & Families,SWIIS FOSTER CARE LTD,1476.00,MATERIALS
,Children's Services,Children & Families,TEAM FOSTERING NORTH EAST,1141.70,EQUIPMENT
,Children's Services,Children & Families,TEES VALLEY YMCA LIMITED,68292.00,MATERIALS
,Children's Services,Children & Families,THE YOUTH JUSTICE BOARD,7264.23,MATERIALS
,Children's Services,Children & Families,THE YOUTH JUSTICE BOARD,6553.40,MATERIALS
,Children's Services,Children & Families,TURNAROUND HOMES,1771.45,MATERIALS
,Children's Services,Children & Families,WINGS EDUCATION LTD,15643.00,MATERIALS
,Children's Services,Children & Families,WINGS EDUCATION LTD,34310.00,MATERIALS
,Children's Services,Children & Families,WINGS EDUCATION LTD,34310.00,MATERIALS
,Children's Services,Children & Families,WITHERSLACK HALL SCHOOL LTD,26393.00,MATERIALS
,Children's Services,Children & Families,YOUNG FOUNDATION LTD,2307.14,MATERIALS
,Children's Services,Partnerships,AR ENTERTAINMENTS,875.00,MATERIALS
,Children's Services,Partnerships,AXIELL LIMITED,5187.01,ICT HARDWARE SUPPORT & MAINTENANCE
,Children's Services,Partnerships,BT TELEPHONE PAYMENT CENTRE,559.88,TELEPHONE COSTS
,Children's Services,Partnerships,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,3851.94,PCT Staffing
,Children's Services,Partnerships,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,4835.88,PCT Staffing
,Children's Services,Partnerships,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,2372.76,PCT Staffing
,Children's Services,Partnerships,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,2372.16,PCT Staffing
,Children's Services,Partnerships,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,10392.75,PCT Staffing
,Children's Services,Partnerships,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,10412.53,PCT Staffing
,Children's Services,Partnerships,EVANS EASYSPACE LTD,1995.08,RENT OF FACILITIES
,Children's Services,Partnerships,EVANS EASYSPACE LTD,1995.08,RENT OF FACILITIES
,Children's Services,Partnerships,HARTLEPOOL COLLEGE OF FURTHER EDUCATION,991.50,TRAINING
,Children's Services,Partnerships,INVESTEC ASSET FINANCE PLC,1378.00,MATERIALS
,Children's Services,Partnerships,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,540.58,PRINTING
,Children's Services,Partnerships,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,518.52,PHOTOCOPY CHARGES
,Children's Services,Partnerships,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,601.85,ICT CONSUMABLES
,Children's Services,Partnerships,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,739.95,EQUIPMENT
,Children's Services,Partnerships,NCMA SERVICES LTD,6242.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,Partnerships,OCLC UK LTD,2267.61,BOOKS
,Children's Services,Partnerships,OPEN COLLEGE NETWORK (NER),1092.00,TRAINING
,Children's Services,Partnerships,OPEN COLLEGE NETWORK (NER),720.00,EXAM FEES
,Children's Services,Partnerships,PROCARE CLEANING MANAGEMENT,523.00,STD CLEANING CONTRACT
,Children's Services,Partnerships,PROCARE CLEANING MANAGEMENT,523.00,STD CLEANING CONTRACT
,Children's Services,Partnerships,RED HALL COMMUNITY ASSOCIATION,1187.72,CONTRIBUTION TO VOLUNTARY FUND
,Children's Services,Partnerships,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,711.46,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Partnerships,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,711.46,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Partnerships,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,839.58,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Partnerships,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,839.58,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Partnerships,SKERNE PARK YOUTH & COMM ASSOCIATION,1187.72,CONTRIBUTION TO VOLUNTARY FUND
,Children's Services,Partnerships,UNIVERSITY OF WEST SCOTLAND,1665.00,TRAINING
,Children's Services,Planning & Resources,ACORN DAIRY,555.45,MILK - NURSERY EDUCATION
,Children's Services,Planning & Resources,ALREADY SORTED LTD,1347.00,CONFERENCES & SEMINARS
,Children's Services,Planning & Resources,BIG KIDS LITTLE KIDS DAY NURSERY,2724.61,MATERIALS
,Children's Services,Planning & Resources,BISHOPTON PRE-SCHOOL,5488.45,MATERIALS
,Children's Services,Planning & Resources,BRITISH AGENCY FOR ADOPTION & FOSTERING,1302.00,SUBSCRIPTIONS
,Children's Services,Planning & Resources,BT TELEPHONE PAYMENT CENTRE,994.00,MARKETING & ADVERTISING
,Children's Services,Planning & Resources,CHILDRENS SERVICES NETWORK,3630.00,SUBSCRIPTIONS
,Children's Services,Planning & Resources,ELIM PLAYGROUP,1142.69,MATERIALS
,Children's Services,Planning & Resources,FERNDENE LODGE NURSERY,12994.81,MATERIALS
,Children's Services,Planning & Resources,HIGH CONISCLIFFE PRE-SCHOOL,2622.46,MATERIALS
,Children's Services,Planning & Resources,HIGH GRANGE DAY NURSERY,4015.18,MATERIALS
,Children's Services,Planning & Resources,JUST LEARNING,10849.48,MATERIALS
,Children's Services,Planning & Resources,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,2437.50,PRINTING
,Children's Services,Planning & Resources,LITTLE ACORNS,8000.00,GRANTS
,Children's Services,Planning & Resources,LITTLE ACORNS,9356.65,MATERIALS
,Children's Services,Planning & Resources,LITTLE LINGFIELDS,3330.22,MATERIALS
,Children's Services,Planning & Resources,LITTLE PEOPLE MONTESSORI GROUP,2447.31,MATERIALS
,Children's Services,Planning & Resources,PLAY HUT DAY NURSERY & KIDS CLUB,5261.72,MATERIALS
,Children's Services,Planning & Resources,REDCAR & CLEVELAND BOROUGH COUNCIL,1218.40,MARKETING & ADVERTISING
,Children's Services,Planning & Resources,SKERNE PARK COMM ENTERPRISE ASSOC  LTD,9730.75,MATERIALS
,Children's Services,Planning & Resources,SUPPLIES TEAM,540.99,PRINTING
,Children's Services,Planning & Resources,SUPPLIES TEAM,1524.06,PRINTING
,Children's Services,Planning & Resources,TEACHERS PENSIONS,1395.90,PENSION INCREASE PAY
,Children's Services,Planning & Resources,THE SECRET GARDEN NURSERY,7640.64,MATERIALS
,Children's Services,Planning & Resources,THE SOCIAL RESOURCE CENTRE LIMITED,1696.81,CASUAL MILEAGE
,Children's Services,Planning & Resources,TINY TURNERS NURSERY,8758.33,MATERIALS
,Children's Services,School Improvement,A4E CONSULT LTD,5200.00,PLACEMENT FEES
,Children's Services,School Improvement,ANGELA SHAW,900.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,CITY OF NEWCASTLE UPON TYNE,4423.96,OTHER LOCAL AUTHORITIES
,Children's Services,School Improvement,CLERVAUX TRUST LTD,7367.50,COURSE PURCHASE
,Children's Services,School Improvement,DAVE ROGERSON,2650.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,IRENE BAKER CONSULTANCY,750.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,MRS HEATHER MARIE LONG,3600.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,MRS JM DADD,3000.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,NACRO,2500.00,PLACEMENT FEES
,Children's Services,School Improvement,OUTDOOR-AMBITION LTD,3943.80,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,RIGHT TRAX LTD,4800.00,COURSE PURCHASE
,Children's Services,School Improvement,THE LEARNING CHALLENGE,1500.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,School Improvement,WM MORRISON (D'TON) ENTERPRISE TRUST,516.40,HOSPITALITY & ROOM HIRE
,Chief Executive's,ACE Regeneration,AGE CONCERN DARLINGTON,1852.20,GRANTS
,Chief Executive's,ACE Regeneration,AGE CONCERN DARLINGTON,2470.00,GRANTS
,Chief Executive's,ACE Regeneration,ARRIVA DURHAM COUNTY LIMITED,446156.71,CONCESSIONARY FARES
,Chief Executive's,ACE Regeneration,ARRIVA DURHAM COUNTY LIMITED,660.00,MATERIALS
,Chief Executive's,ACE Regeneration,ARRIVA DURHAM COUNTY LIMITED,14765.88,MATERIALS
,Chief Executive's,ACE Regeneration,ARRIVA DURHAM COUNTY LIMITED,14765.88,MATERIALS
,Chief Executive's,ACE Regeneration,ARRIVA DURHAM COUNTY LIMITED,240002.06,CONCESSIONARY FARES
,Chief Executive's,ACE Regeneration,COCKERTON & BRANKSOME LIVING ENTERPRISE,617.50,GRANTS
,Chief Executive's,ACE Regeneration,COUNTING SOLUTIONS LTD,620.00,SUBSCRIPTIONS
,Chief Executive's,ACE Regeneration,DARLINGTON & DISTRICT YTH COMM ASS,3000.00,GRANTS
,Chief Executive's,ACE Regeneration,DARLINGTON ASSOCIATION ON DISABILITY LTD,617.50,GRANTS
,Chief Executive's,ACE Regeneration,DARLINGTON ASSOCIATION ON DISABILITY LTD,617.50,GRANTS
,Chief Executive's,ACE Regeneration,DARLINGTON CREDIT UNION LIMITED,1962.90,GRANTS
,Chief Executive's,ACE Regeneration,DARLINGTON CREDIT UNION LIMITED,1438.11,GRANTS
,Chief Executive's,ACE Regeneration,DARLINGTON MIND,14202.50,GRANTS
,Chief Executive's,ACE Regeneration,DARLINGTON TOWN CENTRE TRADERS ASSOCIATION,5000.00,MARKETING & ADVERTISING
,Chief Executive's,ACE Regeneration,ELECTRONIC SECURITY SOLUTIONS LTD,1177.00,MARKETING & ADVERTISING
,Chief Executive's,ACE Regeneration,EVOLUTION,1235.00,GRANTS
,Chief Executive's,ACE Regeneration,EVOLUTION,2470.00,GRANTS
,Chief Executive's,ACE Regeneration,F G M DECORATORS,3060.00,Other Supplies & Services
,Chief Executive's,ACE Regeneration,FRIENDS OF THE HILL,1000.00,GRANTS
,Chief Executive's,ACE Regeneration,KONICA EAST DIRECT LTD,878.49,PRINTING
,Chief Executive's,ACE Regeneration,NORDIC PIONEERING LIMITED,2470.00,GRANTS
,Chief Executive's,ACE Regeneration,NORTH YORK MOORS NATIONAL PARK AUTH,534.62,CONCESSIONARY FARES
,Chief Executive's,ACE Regeneration,SANDERSON WEATHERALL LLP,1500.00,PROFESSIONAL FEES & CONSULTANCY
,Chief Executive's,ACE Regeneration,SCARLET BAND MOTORS SERVICES,11925.44,CONCESSIONARY FARES
,Chief Executive's,ACE Regeneration,SCARLET BAND MOTORS SERVICES,13674.52,MATERIALS
,Chief Executive's,ACE Regeneration,SCHOOL OF ROCK & POP,617.50,GRANTS
,Chief Executive's,ACE Regeneration,TEES VALLEY YMCA LIMITED,3750.00,GRANTS
,Chief Executive's,ACE Regeneration,TEES VALLEY YMCA LIMITED,3522.75,GRANTS
,Chief Executive's,ACE Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,617.50,GRANTS
,Chief Executive's,ACE Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,1778.00,PROFESSIONAL FEES & CONSULTANCY
,Chief Executive's,ACE Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,1000.00,PROFESSIONAL FEES & CONSULTANCY
,Chief Executive's,Chief Executive,ACORN WEB OFFSET LTD,6035.33,MARKETING & ADVERTISING
,Chief Executive's,Chief Executive,ACORN WEB OFFSET LTD,6035.34,MARKETING & ADVERTISING
,Chief Executive's,Chief Executive,CAR-ES (UK) LTD,2566.31,Projects
,Chief Executive's,Chief Executive,CAR-ES (UK) LTD,536.64,Projects
,Chief Executive's,Chief Executive,CAR-ES (UK) LTD,3201.95,Projects
,Chief Executive's,Chief Executive,CAR-ES (UK) LTD,4002.93,Projects
,Chief Executive's,Chief Executive,COCKERTON & BRANKSOME LIVING ENTERPRISE,3878.56,GRANTS
,Chief Executive's,Chief Executive,COUNTY DURHAM & DARLINGTON FIRE & RESCUE SERVICE,2277.50,EQUIPMENT
,Chief Executive's,Chief Executive,DARLINGTON CREDIT UNION LIMITED,6250.00,Other Supplies & Services
,Chief Executive's,Chief Executive,DURHAM POLICE AUTHORITY,669.95,Other Supplies & Services
,Chief Executive's,Chief Executive,EVOLUTION,9699.70,VOLUNTARY ASSOCIATIONS
,Chief Executive's,Chief Executive,EVOLUTION,3075.00,VOLUNTARY ASSOCIATIONS
,Chief Executive's,Chief Executive,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,890.63,Contributions/Donations
,Chief Executive's,Chief Executive,LEAFLET DISTRIBUTION SERVICES LIMITED,3776.20,MARKETING & ADVERTISING
,Chief Executive's,Chief Executive,NORTHGATE VEHICLE HIRE (NORTH EAST) LIMITED,845.00,Projects
,Chief Executive's,Chief Executive,NORTHGATE VEHICLE HIRE (NORTH EAST) LIMITED,845.00,Projects
,Chief Executive's,Chief Executive,PHOENIX HOUSE,557.14,Residential
,Chief Executive's,Chief Executive,QUOIN,2000.00,MARKETING & ADVERTISING
,Housing Revenue Account,HRA,ALBANY OFFICE FURNITURE SOLUTIONS,10262.93,FURNITURE
,Housing Revenue Account,HRA,CORMETON ELECTRONICS LTD,1350.00,TRAINING
,Housing Revenue Account,HRA,GOLDSHIELD ELECTRONIC SECURITY LTD,798.94,Cyclical - Maint Gates & Doors
,Housing Revenue Account,HRA,GOLDSHIELD ELECTRONIC SECURITY LTD,848.00,Responsive-Door Entry
,Housing Revenue Account,HRA,GOLDSHIELD ELECTRONIC SECURITY LTD,634.50,EQUIPMENT
,Housing Revenue Account,HRA,LIFT ABLE LTD,2221.57,Responsive - Void E.P.C.
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,1110.60,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MAKEPORT 2001 LTD,612.40,FURNITURE
,Housing Revenue Account,HRA,MITIE PROPERTY SERVICES (NORTH EAST) LTD,20688.00,Cyclical - External Painting
,Housing Revenue Account,HRA,MORGAN HUNT PUBLIC SECTOR LTD,613.20,AGENCY STAFF COSTS - NON TEACHING
,Housing Revenue Account,HRA,MORGAN HUNT PUBLIC SECTOR LTD,562.80,AGENCY STAFF COSTS - NON TEACHING
,Housing Revenue Account,HRA,NORTHUMBRIAN WATER,1617.14,WATER CHARGES
,Housing Revenue Account,HRA,NORTHUMBRIAN WATER,985.57,WATER CHARGES
,Housing Revenue Account,HRA,NORTHUMBRIAN WATER,2086.65,WATER CHARGES
,Housing Revenue Account,HRA,NPOWER NORTHERN FINANCE,2044.44,ELECTRICITY
,Housing Revenue Account,HRA,NPOWER NORTHERN FINANCE,2872.64,ELECTRICITY
,Housing Revenue Account,HRA,NPOWER NORTHERN FINANCE,912.91,ELECTRICITY
,Housing Revenue Account,HRA,NPOWER NORTHERN FINANCE,831.90,ELECTRICITY
,Housing Revenue Account,HRA,NPOWER NORTHERN FINANCE,2133.86,ELECTRICITY
,Housing Revenue Account,HRA,NPOWER NORTHERN FINANCE,1682.60,ELECTRICITY
,Housing Revenue Account,HRA,NPOWER NORTHERN LTD,1802.00,ELECTRICITY
,Housing Revenue Account,HRA,ORCHARD INFORMATION SYSTEMS LTD,1500.00,PROFESSIONAL FEES & CONSULTANCY
,Housing Revenue Account,HRA,ORCHARD INFORMATION SYSTEMS LTD,2000.00,PROFESSIONAL FEES & CONSULTANCY
,Housing Revenue Account,HRA,PEART FENCING,2122.00,Cyclical-Lift Maintenance
,Housing Revenue Account,HRA,PEART FENCING,3575.00,Cyclical-Lift Maintenance
,Housing Revenue Account,HRA,SITEXORBIS LTD,3677.65,Responsive-Empty Hse Security
,Housing Revenue Account,HRA,TELECARE SERVICES ASSOCIATION,501.00,SUBSCRIPTIONS
,Housing Revenue Account,HRA,TUNSTALL HEALTHCARE (UK)  LIMITED,974.22,EQUIPMENT
,Capital,Capital,BIRSE CIVILS LTD,10000.00,PAYMENTS MAIN CONTRACTOR - NON DLO
,Capital,Capital,BT OPENREACH,844.92,IT CABLING/TELEPHONES
,Capital,Capital,CLERVAUX TRUST HOLDINGS,2061.39,OTHER CONTRIBUTIONS
,Capital,Capital,DIRECT SIGNS (NORTHERN) LTD,2864.88,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,DIRECT SIGNS (NORTHERN) LTD,2399.10,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,DIRECT SIGNS (NORTHERN) LTD,2568.00,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,EARLY EXCELLENCE LTD,19460.00,FURNITURE EQUIPMENT
,Capital,Capital,EVERSHEDS LLP,4200.50,LEGAL FEES
,Capital,Capital,GROUNDWORK NORTH EAST,1350.00,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,GROUNDWORK SERVICES (DURHAM) LTD,100458.47,PAYMENTS MAIN CONTRACTOR - NON DLO
,Capital,Capital,HES ELECTRICAL SERVICES,2800.00,CAPITAL GRANTS
,Capital,Capital,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,1930.54,IT SOFTWARE
,Capital,Capital,KAJIMA DARLINGTON SCHOOL LTD,2312.50,FEES - OTHER
,Capital,Capital,KAJIMA DARLINGTON SCHOOL LTD,1700.00,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,M BISSELL DISPLAY LTD,5200.00,PAYMENTS MAIN CONTRACTOR - NON DLO
,Capital,Capital,MAUDESPORT LTD,1123.50,FURNITURE EQUIPMENT
,Capital,Capital,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,911.88,LEGAL FEES
,Capital,Capital,OPTIMUM,539.16,FURNITURE EQUIPMENT
,Capital,Capital,PORTAKABIN LTD,5026.67,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,SCOTT WILSON LTD,3660.64,CONSULTANTS - OTHER
,Capital,Capital,SEYMOUR (CIVIL ENGINEERING CONTRACTORS),7905.06,DLO CONTRACTOR PAYMENTS
,Capital,Capital,SIBCAS LTD,676.00,OTHER INCIDENTAL CAPITAL COSTS
,Capital,Capital,SIBCAS LTD,1350.00,OTHER INCIDENTAL CAPITAL COSTS
,Capital,Capital,SIBCAS LTD,676.00,OTHER INCIDENTAL CAPITAL COSTS
,Capital,Capital,SIBCAS LTD,676.00,OTHER INCIDENTAL CAPITAL COSTS
,Capital,Capital,THE ESSEX GROUP,923.40,"DFC - VEHICLES, PLANT, EQUIP & MACH"
,Capital,Capital,THREE RIVERS HOUSING ASSOCIATIONS LTD,503.37,CAPITAL GRANTS
,Capital,Capital,WM SMITH & SONS (BARNARD CASTLE) LTD,5188.63,OTHER CONTRACTOR PAYMENTS
,Capital,Capital,WM SMITH & SONS (BARNARD CASTLE) LTD,946.44,OTHER CONTRACTOR PAYMENTS
