Ã¯»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-06-12,601278516,877.83,0.00,877.83,The Broughtons Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-12,601278486,10684.99,0.00,10684.99,The Broughtons Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-12,601278587,4000.00,0.00,4000.00,The Buzz Rooms Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-12,601278559,3000.00,0.00,3000.00,The Timeshare Shop Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-12,1600649069,4470.00,745.00,3725.00,Tim Denton Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes
Salford City Council,2020-06-12,601278590,10000.00,0.00,10000.00,Top Gift Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-12,601278473,5250.00,0.00,5250.00,Trafford Mbc,People (Childrens) Service Group,Release of Provision
Salford City Council,2020-06-12,1600649093,1080.00,180.00,900.00,Tunstall Group Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-06-12,601278582,7000.00,0.00,7000.00,V360 Training,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-12,601278483,625.71,0.00,625.71,Warrington Borough Council,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-06-12,601278484,2931.16,0.00,2931.16,Warrington Borough Council,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-06-12,601278498,2417.94,0.00,2417.94,Wellington Healthcare (Arden) Ltd,People (Adults) - CHSC,Nursing Home
Salford City Council,2020-06-12,6003052419,1380.00,0.00,1380.00,Www.Impressionltd.Co.U,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,2020-06-12,6003052401,1425.59,0.00,1425.59,Www.Impressionltd.Co.U,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,2020-06-15,1600649176,6171.67,0.00,6171.67,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,1600649175,11863.33,0.00,11863.33,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,1600649195,1838.00,0.00,1838.00,All Saints Ce Primary School,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-06-15,1600649103,26400.00,4400.00,22000.00,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Architects
Salford City Council,2020-06-15,6003052760,6598.08,0.00,6598.08,Bunk-A-Bin Limited,People (Adults) - CHSC,Equipment Repair
Salford City Council,2020-06-15,1600649148,7269.60,1211.60,6058.00,Chubb Fire & Security Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-06-15,1600649190,531.85,88.64,443.21,City Electrical Factors Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-15,601278645,19857.00,0.00,19857.00,Cumberland School,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,1600649137,272730.97,45455.16,227275.81,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-06-15,1600649142,5375.93,895.99,4479.94,Enterprise Flex E-Rent,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-06-15,1600649168,4948.50,0.00,4948.50,Federation Of Community Services (C,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-15,601278777,518.74,86.46,432.28,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-15,601278772,895.92,149.32,746.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-15,1600649199,1500.00,250.00,1250.00,Graystone Action Sports Academy (M/,People (Childrens) Service Group,Training expenses
Salford City Council,2020-06-15,1600649177,5267.40,877.90,4389.50,Hawkins Brown Design Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-06-15,1600649135,829.03,138.17,690.86,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-06-15,601278649,1328.26,221.38,1106.88,Kone Plc,People (Childrens) Service Group,Equipment Repair
Salford City Council,2020-06-15,601278644,8910.00,1485.00,7425.00,Link Asset Services,Corporate Accountancy,Debt Mgmt Expenses
Salford City Council,2020-06-15,601278639,623.46,103.91,519.55,Paypoint Network Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-15,601278641,678.00,113.00,565.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-15,601278630,810.43,135.07,675.36,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2020-06-15,1600649113,2098.32,349.72,1748.60,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-06-15,1600649112,4932.28,822.05,4110.23,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-06-15,1600649149,5000.00,0.00,5000.00,Salford Foundation Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-15,1600649143,675.68,112.61,563.07,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-06-15,1600649144,2880.16,480.03,2400.13,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-06-15,1600649122,1322.54,220.42,1102.12,Scarab Sweepers Ltd,Service Reform (Corp Bus & Transform),Stock Control (VMS)
Salford City Council,2020-06-15,1600649108,1760.00,0.00,1760.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,1600649109,7600.00,0.00,7600.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,1600649110,7600.00,0.00,7600.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,1600649172,1619.28,269.88,1349.40,Solon Security,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-15,1600648710,23648.75,0.00,23648.75,The Hershel Weiss,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-15,1600648711,23648.75,0.00,23648.75,The Hershel Weiss,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-15,1600649193,555.56,92.59,462.97,Tynetec Limited,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-06-15,1600649202,4800.00,800.00,4000.00,Vodafone Formerly Cable & Wireless,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-06-15,601278637,19194.00,0.00,19194.00,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-15,6003052755,84252.12,0.00,84252.12,Www.Scottish.Southern.,Service Reform (Corp Bus & Transform),Gas
Salford City Council,2020-06-15,1600649106,10350.00,1725.00,8625.00,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2020-06-16,601278936,3480.75,0.00,3480.75,Aim Habonim-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279181,10000.00,0.00,10000.00,Al Capital Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,1600649224,627.00,104.50,522.50,Alliance Disposables Ltd,Place Directorate,Cleaning Materials
Salford City Council,2020-06-16,1600649003,600.00,100.00,500.00,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,1600649002,1224.00,204.00,1020.00,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,1600649000,9376.20,1562.70,7813.50,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,1600648998,10159.08,1693.18,8465.90,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,1600648999,29097.60,4849.60,24248.00,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,601278809,1153.62,0.00,1153.62,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278941,7802.41,0.00,7802.41,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278810,2930.06,0.00,2930.06,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278942,5879.10,0.00,5879.10,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279132,10000.00,0.00,10000.00,Banen Recruitment Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278944,9895.28,0.00,9895.28,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278945,9701.25,0.00,9701.25,Beis Rochel Manchester Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278826,721.01,0.00,721.01,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278971,4850.63,0.00,4850.63,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278946,977.44,0.00,977.44,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278812,5047.09,0.00,5047.09,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,1600649214,6247.56,1041.26,5206.30,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes
Salford City Council,2020-06-16,601278947,8925.15,0.00,8925.15,Bnos Margulis Viznitz Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278948,13479.38,0.00,13479.38,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,1600648525,9412.75,0.00,9412.75,Bolton College,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-16,1600648524,14173.16,0.00,14173.16,Bolton College,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-16,601278813,721.01,0.00,721.01,Boothstown Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278949,7724.57,0.00,7724.57,Boothstown Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278950,10467.60,0.00,10467.60,Branwood Preparatory School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278951,8697.58,0.00,8697.58,Bridgewater School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279135,25000.00,0.00,25000.00,Bridgewater(Salford) Amateur Boxing,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278929,15774.90,0.00,15774.90,Broadoak Cp School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278930,14398.80,0.00,14398.80,Broughton Jewish C F Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278958,4615.07,0.00,4615.07,Broughton Jewish Cassel Fox,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279175,10000.00,0.00,10000.00,Canal Cellars Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278818,12016.88,0.00,12016.88,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278954,13291.20,0.00,13291.20,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,1600649228,163200.00,27200.00,136000.00,Career Connect,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-16,601279112,564.00,94.00,470.00,Carrington Riding Centre,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-16,601279113,1248.00,208.00,1040.00,Carrington Riding Centre,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-16,601278835,721.01,0.00,721.01,Cherry Tots Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,1600649249,3024.00,504.00,2520.00,Chubb Fire & Security Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-06-16,601278823,1201.69,0.00,1201.69,Claremont Neighbourhood Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278964,8731.13,0.00,8731.13,Claremont Neighbourhood Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278965,13445.25,0.00,13445.25,Clarendon Cottage School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278892,6729.45,0.00,6729.45,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279053,11006.78,0.00,11006.78,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279078,4095.00,0.00,4095.00,Cottage Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278827,1682.36,0.00,1682.36,Daisys Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278968,1172.93,0.00,1172.93,Debs Playpen,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279171,10000.00,0.00,10000.00,Design And Software Solutions Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278931,5607.23,0.00,5607.23,Dukesgate Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279143,10000.00,0.00,10000.00,East Road Taverns Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,1600649279,62816.50,10469.42,52347.08,Eurovia Infrastructure Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-06-16,1600649280,333380.12,55563.35,277816.77,Eurovia Infrastructure Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-06-16,601278829,2884.05,0.00,2884.05,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278975,5814.90,0.00,5814.90,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,1600649254,11713.54,1952.26,9761.28,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,1600649256,34466.10,5744.35,28721.75,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,2020-06-16,601278830,1922.70,0.00,1922.70,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278976,5864.63,0.00,5864.63,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278831,1201.69,0.00,1201.69,Fledglings (Irlam) Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278978,10723.05,0.00,10723.05,Fledglings (Irlam) Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278832,1682.36,0.00,1682.36,Fledglings Day Nursery Worsley,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278979,12342.20,0.00,12342.20,Fledglings Day Nursery Worsley,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278863,3364.73,0.00,3364.73,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279021,11006.78,0.00,11006.78,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278885,961.35,0.00,961.35,Fun 2B2,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278798,595.50,99.25,496.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-16,601278982,762.45,0.00,762.45,Gill'S Childminding Services,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278983,6186.38,0.00,6186.38,Habonim Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279129,10000.00,0.00,10000.00,Hair Today (Walkden) Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278836,4085.74,0.00,4085.74,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278986,7233.04,0.00,7233.04,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278821,2163.04,0.00,2163.04,Hello Kiddies Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279170,2000.00,0.00,2000.00,Hisfame Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,1600649204,1080.00,180.00,900.00,Horticon Limited,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-16,1600649203,1308.00,218.00,1090.00,Horticon Limited,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-16,1600649205,4827.60,804.60,4023.00,Horticon Limited,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-16,601279169,2000.00,0.00,2000.00,Hsk Accountancy Services Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278927,2643.71,0.00,2643.71,Inspiring Communities Together,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279095,3518.78,0.00,3518.78,Inspiring Communities Together,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279151,10000.00,0.00,10000.00,Isah's Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,6003060347,525.00,0.00,525.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees
Salford City Council,2020-06-16,601278996,781.95,0.00,781.95,Jessica Houghton (Little Owls),People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278845,2163.04,0.00,2163.04,Jitterbugz Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278997,3297.22,0.00,3297.22,Jitterbugz Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279006,10089.30,0.00,10089.30,Kerem Shloime Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278849,3605.06,0.00,3605.06,Kiddiewinkles Pre School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279007,4361.18,0.00,4361.18,Kiddiewinkles Pre School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278851,1442.03,0.00,1442.03,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278852,4085.74,0.00,4085.74,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278854,5768.10,0.00,5768.10,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278853,8331.70,0.00,8331.70,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279011,8407.75,0.00,8407.75,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279012,10799.10,0.00,10799.10,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279010,24090.30,0.00,24090.30,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278805,28659.15,0.00,28659.15,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278856,2643.71,0.00,2643.71,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279014,3945.83,0.00,3945.83,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278860,1442.03,0.00,1442.03,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279018,9898.20,0.00,9898.20,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278861,2643.71,0.00,2643.71,Kidz R Us Nursery Ltd - Swinton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279019,6347.25,0.00,6347.25,Kidz R Us Nursery Ltd - Swinton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278857,2163.04,0.00,2163.04,Kidzrus  Nursery Ltd - Monton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279015,5733.00,0.00,5733.00,Kidzrus  Nursery Ltd - Monton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278858,2403.38,0.00,2403.38,Kidzrus Nursery Ltd - Irlam,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279016,4984.20,0.00,4984.20,Kidzrus Nursery Ltd - Irlam,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278859,3845.40,0.00,3845.40,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279017,9829.95,0.00,9829.95,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279131,10000.00,0.00,10000.00,Kimia Skincare Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278815,1922.70,0.00,1922.70,Kinderland,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278864,7690.80,0.00,7690.80,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279022,21182.85,0.00,21182.85,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279074,8228.09,0.00,8228.09,Little Acorns Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278816,1682.36,0.00,1682.36,Little Blessings Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278869,1442.03,0.00,1442.03,Little Explorers,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279031,3518.78,0.00,3518.78,Little Explorers,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279030,5278.16,0.00,5278.16,Little Explorers Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278867,2643.71,0.00,2643.71,Little Explorers Eccles,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279029,7060.95,0.00,7060.95,Little Explorers Eccles,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278870,1201.69,0.00,1201.69,Little Gems Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279032,12611.63,0.00,12611.63,Little Gems Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278871,961.35,0.00,961.35,Little Learners,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279033,1720.29,0.00,1720.29,Little Learners,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278872,3364.73,0.00,3364.73,Little People Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279034,6451.09,0.00,6451.09,Little People Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278873,4806.75,0.00,4806.75,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279035,7490.15,0.00,7490.15,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278874,961.35,0.00,961.35,Little Sprouts Day Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279036,2716.35,0.00,2716.35,Little Sprouts Day Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279177,5500.00,0.00,5500.00,Lowry Estates,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601279179,6000.00,0.00,6000.00,Machinecompare.Com Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601279038,5006.63,0.00,5006.63,Magical Moments Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278879,2163.04,0.00,2163.04,Manchester Jnr Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279040,16426.80,0.00,16426.80,Manchester Jnr Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278881,1682.36,0.00,1682.36,Merlin Childcare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278882,5287.43,0.00,5287.43,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279043,6255.60,0.00,6255.60,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279165,10000.00,0.00,10000.00,Mode For You Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278888,1201.69,0.00,1201.69,Mojo-Out Of School Club,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279048,2345.85,0.00,2345.85,Mojo-Out Of School Club,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278887,3124.39,0.00,3124.39,Mojo-Out Of School Club,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279047,4300.73,0.00,4300.73,Mojo-Out Of School Club,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601278793,630.00,105.00,525.00,Monarch Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-16,601278794,630.00,105.00,525.00,Monarch Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-16,601278889,1201.69,0.00,1201.69,Monton Village School Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279049,16844.10,0.00,16844.10,Monton Village School Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279183,4000.00,0.00,4000.00,Monton Wholesale Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601279178,10000.00,0.00,10000.00,My Store Manchester Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-16,601278855,961.35,0.00,961.35,Nutkins Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,601279013,9964.50,0.00,9964.50,Nutkins Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-16,1600649286,165600.00,27600.00,138000.00,Olm Profesional Services Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
