Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
Salford City Council,2018-11-14,601231015,2544,0,2544,The Court Service,Place Directorate,Debt Collection
Salford City Council,2018-11-14,1600617634,10969,0,10969,The Lancashire Wildlife Trust,Capital Expenditure,Capital Expenses
Salford City Council,2018-11-14,1600617631,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-14,601231006,7589.28,1264.88,6324.4,Virgin Media Business,Service Reform (Corp Bus & Transform),Telephones & Fax
Salford City Council,2018-11-14,vcquinmod,803.88,0,803.88,Flybe.Com Byytqt,People (Childrens) Service Group,Conferences / Seminars
Salford City Council,2018-11-14,wtyeswunc,612.38,12.31,600.07,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-14,stqqcywfz,852,0,852,Hotel On Booking.Com,Service Reform (Corp Bus & Transform),Travel
Salford City Council,2018-11-15,1600616827,696.23,116.04,580.19,Air Products Plc,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-15,1600617717,590.59,96.99,493.6,Bradshaw International,Capital Expenditure,Works & Building
Salford City Council,2018-11-15,601231205,17278.14,2724.97,14553.17,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Telephones & Fax Mac
Salford City Council,2018-11-15,601231183,1078.5,0,1078.5,Child Action Northwest,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-15,601231182,1614.1,0,1614.1,Child Action Northwest,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-15,1600616522,603.66,100.61,503.05,Commsec Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-15,1600616554,11627.08,1937.84,9689.24,Compass Minerals Uk Ltd,Place Directorate,Materials
Salford City Council,2018-11-15,601231010,1569.54,261.59,1307.95,Crick Software Ltd,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-15,1600616231,5896.8,982.8,4914,Cromwell Polythene Limited,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-15,1600616236,722.57,120.43,602.14,Cromwell Tools Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-15,601229779,645.31,107.55,537.76,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-15,601229781,812.16,135.36,676.8,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-15,1600617212,1147.2,191.2,956,Diverse Security Ltd,People (Childrens) Service Group,BuildingSecurity/Eqt
Salford City Council,2018-11-15,1600617742,981.11,163.52,817.59,Geesink Norba Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-15,601231193,42316,0,42316,Greater Manchester Learning Trust,People (Childrens) Service Group,Consultants
Salford City Council,2018-11-15,601231167,2739.74,456.62,2283.12,Hasan Associates Ltd,Service Reform (Corp Bus & Transform),Training expenses
Salford City Council,2018-11-15,601231168,3340.32,556.72,2783.6,Hasan Associates Ltd,Service Reform (Corp Bus & Transform),Training expenses
Salford City Council,2018-11-15,1600616624,3872.64,645.44,3227.2,Jenx Limited,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-15,601230535,897,0,897,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-15,1600616889,511.48,85.25,426.23,Lightoaks Garage,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-15,1600616620,1760,0,1760,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-15,1600617707,507.84,84.64,423.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617706,608.64,101.44,507.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617713,600.18,84.64,515.54,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617705,729.6,121.6,608,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617712,975.36,162.56,812.8,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617709,1043.52,173.92,869.6,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617704,1076.16,179.36,896.8,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617710,1235.52,205.92,1029.6,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617711,1593.36,265.56,1327.8,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600617708,1644.48,274.08,1370.4,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,601231162,3615.46,0,3615.46,Nhs Salford Ccg,Public Health,Sals & Wags Realloc
Salford City Council,2018-11-15,1600616733,1884,314,1570,P. Mcguinness & Company Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-15,1600617714,1504.72,250.79,1253.93,Prism Medical Uk,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-15,1600617744,7704,1284,6420,Rbs Invoice Finance Limited,Place Directorate,Equipment Purchase
Salford City Council,2018-11-15,1600617748,588.88,0,588.88,Redacted Data,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-15,1600617746,1850,0,1850,Redacted Data,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-15,601231199,2030.5,0,2030.5,Redacted Data,People (Childrens) Service Group,Fost Parent-Bas alls
Salford City Council,2018-11-15,601229397,51972.32,8662.03,43310.29,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2018-11-15,601231181,1193.66,0,1193.66,Salix Homes Limited,People (Adults) - CHSC,Rents
Salford City Council,2018-11-15,1600617736,47208.14,7868.02,39340.12,Seddon Construction Limited,Capital Expenditure,Works & Building
Salford City Council,2018-11-15,601231177,47069.32,0,47069.32,Sms Coaching Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-15,1600616290,15031.1,2505.18,12525.92,Stanley Security Solutions Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-15,1600617722,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617723,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617724,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617725,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617726,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617727,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617728,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617729,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,1600617730,8306.33,0,8306.33,T'Mimei Lev,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-15,601231114,2564.64,427.44,2137.2,Vodafone Formerly Cable & Wireless,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,2018-11-15,601225489,1794.42,0,1794.42,Water Plus,People (Childrens) Service Group,Water
Salford City Council,2018-11-15,601226458,603.21,0,603.21,Water Plus,People (Childrens) Service Group,Water
Salford City Council,2018-11-15,601231090,1895.22,0,1895.22,Water Plus,People (Childrens) Service Group,Water
Salford City Council,2018-11-15,6002670357,11053.79,0,11053.79,William Deighton,People (Childrens) Service Group,SS Inc Supp/Ind Clnt
Salford City Council,2018-11-15,rvbmalbes,20326.55,3387.76,16938.79,Swalec,Place Directorate,Electricity
Salford City Council,2018-11-15,hmgvodmed,612.75,102.12,510.63,Www.Lastdropvillage.Co,People (Childrens) Service Group,Travel
Salford City Council,2018-11-15,gwecdbutn,867.1,0,867.1,Virgin Trains,People (Childrens) Service Group,Travel
Salford City Council,2018-11-15,cybwtpzqh,553.21,5.6,547.61,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-15,whwgegwwq,5350.69,8.66,5342.03,Oliver Kay Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-15,ivbiwyric,593.49,4.1,589.39,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-15,efkgxflud,522.57,10.84,511.73,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-15,epckcvmkv,841.36,0,841.36,Creamline Dairies Traffor,Place Directorate,Food and refreshments
Salford City Council,2018-11-15,cbqpfnelr,51603.33,0,51603.33,Ricoh UK Limited,Service Reform (Corp Bus & Transform),Printing & Photocopying
Salford City Council,2018-11-16,1600616717,980,0,980,Angie Thompson Illustrator,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-16,601231298,3100,0,3100,Association Of Directors Of Public,Public Health,Payts to Agencies
Salford City Council,2018-11-16,601230558,846,0,846,Barry Gregory Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,1600616633,1408.8,234.8,1174,Bold Communications,Place Directorate,Contractors
Salford City Council,2018-11-16,1600617785,1456.07,69.34,1386.73,Calor Gas Ltd,Place Directorate,Other Fuels
Salford City Council,2018-11-16,601231299,4900.57,0,4900.57,Central Manchester University,Public Health,Payts to Agencies
Salford City Council,2018-11-16,1600616569,7782.1,1297.02,6485.08,Compass Minerals Uk Ltd,Place Directorate,Materials
Salford City Council,2018-11-16,601229969,3600,600,3000,Complete Background Screening Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2018-11-16,601231304,556.44,0,556.44,East Cheshire Nhs Trust,Public Health,Payts to Agencies
Salford City Council,2018-11-16,1600617146,1950,0,1950,Evidence Based Psychology Hub Ltd,People (Childrens) Service Group,Materials
Salford City Council,2018-11-16,601231308,1261.2,0,1261.2,Exclusive Secure Care Services Ltd,People (Childrens) Service Group,Staff Travel
Salford City Council,2018-11-16,601231292,780,130,650,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-16,601231266,2126.3,0,2126.3,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-16,601231279,3662,0,3662,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-16,601231329,33831.68,5638.61,28193.07,Jones Lang Lasalle,Place Directorate,Premises Insurance
Salford City Council,2018-11-16,1600616779,3312,552,2760,Matthew Thomas Associates Ltd,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-16,1600616627,544.64,90.77,453.87,Nisbets,Place Directorate,Equipment Purchase
Salford City Council,2018-11-16,1600617291,327620.28,54603.38,273016.9,P Casey & Co Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-16,1600616829,1290,215,1075,P F Cusack (Tools Supplies) Ltd,Place Directorate,Materials
Salford City Council,2018-11-16,1600616289,542.4,90.4,452,Premier Paper Group Ltd,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,2018-11-16,1600616568,1335.41,222.57,1112.84,Prism Medical Uk,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-16,601230550,1406.77,0,1406.77,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,601230552,55979.36,0,55979.36,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,1600616635,1790.34,298.39,1491.95,Rocom,Service Reform (Corp Bus & Transform),Telephones & Fax
Salford City Council,2018-11-16,601230624,1251.05,208.51,1042.54,Safecell Security Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2018-11-16,1600616556,5075,0,5075,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Non SLA Recharges
Salford City Council,2018-11-16,601230522,1684.8,280.8,1404,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,601230523,2721.6,453.6,2268,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,601230520,2918.37,486.39,2431.98,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,601230526,3575.23,595.87,2979.36,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,601230524,3903.78,650.63,3253.15,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,601230527,4298.59,716.43,3582.16,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-16,1600616923,912,152,760,Scarab Sweepers Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-16,1600616924,2129.7,354.95,1774.75,Scarab Sweepers Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-16,1600616809,1674,279,1395,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2018-11-16,1600616563,3150,525,2625,Stannah Stairlifts Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-16,1600616562,3270,545,2725,Stannah Stairlifts Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-16,601230634,561.6,93.6,468,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-16,601230633,569.28,94.88,474.4,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-16,601230635,579.84,96.64,483.2,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-16,601230637,750,125,625,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-16,601230636,1432.56,238.76,1193.8,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-16,1600616276,5230.8,871.8,4359,Transport For Greater Manchester,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-16,bqnmbbbsr,522.03,5.88,516.15,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-16,sdwnnoxat,504.63,10.07,494.56,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-16,owifagiik,679.12,52.55,626.57,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-19,601231330,3258,543,2715,Alcumus Isoqar Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2018-11-19,1600615312,975.6,162.6,813,Associated Cleaning Contractors Ltd,Place Directorate,Cleaning Services
Salford City Council,2018-11-19,1600615075,598.8,99.8,499,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-19,1600615629,1935.6,322.6,1613,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-19,1600617816,26193.6,4365.6,21828,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2018-11-19,601231336,30905.91,0,30905.91,Central Manchester University,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-19,601231334,30905.92,0,30905.92,Central Manchester University,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-19,601231335,30905.92,0,30905.92,Central Manchester University,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-19,1600616300,7268.88,0,7268.88,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-19,1600615971,810,135,675,Cipfa Nw & N.Wales Audit Group,Service Reform (Corp Bus & Transform),Training expenses
Salford City Council,2018-11-19,1600617159,1187.46,197.91,989.55,Connevans Limited,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-19,601231337,9954.66,0,9954.66,Co-Operative Academy Trust,People (Childrens) Service Group,T U Supply Cover
Salford City Council,2018-11-19,601230568,1038.78,173.13,865.65,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-19,1600616609,589.38,98.23,491.15,Ecg Facilities Services Ltd,Place Directorate,UV Air Con
Salford City Council,2018-11-19,1600616607,1153.56,192.26,961.3,Ecg Facilities Services Ltd,Place Directorate,UV Air Con
Salford City Council,2018-11-19,601230991,850,0,850,Eeven Homes Ltd,People (Childrens) Service Group,Rents
Salford City Council,2018-11-19,1600616910,536.97,89.49,447.48,F. R. Sharrock Limited,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-19,1600616854,2288.91,381.5,1907.41,F. R. Sharrock Limited,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-19,1600615228,3421.2,570.2,2851,Jla Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-19,601230538,586.5,0,586.5,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-19,601230537,1152,0,1152,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-19,601230536,1179,0,1179,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-19,601230539,1385.5,0,1385.5,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-19,1600617817,600,100,500,Lodge Tyre Co.Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-19,1600616326,583.2,97.2,486,M & A Brown (Engravers) Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-19,601231340,304956.4,50826.06,254130.34,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Rents
Salford City Council,2018-11-19,1600614940,1853.18,308.86,1544.32,Mitie Security Ltd,Service Reform (Corp Bus & Transform),BuildingSecurity/Eqt
Salford City Council,2018-11-19,1600615274,3906.5,651.08,3255.42,Mitie Security Ltd,Place Directorate,Security Services
Salford City Council,2018-11-19,1600617160,12187.48,2031.25,10156.23,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2018-11-19,1600615327,4231.2,705.2,3526,Pressboost Ltd,Place Directorate,UV Tank Clean
Salford City Council,2018-11-19,1600616201,578.4,96.4,482,Rbs Invoice Finance Limited,Place Directorate,Equipment Repair
Salford City Council,2018-11-19,1600617831,1350,0,1350,Redacted Data,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-19,1600616723,1822.1,303.68,1518.42,Redacted Data,Place Directorate,Equipment Purchase
Salford City Council,2018-11-19,601231348,43830.04,7305.07,36524.97,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2018-11-19,601231345,51071.88,8511.94,42559.94,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2018-11-19,601231347,55565.89,9261.03,46304.86,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2018-11-19,1600612402,11016,1836,9180,Resolution Data Management Ltd,Place Directorate,IT  Licence Fee
Salford City Council,2018-11-19,601231333,1170,0,1170,Salford Community Leisure Ltd,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-19,1600616640,10000,0,10000,Tech  Mahindra Ltd - India,Service Reform (Corp Bus & Transform),Consultants
Salford City Council,2018-11-19,601229140,1199.99,0,1199.99,Tindall Street Allotment Group,Place Directorate,Payts to Vol Orgs
Salford City Council,2018-11-19,1600617161,2310,385,1925,Toasted Productions,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2018-11-19,1600616493,769.57,128.26,641.31,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-19,1600616494,836.15,139.36,696.79,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-19,1600616495,7185.55,1197.59,5987.96,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-19,uhwnefuwx,7871.15,1311.86,6559.29,Phs Group,Place Directorate,Purchase Card Error Account
Salford City Council,2018-11-19,vvmehnvlc,4334.22,722.37,3611.85,Www.Restore.Co.Uk,Service Reform (Corp Bus & Transform),Storage
Salford City Council,2018-11-19,ohzzvrcdh,544,0,544,Milton Manchester Hote,People (Adults) - CHSC,Rents
Salford City Council,2018-11-19,hkkhxxxky,641.04,0,641.04,Www.Paper.Co.Uk,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,2018-11-20,1600616444,1090,0,1090,Abc Coach Hire Ltd,Service Reform (Corp Bus & Transform),Staff Travel
Salford City Council,2018-11-20,1600615493,2952,492,2460,Alan Franklin Builders Ltd,Capital Expenditure,Demolition
Salford City Council,2018-11-20,1600616727,3612,602,3010,Alan Franklin Builders Ltd,Capital Expenditure,Demolition
Salford City Council,2018-11-20,6002673413,20518.44,0,20518.44,Alpha Plus Fostering  Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673453,11050,0,11050,Aspire Childcare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600617418,12000,2000,10000,Bloom Procurement Services Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-20,6002673441,12396.2,0,12396.2,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-20,1600616368,12859.73,0,12859.73,Bury Council,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2018-11-20,6002673434,6589.2,0,6589.2,By The Bridge,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600615523,732,122,610,"C. Masters Decorators Ltd.,",Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-20,1600616859,579.6,96.6,483,Calibration & Consultancy Services,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-20,6002673429,17200,0,17200,Cambian Childcare Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-20,6002673438,10416,0,10416,Capstone Foster Care (North) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673432,1542.86,0,1542.86,Care Today Childrens Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673433,11180,0,11180,Care Today Childrens Services,People (Childrens) Service Group,VAT Adjustment
Salford City Council,2018-11-20,6002673435,15580,0,15580,Care Today Childrens Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673437,18020.6,0,18020.6,Care Today Childrens Services,People (Childrens) Service Group,VAT Adjustment
Salford City Council,2018-11-20,601231376,4506.99,0,4506.99,Cleggs Chilled Food Service,Place Directorate,Food and refreshment
Salford City Council,2018-11-20,6002673444,6509.53,0,6509.53,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600616577,10361.23,1726.87,8634.36,Compass Minerals Uk Ltd,Place Directorate,Materials
Salford City Council,2018-11-20,6002673464,12452,0,12452,Continuum Support - Care Services L,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673456,13980,0,13980,Courtyard Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600614858,663,110.5,552.5,Door Repair Service  Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2018-11-20,1600614857,755.4,125.9,629.5,Door Repair Service  Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2018-11-20,6002673419,2636,0,2636,Dove Adolescent Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673416,19184.57,0,19184.57,Dove Adolescent Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673463,17200,0,17200,Exceptional Care Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673411,2444.96,0,2444.96,Fairfield Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673425,11016,0,11016,Fairfield Residential,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,601231466,14327,0,14327,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-20,6002673417,3200,0,3200,Foster Cares Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673423,29025.87,0,29025.87,Fostering Solutions Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673450,3640,0,3640,Fusion Fostering,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600617350,3581.6,596.93,2984.67,G Jones Builders Ltd,People (Childrens) Service Group,UV Day to Day
Salford City Council,2018-11-20,1600617137,4368,728,3640,G Jones Builders Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-20,1600615541,10826.24,1804.37,9021.87,G Jones Builders Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2018-11-20,6002673459,14980,0,14980,Halliwell Homes Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-20,6002673449,16039.29,0,16039.29,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673451,16480,0,16480,Holistic Approach Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673424,15024,0,15024,Horizon Care & Education Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673410,8290.71,0,8290.71,Intact Projects Ltd,People (Childrens) Service Group,Children Act-Sect 17
Salford City Council,2018-11-20,1600614834,3031.2,505.2,2526,Invacare Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-20,1600617891,7000,0,7000,Islington Mill Arts Club,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-20,1600615501,871.5,145.25,726.25,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep
Salford City Council,2018-11-20,1600616891,958.68,159.78,798.9,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep
Salford City Council,2018-11-20,1600616880,3473.4,578.9,2894.5,Jenx Limited,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-20,1600616749,21071.34,3511.89,17559.45,Jpb Utilities Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-20,6002673421,19600,0,19600,Keys Childcare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673468,4267.4,0,4267.4,Leaving Care Services Ltd,People (Childrens) Service Group,VAT Adjustment
Salford City Council,2018-11-20,6002673469,4571.6,0,4571.6,Leaving Care Services Ltd,People (Childrens) Service Group,VAT Adjustment
Salford City Council,2018-11-20,6002673470,9541.71,0,9541.71,Leaving Care Services Ltd,People (Childrens) Service Group,VAT Adjustment
Salford City Council,2018-11-20,601231395,4225.06,0,4225.06,Lewis Street Primary,People (Childrens) Service Group,Stationery
Salford City Council,2018-11-20,6002673454,12800,0,12800,Lonsdale Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673436,3180,0,3180,Lorimer Foster Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673457,2685.71,0,2685.71,Lytham Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,6002673458,2800,0,2800,Lytham Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600609519,637.63,106.27,531.36,Manchester City Council,Capital Expenditure,Legal Fees
Salford City Council,2018-11-20,6002673428,2000,0,2000,Meadows Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-20,1600617396,1215,0,1215,Midstream (West Lancs) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-20,1600616865,3709.61,618.27,3091.34,Northern Municipal Spares Ltd,Place Directorate,Vehicle Maintenance
