ï»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-07-14,601281511,7233.03,0.00,7233.03,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281539,7371.00,0.00,7371.00,Kidzrus  Nursery Ltd - Monton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281408,7476.33,0.00,7476.33,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281559,7490.13,0.00,7490.13,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281466,7567.79,0.00,7567.79,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281608,7624.50,0.00,7624.50,The New Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281474,7724.56,0.00,7724.56,Boothstown Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281535,7842.70,0.00,7842.70,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,1600650700,7904.59,1317.43,6587.16,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-07-14,601281607,7939.50,0.00,7939.50,The Stables Day Nursery Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281591,7960.20,0.00,7960.20,Roobyloos Childrens Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281638,8000.00,0.00,8000.00,Dwf Llp - Manchester,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-07-14,601281609,8074.95,0.00,8074.95,Tinytots Vision Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281586,8454.72,0.00,8454.72,Pomegranate Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281537,8528.10,0.00,8528.10,Nutkins Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281476,8697.58,0.00,8697.58,Bridgewater School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281489,8731.11,0.00,8731.11,Claremont Neighbourhood Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281472,8925.15,0.00,8925.15,Bnos Margulis Viznitz Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281390,9021.90,0.00,9021.90,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281606,9530.61,0.00,9530.61,The Stables Day Nursery Monton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281470,9701.25,0.00,9701.25,Beis Rochel Manchester Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281600,9706.20,0.00,9706.20,Little Acorns Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281478,9729.27,0.00,9729.27,University Of Salford Busy Bees,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281380,9810.70,0.00,9810.70,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281542,9898.20,0.00,9898.20,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281531,10089.30,0.00,10089.30,Kerem Shloime Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281475,10467.60,0.00,10467.60,Branwood Preparatory School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281611,10719.21,0.00,10719.21,Tinytots Vision Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281503,10723.05,0.00,10723.05,Fledglings (Irlam) Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281545,11006.76,0.00,11006.76,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281504,11251.40,0.00,11251.40,Fledglings Day Nursery Worsley,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281469,11447.46,0.00,11447.46,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281516,11563.89,0.00,11563.89,T/A Holyrood Day Nursery - Hope,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281517,11624.99,0.00,11624.99,T/A Holyrood Day Nursery - Salford,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281343,11721.06,0.00,11721.06,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281577,11837.46,0.00,11837.46,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281541,12513.75,0.00,12513.75,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281514,12526.25,0.00,12526.25,T/A Holly House Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281556,12611.61,0.00,12611.61,Little Gems Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281536,12652.20,0.00,12652.20,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281614,12706.68,0.00,12706.68,Unicorn Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281515,12887.13,0.00,12887.13,T/A Holyrood Day Nursery - Media Ci,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281490,13445.25,0.00,13445.25,Clarendon Cottage School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281479,14185.80,0.00,14185.80,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281455,14398.80,0.00,14398.80,Broughton Jewish C F Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281518,14466.06,0.00,14466.06,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281534,15296.40,0.00,15296.40,Social Adventures - Kids Adventures,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281454,15774.90,0.00,15774.90,Broadoak Cp School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281612,16102.32,0.00,16102.32,Redacted Data,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281564,16426.80,0.00,16426.80,Manchester Jnr Girls School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,1600650675,17031.10,2838.52,14192.58,Xma Ltd,Service Reform (Corp Bus & Transform),Purch of Comp Equip
Salford City Council,2020-07-14,1600650278,17748.00,2958.00,14790.00,Greater Manchester Combined Authori,Place Directorate,IT  Licence Fee
Salford City Council,2020-07-14,601281573,18041.10,0.00,18041.10,Monton Village School Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281473,21952.11,0.00,21952.11,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281546,22013.55,0.00,22013.55,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281603,24779.61,0.00,24779.61,Tashbar Academy Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281630,27445.05,0.00,27445.05,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281629,28116.00,0.00,28116.00,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281631,32118.60,0.00,32118.60,Talmud Torah Chinuch N'Orim,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,601281632,34342.41,0.00,34342.41,Talmud Torah Yetev Lev Ltd-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-14,1600650283,66392.00,0.00,66392.00,Salford Community & Voluntary Servi,Place Directorate,Payts to Agencies
Salford City Council,2020-07-14,1600650666,66855.24,11142.54,55712.70,Eurovia Infrastructure Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-14,1600650665,403992.32,67332.05,336660.27,Eurovia Infrastructure Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-14,1600650182,618000.84,103000.14,515000.70,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-07-15,1600650709,508.32,84.72,423.60,Saint Gobain Building Distribution,Place Directorate,Materials
Salford City Council,2020-07-15,601281745,516.75,0.00,516.75,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-15,601281737,517.29,0.00,517.29,Redacted Data,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-15,1600632450,525.00,12.50,512.50,Salford Community Leisure Ltd,People (Childrens) Service Group,Conferences/Seminars
Salford City Council,2020-07-15,1600650722,540.00,90.00,450.00,Association Of Democratic Services,Service Reform (Corp Bus & Transform),Advertising
Salford City Council,2020-07-15,1600650790,549.12,91.52,457.60,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,2020-07-15,1600650782,596.40,99.40,497.00,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,2020-07-15,601281719,615.00,0.00,615.00,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-15,601281720,615.00,0.00,615.00,St Ambrose Young Families,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-15,1600650711,675.00,0.00,675.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Food and refreshment
Salford City Council,2020-07-15,601281731,675.00,0.00,675.00,Thompsons Solicitors Llp,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-07-15,6003072843,761.99,0.00,761.99,Currys Online,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-07-15,601279392,1000.00,0.00,1000.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-15,1600650721,1080.00,180.00,900.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-15,1600650743,1248.00,208.00,1040.00,"C. Masters Decorators Ltd.,",Place Directorate,nonuv Build Rp&Maint
Salford City Council,2020-07-15,6003072944,1292.99,0.00,1292.99,Www.Salford.Gov.Uk,People (Adults) - CHSC,Payment to Government Departments
Salford City Council,2020-07-15,601281771,1575.50,0.00,1575.50,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-15,1600650741,1584.00,264.00,1320.00,"C. Masters Decorators Ltd.,",Place Directorate,nonuv Build Rp&Maint
Salford City Council,2020-07-15,1600650716,1676.88,279.48,1397.40,Sap (Uk) Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-07-15,6003072942,2240.00,0.00,2240.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-15,1600650733,2725.91,454.32,2271.59,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-07-15,1600647393,2772.00,462.00,2310.00,Handicare,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-15,6003072885,2800.00,0.00,2800.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-15,1600650746,2856.00,476.00,2380.00,"C. Masters Decorators Ltd.,",Service Reform (Corp Bus & Transform),UV Day to Day
Salford City Council,2020-07-15,1600650784,3000.00,500.00,2500.00,Vodafone Formerly Cable & Wireless,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-15,1600647571,3204.00,534.00,2670.00,Stannah Stairlifts Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-15,601281772,3361.50,0.00,3361.50,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-15,601281680,3480.00,580.00,2900.00,Transport For Greater Manchester,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-15,6003072902,4538.91,0.00,4538.91,Www.Restore.Co.Uk,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,2020-07-15,601281648,5212.40,868.73,4343.67,Rothwell Robinson Ltd,People (Childrens) Service Group,Prog Maint & Works
Salford City Council,2020-07-15,6003072899,5400.00,0.00,5400.00,Sis4Ers Distillery,Place Directorate,Food and refreshments
Salford City Council,2020-07-15,6003072917,5400.00,0.00,5400.00,Sis4Ers Distillery,Place Directorate,Food and refreshments
Salford City Council,2020-07-15,6003072922,5400.00,0.00,5400.00,Sis4Ers Distillery,Place Directorate,Food and refreshments
Salford City Council,2020-07-15,1600647391,6054.00,1009.00,5045.00,Handicare,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-15,1600650715,6609.60,1101.60,5508.00,Sap (Uk) Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-07-15,1600647390,6710.40,1118.40,5592.00,Handicare,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-15,1600650749,12003.34,2000.56,10002.78,Eurovia Infrastructure Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-15,1600650756,17909.98,0.00,17909.98,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650763,17909.98,0.00,17909.98,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650758,18868.34,0.00,18868.34,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650760,18868.64,0.00,18868.64,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650759,20572.00,0.00,20572.00,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650762,20572.00,0.00,20572.00,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650734,21534.71,3589.12,17945.59,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-07-15,1600650727,22345.68,3724.28,18621.40,Siemens Plc,Place Directorate,Contractors
Salford City Council,2020-07-15,1600650761,23144.00,0.00,23144.00,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600650757,25695.46,0.00,25695.46,Rossendale School Priory,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-15,1600640326,41087.00,0.00,41087.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Non SLA Recharges
Salford City Council,2020-07-15,1600650714,54162.00,9027.00,45135.00,Sap (Uk) Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-07-15,1600650717,177396.36,29566.06,147830.30,Sap (Uk) Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-07-16,1600650877,12000.00,0.00,12000.00,Transport For Greater Manchester,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-16,1600650798,570.00,95.00,475.00,Alliance Disposables Ltd,People (Childrens) Service Group,Cleaning Materials
Salford City Council,2020-07-16,601281834,573.12,95.52,477.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-16,601273392,730.49,121.75,608.74,Computershare Voucher Services Ltd,Corporate Accountancy,Debt- interest pymnt
Salford City Council,2020-07-16,601279734,740.00,0.00,740.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-16,6003073531,777.89,0.00,777.89,Redacted Data,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-07-16,601281832,795.89,132.65,663.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-16,1600650875,819.02,136.50,682.52,Transport For Greater Manchester,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-16,1600650854,873.88,145.65,728.23,F. R. Sharrock Limited,Service Reform (Corp Bus & Transform),Stock Control (VMS)
Salford City Council,2020-07-16,6003073510,878.16,0.00,878.16,Redacted Data,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2020-07-16,1600650794,936.00,156.00,780.00,Proteus Equipment Ltd,Place Directorate,Equipment Hire
Salford City Council,2020-07-16,1600650795,936.00,156.00,780.00,Proteus Equipment Ltd,Place Directorate,Equipment Hire
Salford City Council,2020-07-16,1600650850,953.94,158.99,794.95,Connevans Limited,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-07-16,601281775,996.00,166.00,830.00,Onvo Modular Ltd,People (Childrens) Service Group,Furniture
Salford City Council,2020-07-16,601281884,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,1600650797,1080.00,180.00,900.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-16,601281838,1137.46,189.58,947.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-16,601281839,1190.24,198.37,991.87,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-16,601281835,1269.31,211.55,1057.76,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-16,601281869,1320.00,220.00,1100.00,The Award Scheme Ltd,People (Childrens) Service Group,Subscriptions
Salford City Council,2020-07-16,601281881,1500.00,0.00,1500.00,Topfields Developments,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281774,1591.20,265.20,1326.00,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-16,601281883,2000.00,0.00,2000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281888,2000.00,0.00,2000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281889,2000.00,0.00,2000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281891,2000.00,0.00,2000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281890,2500.00,0.00,2500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601269697,3000.00,0.00,3000.00,Levenshulme High School,People (Childrens) Service Group,Consultants
Salford City Council,2020-07-16,601281894,3000.00,0.00,3000.00,Shadowbright Lampshades,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281887,4000.00,0.00,4000.00,Textbook Studio,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281836,4800.00,800.00,4000.00,Entitledto Limited,Service Reform (Corp Bus & Transform),Subscriptions
Salford City Council,2020-07-16,601281842,5100.00,0.00,5100.00,Law Room Solicitors Ltd,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-07-16,1600650879,5798.20,966.36,4831.84,Leaving Care Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-16,1600650870,5892.86,0.00,5892.86,Greenfields Adolescent Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-16,1600650869,6232.14,0.00,6232.14,Greenfields Adolescent Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-16,601281777,6318.00,0.00,6318.00,Abc Coach Hire Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-16,1600650866,6910.72,0.00,6910.72,Greenfields Adolescent Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-16,601281885,7500.00,0.00,7500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281898,10000.00,0.00,10000.00,Diocese Of Salford,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281899,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281892,10000.00,0.00,10000.00,Gas Music Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281897,10000.00,0.00,10000.00,Grecian Mill Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281907,10000.00,0.00,10000.00,Greys Architecture Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281908,10000.00,0.00,10000.00,Luxmium Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281895,10000.00,0.00,10000.00,Northern Steeplejacks Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281902,10000.00,0.00,10000.00,Penny Save Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281886,10000.00,0.00,10000.00,Principal Finance Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281900,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281901,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281904,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281909,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281911,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281893,10000.00,0.00,10000.00,Salford Community And Voluntary Ser,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281906,10000.00,0.00,10000.00,Tekhniseal Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281882,10000.00,0.00,10000.00,Tinytots Vision Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281905,10000.00,0.00,10000.00,Will Writing Expert Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281910,10000.00,0.00,10000.00,Woodlands Timber Packaging Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,1600650878,14400.00,2400.00,12000.00,Transport For Greater Manchester,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-16,601281776,15600.49,2600.08,13000.41,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Telephones & Fax
Salford City Council,2020-07-16,601281903,25000.00,0.00,25000.00,F2R Group Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281896,25000.00,0.00,25000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-16,601281870,27778.54,4629.75,23148.79,Executive Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-17,601281880,522.25,87.04,435.21,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-17,1600650884,529.73,88.29,441.44,R.Draper Ltd,Place Directorate,Horticultural/GMaint
Salford City Council,2020-07-17,1600650885,541.64,90.27,451.37,R.Draper Ltd,Place Directorate,Horticultural/GMaint
Salford City Council,2020-07-17,601281942,650.00,0.00,650.00,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-17,601281878,652.86,108.81,544.05,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-17,601281924,662.59,0.00,662.59,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2020-07-17,601281932,665.00,0.00,665.00,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-07-17,601281929,691.84,0.00,691.84,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2020-07-17,1600650894,699.55,116.59,582.96,Securitas Security Services,People (Childrens) Service Group,XXXXX SECURITY SYS R
Salford City Council,2020-07-17,1600650892,901.34,150.22,751.12,Click Fire & Security Ltd - 24 Acco,Place Directorate,UV Light/Fire
Salford City Council,2020-07-17,601281931,918.00,0.00,918.00,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-07-17,601281928,1141.39,0.00,1141.39,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2020-07-17,601281941,1178.55,0.00,1178.55,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-17,1600650886,1239.91,206.65,1033.26,British Telecommunications Plc,People (Adults) - CHSC,Lease line rentals
Salford City Council,2020-07-17,601281940,1241.02,0.00,1241.02,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-17,1600650891,1250.00,0.00,1250.00,Monton Church (Unitarian),Place Directorate,Rents
Salford City Council,2020-07-17,601281877,1889.28,314.88,1574.40,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-17,601279532,2145.00,0.00,2145.00,Brighter Futures,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2020-07-17,601281876,2543.99,424.00,2119.99,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-17,601281879,3660.95,610.16,3050.79,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-17,601281874,8202.44,0.00,8202.44,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-17,601281930,9098.29,0.00,9098.29,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-17,601281919,9302.40,1550.40,7752.00,Pinnacle Health Partnership Llp,Public Health,Payts to Agencies
Salford City Council,2020-07-17,601281875,11649.60,1941.60,9708.00,Express Travels (Bolton) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-17,601281871,17110.25,0.00,17110.25,Home To Schools Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-17,601281921,18383.43,0.00,18383.43,For Housing,People (Adults) - CHSC,Equipment Repair
Salford City Council,2020-07-17,601281872,24867.70,0.00,24867.70,Home To Schools Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-17,1600650430,25900.25,4316.71,21583.54,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-17,1600650272,31668.12,0.00,31668.12,Trafford Domestic Abuse Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-17,1600650250,32663.64,5443.94,27219.70,Coating Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-17,1600650345,48000.00,0.00,48000.00,Greater Manchester Combined,People (Childrens) Service Group,Reimbursements
Salford City Council,2020-07-17,1600650410,95251.96,15875.33,79376.63,Schofield & Sons Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-17,1600650354,119808.00,19968.00,99840.00,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-07-20,601281983,16744.80,2790.80,13954.00,Rm Education Plc,People (Childrens) Service Group,Other Prof Fees
