Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Learning and Children,Supplies and Services,Comms & Computing,42333726,395,201202,O2 (UK) LTD,13.46,2012-05-09,6404604GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Comms & Computing,42333726,396,201202,O2 (UK) LTD,14.26,2012-05-09,6404604GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Miscellaneous Supplies,42333544,2,201202,REDACTED - Personal Information,3240.00,2012-05-09,3219219GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Miscellaneous Supplies,42333545,2,201202,FELLING METHODIST CHURCH - NO.2 ACCOUNT,2000.00,2012-05-09,3221994GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Comms & Computing,42333726,397,201202,O2 (UK) LTD,13.03,2012-05-09,6404604GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Comms & Computing,42333726,398,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Comms & Computing,42333726,393,201202,O2 (UK) LTD,15.49,2012-05-09,6404604GC,,TRDATA1R,Revenue
Learning and Children,Third Party Payments,Third Party Payments,42332397,2,201202,BARNARDOS,12500.00,2012-05-02,6357591GC,507 4773 37,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Comms & Computing,42333726,394,201202,O2 (UK) LTD,4.14,2012-05-09,6404604GC,,TRDATA1R,Revenue
Learning and Children,Supplies and Services,Comms & Computing,42333726,399,201202,O2 (UK) LTD,0.42,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",43684057,2,201202,BUNZL CLEANING & HYGIENE SUPPLIES,507.85,2012-05-22,6003342GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",43684224,2,201202,BUNZL CLEANING & HYGIENE SUPPLIES,424.86,2012-05-22,6003342GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,486,201202,O2 (UK) LTD,6.53,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Indirect Employee Expenses,43681960,4,201202,BRITISH INST. OF CLEANING SCI.,550.00,2012-05-08,6120921GC,238181755,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Clothing, Uniforms & Laundry",43683331,2,201202,SUNLIGHT SERVICES GROUP LTD,651.15,2012-05-16,6008379GC,GB 226 5161 79,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,487,201202,O2 (UK) LTD,59.57,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Indirect Employee Expenses,43681960,5,201202,BRITISH INST. OF CLEANING SCI.,100.00,2012-05-08,6120921GC,238181755,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,43683305,2,201202,LOWDON'S OF SUNNISIDE,2774.00,2012-05-16,6025692GC,178 6146 31,TRDATA1R,Revenue
Local Environmental Services,Transport,Public Transport and Taxi Fares,42333387,2,201202,LOWDON'S OF SUNNISIDE,3212.00,2012-05-08,6025692GC,178 6146 31,TRDATA1R,Revenue
Local Environmental Services,Transport,Public Transport and Taxi Fares,43681964,1,201202,LOWDONS OF SUNNISIDE,3212.00,2012-05-08,27003090GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,488,201202,O2 (UK) LTD,56.50,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Indirect Employee Expenses,43681960,6,201202,BRITISH INST. OF CLEANING SCI.,200.00,2012-05-08,6120921GC,238181755,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,489,201202,O2 (UK) LTD,3.02,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,490,201202,O2 (UK) LTD,98.44,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,491,201202,O2 (UK) LTD,29.67,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Agency Staff,60091143,32,201202,COMENSURA LTD,39.87,2012-05-03,3182373GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Agency Staff,60091147,17,201202,COMENSURA LTD,209.31,2012-05-30,3182373GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Agency Staff,60091147,32,201202,COMENSURA LTD,52.20,2012-05-30,3182373GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Agency Staff,60091147,44,201202,COMENSURA LTD,44.30,2012-05-30,3182373GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Agency Staff,60091147,53,201202,COMENSURA LTD,44.30,2012-05-30,3182373GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337819,2,201202,HEINEKEN UK,427.85,2012-05-24,3214008GC,268 6449 12,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337821,2,201202,3663,1444.64,2012-05-24,3091923GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337906,2,201202,WYLAM BREWERY LTD,416.96,2012-05-24,3158544GC,747219321,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42339502,2,201202,WYLAM BREWERY LTD,476.68,2012-05-31,3158544GC,747219321,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42332488,2,201202,BRAMBLES FOODS LTD,483.49,2012-05-03,6361590GC,546789289,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42332518,3,201202,LOWRIES RETAIL LTD,469.97,2012-05-03,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42332518,4,201202,LOWRIES RETAIL LTD,41.07,2012-05-03,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42332528,2,201202,COCA-COLA ENTERPRISES LTD,485.97,2012-05-03,6011361GC,GB 672 4251 40,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42332529,2,201202,HOLLAND FOOD SERVICES,450.54,2012-05-03,6405531GC,633 4971 28,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337779,2,201202,COCA-COLA ENTERPRISES LTD,515.70,2012-05-24,6011361GC,GB 672 4251 40,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337783,2,201202,BRAMBLES FOODS LTD,563.49,2012-05-24,6361590GC,546789289,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337790,2,201202,HOLLAND FOOD SERVICES,438.42,2012-05-24,6405531GC,633 4971 28,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337822,2,201202,LOWRIES RETAIL LTD,396.63,2012-05-24,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337889,2,201202,PLAWSWORTH FOODS,515.09,2012-05-24,3209430GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337895,2,201202,LOWRIES RETAIL LTD,689.00,2012-05-24,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337896,2,201202,LOWRIES RETAIL LTD,475.28,2012-05-24,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337898,2,201202,HOPWELLS LTD,549.83,2012-05-24,3151566GC,309885029,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42337901,2,201202,LOWRIES RETAIL LTD,474.60,2012-05-24,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42338493,3,201202,LOWRIES RETAIL LTD,584.94,2012-05-25,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42338493,4,201202,LOWRIES RETAIL LTD,123.50,2012-05-25,3121500GC,393 3882 14,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42339526,2,201202,BRAMBLES FOODS LTD,832.69,2012-05-31,6361590GC,546789289,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42339528,2,201202,BRAMBLES FOODS LTD,448.05,2012-05-31,6361590GC,546789289,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Catering & Provisions,42339530,2,201202,BRAMBLES FOODS LTD,449.12,2012-05-31,6361590GC,546789289,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Printing, Stationery etc",42334309,21,201202,INTERCHANGE NEWS,154.15,2012-05-11,3225915GC,,TRDATA1R,Revenue
Local Environmental Services,Employees,Agency Staff,60091143,30,201202,COMENSURA LTD,39.87,2012-05-03,3182373GC,,TRDATA1R,Revenue
Local Environmental Services,Premises,Security & Insurance,42333394,2,201202,SITEX ORBIS,1378.35,2012-05-09,3182193GC,,TRDATA1R,Revenue
Local Environmental Services,Premises,Security & Insurance,43682587,2,201202,BARRIER SURVEILLANCE SYSTEMS LIMITED,2964.43,2012-05-11,3057723GC,569572684,TRDATA1R,Revenue
Local Environmental Services,Premises,Security & Insurance,43682588,2,201202,BARRIER SURVEILLANCE SYSTEMS LIMITED,4636.43,2012-05-11,3057723GC,569572684,TRDATA1R,Revenue
Local Environmental Services,Premises,Security & Insurance,43682589,2,201202,BARRIER SURVEILLANCE SYSTEMS LIMITED,1673.36,2012-05-11,3057723GC,569572684,TRDATA1R,Revenue
Local Environmental Services,Premises,Security & Insurance,43684232,2,201202,SITEX ORBIS,1338.51,2012-05-22,3182193GC,,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42333718,2,201202,REAY SECURITY LTD,2437.92,2012-05-09,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42337919,2,201202,REAY SECURITY LTD,1535.52,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42337928,2,201202,REAY SECURITY LTD,1055.67,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682576,2,201202,REAY SECURITY LTD,411.30,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682577,2,201202,REAY SECURITY LTD,1165.35,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682578,2,201202,REAY SECURITY LTD,402.16,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682579,2,201202,REAY SECURITY LTD,1055.67,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682580,2,201202,REAY SECURITY LTD,2252.88,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682581,2,201202,REAY SECURITY LTD,1133.36,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682582,2,201202,REAY SECURITY LTD,1535.52,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682584,2,201202,REAY SECURITY LTD,1754.88,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682586,2,201202,REAY SECURITY LTD,443.29,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682598,2,201202,REAY SECURITY LTD,2437.92,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43682599,2,201202,REAY SECURITY LTD,1434.98,2012-05-11,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684540,2,201202,REAY SECURITY LTD,1055.67,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684541,2,201202,REAY SECURITY LTD,1569.79,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684542,2,201202,REAY SECURITY LTD,411.30,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684543,2,201202,REAY SECURITY LTD,1535.52,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684546,2,201202,REAY SECURITY LTD,1057.95,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684550,2,201202,REAY SECURITY LTD,411.30,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684551,2,201202,REAY SECURITY LTD,1535.52,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684553,2,201202,REAY SECURITY LTD,1133.36,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,43684555,2,201202,REAY SECURITY LTD,2252.88,2012-05-24,3157173GC,556 2695 12,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,508,201202,O2 (UK) LTD,124.66,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Comms & Computing,42333726,509,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334467,2,201202,DPC (SCREEDING) LTD,677.00,2012-05-11,6416661GC,476627116,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332579,2,201202,HOWDENS  JOINERY LTD,351.20,2012-05-03,6400338GC,GB 379 5785 77,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332830,2,201202,HOWDENS  JOINERY LTD,351.20,2012-05-03,6400338GC,GB 379 5785 77,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42332839,2,201202,NORTHERN INTERIORS (GHEAD) LTD,1664.38,2012-05-03,6323970GC,686 9355 69,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42332842,2,201202,TEESDALE FLOORING LTD,28597.78,2012-05-03,3235578GC,111 1859 48,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334070,2,201202,TEESDALE FLOORING LTD,7643.37,2012-05-10,3235578GC,111 1859 48,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42335430,2,201202,PLANET PARTITIONING,25756.09,2012-05-15,3110346GC,528 6105 48,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42335431,2,201202,TEESDALE FLOORING LTD,1094.64,2012-05-15,3235578GC,111 1859 48,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42332834,3,201202,W D DAVISON & SONS,5766.12,2012-05-03,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42336681,3,201202,W D DAVISON & SONS,3174.22,2012-05-18,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42337134,3,201202,W D DAVISON & SONS,3174.22,2012-05-21,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42336681,4,201202,W D DAVISON & SONS,816.59,2012-05-18,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42337134,4,201202,W D DAVISON & SONS,816.59,2012-05-21,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333343,2,201202,THE REDFORREST GROUP LTD T/A SALTWELL SIGNS,498.00,2012-05-08,3214821GC,569 3615 06,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333349,2,201202,CUNDALL,4900.00,2012-05-08,6285741GC,GB 991 2463 03,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333351,2,201202,CUNDALL,11007.00,2012-05-08,6285741GC,GB 991 2463 03,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334072,2,201202,CUNDALL,4900.00,2012-05-10,6285741GC,GB 991 2463 03,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334124,2,201202,SIGNS EXPRESS LTD,918.00,2012-05-10,6363147GC,GB 859 4389 64,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336627,2,201202,NORTHUMBRIAN WATER,2469.64,2012-05-18,3208761GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336629,2,201202,COMPREHENSIVE DESIGN ARCHITECTS LTD,2000.00,2012-05-18,3234414GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336678,2,201202,CUNDALL,4300.00,2012-05-18,6285741GC,GB 991 2463 03,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42333006,2,201202,CHIRMARN LTD,705.00,2012-05-04,6009771GC,907 9273 00,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42333316,2,201202,CHIRMARN LTD,2870.00,2012-05-08,6009771GC,907 9273 00,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334152,2,201202,OWEN PUGH GDC LTD,11159.78,2012-05-10,3238806GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42335429,2,201202,G O'BRIEN & SONS LTD,13177.25,2012-05-15,6265605GC,GB 178 1620 54,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42336688,2,201202,ROGER BULLIVANT LTD,40734.97,2012-05-18,6271638GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332582,2,201202,ERIC SMITH & COMPANY,1005.00,2012-05-03,3108900GC,947 4130 19,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332662,2,201202,REDSHIELD ENGINEERING LTD,502.94,2012-05-03,3236157GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334468,2,201202,ST ASTIER LTD,2100.00,2012-05-11,3049842GC,809 4966 87,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333249,2,201202,WERNICK HIRE LTD,878.59,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333250,2,201202,WERNICK HIRE LTD,1247.15,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332549,2,201202,J T  DUFFY ROOFING LTD,3076.00,2012-05-03,6012726GC,297 6684 84,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333688,2,201202,MILBURN SERVICES LTD,691.00,2012-05-09,3028842GC,459855585,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333692,2,201202,J T  DOVE LTD,426.78,2012-05-09,6012660GC,175828035,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336828,2,201202,J T  DOVE LTD,783.00,2012-05-21,6012660GC,175828035,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338556,2,201202,J T  DOVE LTD,410.00,2012-05-25,6012660GC,175828035,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338805,2,201202,FGF ORGANISATION,633.36,2012-05-28,6119961GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42337664,2,201202,PYEROY LTD,718.00,2012-05-23,6071505GC,708964694,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42335372,3,201202,FITZ FABRICATION & DESIGN LTD,109.00,2012-05-15,3197388GC,,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42335372,4,201202,FITZ FABRICATION & DESIGN LTD,431.00,2012-05-15,3197388GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334154,2,201202,TORMAX UK LTD,5201.25,2012-05-10,6130860GC,494522134,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334156,2,201202,STEELCRAFT LTD,500.00,2012-05-10,6267795GC,514675736,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334157,2,201202,NORTHERN INTERIORS (GHEAD) LTD,958.65,2012-05-10,6323970GC,686 9355 69,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332928,3,201202,JOBLING PURSER LTD,314.10,2012-05-04,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332928,5,201202,JOBLING PURSER LTD,233.40,2012-05-04,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334191,4,201202,KELLY PLANT HIRE LTD,345.00,2012-05-10,6023541GC,747265607,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42336655,4,201202,KELLY PLANT HIRE LTD,345.00,2012-05-18,6023541GC,747265607,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42338559,2,201202,AAA THOMPSON & SON ELECTRICAL LTD,4750.00,2012-05-25,3177705GC,,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333256,2,201202,WERNICK HIRE LTD,677.14,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334458,2,201202,PYEROY LTD,550.00,2012-05-11,6071505GC,708964694,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42339808,2,201202,WERNICK HIRE LTD,642.85,2012-05-31,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42335428,2,201202,R BEAL & CO LTD,3010.00,2012-05-15,6003210GC,175883320,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334465,2,201202,JOE ROONEY LTD,1131.00,2012-05-11,6037101GC,300938971,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333260,6,201202,WERNICK HIRE LTD,80.00,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332780,4,201202,TYNEDALE ROADSTONE LTD,76.38,2012-05-03,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332782,2,201202,TYNEDALE ROADSTONE LTD,462.30,2012-05-03,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334174,9,201202,GEORGE VARDY LTD,344.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332707,2,201202,CROSSLING LTD,700.87,2012-05-03,6008619GC,GB 176 0964 39,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332558,2,201202,HADRIAN AIR CONDITION. & REFRIGERATION,72839.00,2012-05-03,6060945GC,708909018,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336768,2,201202,EDMUNDSON ELECTRICAL LTD,451.44,2012-05-21,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334460,2,201202,EDMUNDSON ELECTRICAL LTD,456.00,2012-05-11,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334461,2,201202,EDMUNDSON ELECTRICAL LTD,456.00,2012-05-11,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335700,2,201202,EDMUNDSON ELECTRICAL LTD,1131.81,2012-05-16,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335704,2,201202,EDMUNDSON ELECTRICAL LTD,1183.91,2012-05-16,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336767,2,201202,PARK ELECTRICAL DISTRIBUTORS,1316.43,2012-05-21,6231576GC,569398276,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336769,2,201202,ADVANTEX NETWORK SOLUTIONS LTD,2473.37,2012-05-21,3073884GC,804 592 235,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336770,2,201202,CORMETON ELECTRONICS LTD,2876.79,2012-05-21,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336775,2,201202,EDMUNDSON ELECTRICAL LTD,1131.84,2012-05-21,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336776,2,201202,EDMUNDSON ELECTRICAL LTD,461.94,2012-05-21,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336777,2,201202,EDMUNDSON ELECTRICAL LTD,532.77,2012-05-21,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337338,2,201202,EDMUNDSON ELECTRICAL LTD,4897.57,2012-05-22,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338586,2,201202,EDMUNDSON ELECTRICAL LTD,968.01,2012-05-25,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339563,2,201202,CLEVELAND CABLE CO LTD,673.19,2012-05-31,6236061GC,317446263,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337862,2,201202,ASTOR-BANNERMAN (MEDICAL) LTD,3249.00,2012-05-24,3033018GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332376,2,201202,REXEL SENATE LTD,351.70,2012-05-02,6040788GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338109,2,201202,ADT FIRE & SECURITY PLC,760.00,2012-05-24,6080409GC,413633086,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332570,2,201202,HADRIAN AIR CONDITION. & REFRIGERATION,2927.00,2012-05-03,6060945GC,708909018,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332371,2,201202,ALARM & COMMUNICATION SYSTEMS,550.00,2012-05-02,6276561GC,425973722,TRDATA1R,Revenue
